slice_idx,slice_range,lr,mean_std,mean_range,max_abs
0,0:30,0.001,0.00012720167,0.0005109596,0.001060009
0,0:30,0.01,0.000924678,0.003964299,0.008777857
0,0:30,0.1,0.00515941,0.024407158,0.034963846
0,0:30,0.5,0.024493812,0.1473362,0.1892662
1,71:101,0.001,0.0002722664,0.0010560825,0.0028881207
1,71:101,0.01,0.0017864245,0.0069061313,0.016572274
1,71:101,0.1,0.006512507,0.030332832,0.062455826
1,71:101,0.5,0.023851551,0.12888734,0.15208471
2,142:172,0.001,1.0008968e-06,3.835559e-06,7.581711e-05
2,142:172,0.01,9.376673e-06,4.06911e-05,0.0006160736
2,142:172,0.1,0.0001554126,0.0005386735,0.007975578
2,142:172,0.5,0.0005089456,0.0023967489,0.048213482
3,213:243,0.001,0.00017822343,0.0006512215,0.0013747215
3,213:243,0.01,0.00070419087,0.00304749,0.0049518347
3,213:243,0.1,0.0044110124,0.02086238,0.03256786
3,213:243,0.5,0.01773658,0.09926305,0.12683928
4,284:314,0.001,0.0002335556,0.0009456048,0.002567649
4,284:314,0.01,0.0012602333,0.0056961286,0.009011984
4,284:314,0.1,0.006146978,0.03309097,0.058254063
4,284:314,0.5,0.025427537,0.16237383,0.31075776
5,356:386,0.001,0.00018354465,0.00074746064,0.0015347004
5,356:386,0.01,0.0012035322,0.0053906464,0.010045131
5,356:386,0.1,0.006273928,0.032017134,0.0420295
5,356:386,0.5,0.02156211,0.12782148,0.21449143
