step,alpha,seed,method,split,loss,accuracy
0,0.0,52,alpha=0,train,1.346571683883667,0.525390625
0,0.0,52,alpha=0,test,1.4927949905395508,0.442
256,0.0,52,alpha=0,train,0.7773038148880005,0.748046875
256,0.0,52,alpha=0,test,0.9927981495857239,0.652
512,0.0,52,alpha=0,train,0.5130126476287842,0.8408203125
512,0.0,52,alpha=0,test,0.7283284366130829,0.763
768,0.0,52,alpha=0,train,0.4963912069797516,0.8369140625
768,0.0,52,alpha=0,test,0.7502681314945221,0.766
1024,0.0,52,alpha=0,train,0.2659943699836731,0.9287109375
1024,0.0,52,alpha=0,test,0.5329748243093491,0.838
1280,0.0,52,alpha=0,train,0.25793686509132385,0.9384765625
1280,0.0,52,alpha=0,test,0.5225273668766022,0.841
1536,0.0,52,alpha=0,train,0.16941575706005096,0.955078125
1536,0.0,52,alpha=0,test,0.5068731755018234,0.849
1792,0.0,52,alpha=0,train,0.16854329407215118,0.9609375
1792,0.0,52,alpha=0,test,0.4857161343097687,0.856
2048,0.0,52,alpha=0,train,0.11412089318037033,0.97265625
2048,0.0,52,alpha=0,test,0.510074257850647,0.857
0,0.0,152,alpha=0,train,1.346571683883667,0.525390625
0,0.0,152,alpha=0,test,1.4927949905395508,0.442
256,0.0,152,alpha=0,train,0.7773038148880005,0.748046875
256,0.0,152,alpha=0,test,0.9927981495857239,0.652
512,0.0,152,alpha=0,train,0.5130126476287842,0.8408203125
512,0.0,152,alpha=0,test,0.7283284366130829,0.763
768,0.0,152,alpha=0,train,0.4963912069797516,0.8369140625
768,0.0,152,alpha=0,test,0.7502681314945221,0.766
1024,0.0,152,alpha=0,train,0.2659943699836731,0.9287109375
1024,0.0,152,alpha=0,test,0.5329748243093491,0.838
1280,0.0,152,alpha=0,train,0.25793686509132385,0.9384765625
1280,0.0,152,alpha=0,test,0.5225273668766022,0.841
1536,0.0,152,alpha=0,train,0.16941575706005096,0.955078125
1536,0.0,152,alpha=0,test,0.5068731755018234,0.849
1792,0.0,152,alpha=0,train,0.16854329407215118,0.9609375
1792,0.0,152,alpha=0,test,0.4857161343097687,0.856
2048,0.0,152,alpha=0,train,0.11412089318037033,0.97265625
2048,0.0,152,alpha=0,test,0.510074257850647,0.857
0,0.1,52,alpha=0.1,train,1.346571683883667,0.525390625
0,0.1,52,alpha=0.1,test,1.4927949905395508,0.442
256,0.1,52,alpha=0.1,train,0.7462956309318542,0.76953125
256,0.1,52,alpha=0.1,test,0.9264857769012451,0.68
512,0.1,52,alpha=0.1,train,0.6655928492546082,0.7822265625
512,0.1,52,alpha=0.1,test,0.9022088050842285,0.668
768,0.1,52,alpha=0.1,train,0.4727730453014374,0.830078125
768,0.1,52,alpha=0.1,test,0.7291875183582306,0.766
1024,0.1,52,alpha=0.1,train,0.3410953879356384,0.916015625
1024,0.1,52,alpha=0.1,test,0.5651051998138428,0.819
1280,0.1,52,alpha=0.1,train,0.20495349168777466,0.9423828125
1280,0.1,52,alpha=0.1,test,0.5161533355712891,0.849
1536,0.1,52,alpha=0.1,train,0.17997097969055176,0.9521484375
1536,0.1,52,alpha=0.1,test,0.48181259632110596,0.862
1792,0.1,52,alpha=0.1,train,0.13791072368621826,0.962890625
1792,0.1,52,alpha=0.1,test,0.5023364275693893,0.855
2048,0.1,52,alpha=0.1,train,0.11707070469856262,0.9716796875
2048,0.1,52,alpha=0.1,test,0.4925873726606369,0.856
0,0.1,152,alpha=0.1,train,1.346571683883667,0.525390625
0,0.1,152,alpha=0.1,test,1.4927949905395508,0.442
256,0.1,152,alpha=0.1,train,0.993644118309021,0.6376953125
256,0.1,152,alpha=0.1,test,1.171415388584137,0.571
512,0.1,152,alpha=0.1,train,0.653656542301178,0.7841796875
512,0.1,152,alpha=0.1,test,0.8968859910964966,0.676
768,0.1,152,alpha=0.1,train,0.3551027476787567,0.9072265625
768,0.1,152,alpha=0.1,test,0.6004422903060913,0.811
1024,0.1,152,alpha=0.1,train,0.26183560490608215,0.931640625
1024,0.1,152,alpha=0.1,test,0.5370132178068161,0.835
1280,0.1,152,alpha=0.1,train,0.21230648458003998,0.939453125
1280,0.1,152,alpha=0.1,test,0.49876736104488373,0.854
1536,0.1,152,alpha=0.1,train,0.16391615569591522,0.9560546875
1536,0.1,152,alpha=0.1,test,0.5104113221168518,0.855
1792,0.1,152,alpha=0.1,train,0.1403307318687439,0.962890625
1792,0.1,152,alpha=0.1,test,0.5032064914703369,0.854
2048,0.1,152,alpha=0.1,train,0.15528281033039093,0.9619140625
2048,0.1,152,alpha=0.1,test,0.47271236777305603,0.858
0,0.5,52,alpha=0.5,train,1.346571683883667,0.525390625
0,0.5,52,alpha=0.5,test,1.4927949905395508,0.442
256,0.5,52,alpha=0.5,train,0.7682005763053894,0.751953125
256,0.5,52,alpha=0.5,test,0.9618826806545258,0.654
512,0.5,52,alpha=0.5,train,0.7622503042221069,0.7421875
512,0.5,52,alpha=0.5,test,1.00269415974617,0.643
768,0.5,52,alpha=0.5,train,0.36771252751350403,0.9052734375
768,0.5,52,alpha=0.5,test,0.6246348023414612,0.79
1024,0.5,52,alpha=0.5,train,0.28669053316116333,0.916015625
1024,0.5,52,alpha=0.5,test,0.572644829750061,0.821
1280,0.5,52,alpha=0.5,train,0.2434428185224533,0.9267578125
1280,0.5,52,alpha=0.5,test,0.5574643313884735,0.826
1536,0.5,52,alpha=0.5,train,0.25421103835105896,0.9169921875
1536,0.5,52,alpha=0.5,test,0.5876294374465942,0.829
1792,0.5,52,alpha=0.5,train,0.16066066920757294,0.9560546875
1792,0.5,52,alpha=0.5,test,0.5305203795433044,0.852
2048,0.5,52,alpha=0.5,train,0.1394129991531372,0.9697265625
2048,0.5,52,alpha=0.5,test,0.47576694190502167,0.864
0,0.5,152,alpha=0.5,train,1.346571683883667,0.525390625
0,0.5,152,alpha=0.5,test,1.4927949905395508,0.442
256,0.5,152,alpha=0.5,train,0.7835161089897156,0.7568359375
256,0.5,152,alpha=0.5,test,0.9742891192436218,0.646
512,0.5,152,alpha=0.5,train,0.6127244234085083,0.7919921875
512,0.5,152,alpha=0.5,test,0.8522129952907562,0.719
768,0.5,152,alpha=0.5,train,0.5718306303024292,0.7998046875
768,0.5,152,alpha=0.5,test,0.8963155746459961,0.721
1024,0.5,152,alpha=0.5,train,0.27596503496170044,0.9287109375
1024,0.5,152,alpha=0.5,test,0.5345487594604492,0.835
1280,0.5,152,alpha=0.5,train,0.24625460803508759,0.919921875
1280,0.5,152,alpha=0.5,test,0.5292982459068298,0.845
1536,0.5,152,alpha=0.5,train,0.19532759487628937,0.9375
1536,0.5,152,alpha=0.5,test,0.48713864386081696,0.861
1792,0.5,152,alpha=0.5,train,0.1481289267539978,0.9609375
1792,0.5,152,alpha=0.5,test,0.5132898688316345,0.851
2048,0.5,152,alpha=0.5,train,0.15188579261302948,0.9443359375
2048,0.5,152,alpha=0.5,test,0.5596818029880524,0.839
0,1.0,52,alpha=1,train,1.346571683883667,0.525390625
0,1.0,52,alpha=1,test,1.4927949905395508,0.442
256,1.0,52,alpha=1,train,0.844817042350769,0.6982421875
256,1.0,52,alpha=1,test,1.0332260131835938,0.627
512,1.0,52,alpha=1,train,0.7904048562049866,0.73828125
512,1.0,52,alpha=1,test,0.9868015050888062,0.657
768,1.0,52,alpha=1,train,0.4433489739894867,0.8828125
768,1.0,52,alpha=1,test,0.6924824714660645,0.756
1024,1.0,52,alpha=1,train,0.3180261552333832,0.9052734375
1024,1.0,52,alpha=1,test,0.5690597295761108,0.814
1280,1.0,52,alpha=1,train,0.26697295904159546,0.92578125
1280,1.0,52,alpha=1,test,0.5350887328386307,0.834
1536,1.0,52,alpha=1,train,0.4263102114200592,0.849609375
1536,1.0,52,alpha=1,test,0.7697552740573883,0.772
1792,1.0,52,alpha=1,train,0.1656448096036911,0.955078125
1792,1.0,52,alpha=1,test,0.4768075793981552,0.859
2048,1.0,52,alpha=1,train,0.15368753671646118,0.9521484375
2048,1.0,52,alpha=1,test,0.4897565692663193,0.851
0,1.0,152,alpha=1,train,1.346571683883667,0.525390625
0,1.0,152,alpha=1,test,1.4927949905395508,0.442
256,1.0,152,alpha=1,train,0.8507701754570007,0.720703125
256,1.0,152,alpha=1,test,1.0446186065673828,0.6
512,1.0,152,alpha=1,train,0.8365558385848999,0.701171875
512,1.0,152,alpha=1,test,1.0926337838172913,0.636
768,1.0,152,alpha=1,train,0.5552487373352051,0.806640625
768,1.0,152,alpha=1,test,0.8603052794933319,0.719
1024,1.0,152,alpha=1,train,0.36471128463745117,0.8896484375
1024,1.0,152,alpha=1,test,0.6198491752147675,0.797
