step,alpha,method,displacement_norm_mean,displacement_norm_std,displacement_norm_ci95_low,displacement_norm_ci95_high,parameter_variance_trace,n_seeds,normalized_variance,normalized_displacement
0,0.0,alpha=0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
256,0.0,alpha=0,2.972578763961792,0.0,2.972578763961792,2.972578763961792,0.0,2,0.0,1.0320482636297095
512,0.0,alpha=0,4.786216735839844,0.0,4.786216735839844,4.786216735839844,0.0,2,0.0,0.994913192113567
768,0.0,alpha=0,6.1367692947387695,0.0,6.1367692947387695,6.1367692947387695,0.0,2,0.0,0.9803514376266694
1024,0.0,alpha=0,7.10983943939209,0.0,7.10983943939209,7.10983943939209,0.0,2,0.0,0.9603204482968263
1280,0.0,alpha=0,7.7648444175720215,0.0,7.7648444175720215,7.7648444175720215,0.0,2,0.0,0.9392900356650895
1536,0.0,alpha=0,8.456520080566406,0.0,8.456520080566406,8.456520080566406,0.0,2,0.0,0.9495877942903748
1792,0.0,alpha=0,8.894835472106934,0.0,8.894835472106934,8.894835472106934,0.0,2,0.0,0.9368222519254281
2048,0.0,alpha=0,9.454964637756348,0.0,9.454964637756348,9.454964637756348,0.0,2,0.0,0.943411122988831
0,0.1,alpha=0.1,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
256,0.1,alpha=0.1,2.9915436506271362,0.0038662147076013315,2.986185350418091,2.9969019508361816,0.014047411100142416,2,0.18779122445211627,1.0386326739707215
512,0.1,alpha=0.1,4.777047634124756,0.00039179710375727094,4.776504631042481,4.777590637207031,0.006143384075974024,2,0.031170963935732265,0.9930072064970231
768,0.1,alpha=0.1,6.130437612533569,0.004088244305556721,6.124771595001221,6.136103630065918,0.018832215505801088,2,0.08890309710927,0.9793399487708336
1024,0.1,alpha=0.1,7.101404190063477,0.04793748832150278,7.034966220855713,7.16784215927124,0.19833021603871054,2,0.6887785680227605,0.959181105772174
1280,0.1,alpha=0.1,7.886995315551758,0.0039112275418109665,7.881574630737305,7.892416000366211,0.05166003914201222,2,0.16740056303911044,0.9540662649299362
1536,0.1,alpha=0.1,8.458070755004883,0.060839818762445756,8.373751068115235,8.542390441894531,0.1386014896554943,2,0.328283071479254,0.949761920468243
1792,0.1,alpha=0.1,8.988080024719238,0.005827729037298339,8.980003204345703,8.996156845092774,0.116504524162983,2,0.259453194776496,0.9466429587875133
2048,0.1,alpha=0.1,9.414858341217041,0.025511318816250114,9.379501457214355,9.450215225219727,0.3184261749519762,2,0.7104150113876739,0.9394093389836347
0,0.5,alpha=0.5,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
256,0.5,alpha=0.5,2.9563969373703003,0.03130077851510056,2.9130162715911867,2.999777603149414,0.020102207029572404,2,0.26873407814163486,1.0264301026448521
512,0.5,alpha=0.5,4.790714979171753,0.002715268568465837,4.786951808929444,4.794478149414062,0.06612929973898071,2,0.33553396495598053,0.9958482441346636
768,0.5,alpha=0.5,6.188678503036499,0.004975013998225931,6.1817834854125975,6.195573520660401,0.06708077032759366,2,0.31667480848239216,0.9886439551609965
1024,0.5,alpha=0.5,7.221175909042358,0.0038764985386379896,7.215803356170654,7.226548461914063,0.10201877358096142,2,0.3542997440431251,0.9753585781108342
1280,0.5,alpha=0.5,8.004076480865479,0.00015982084955331016,8.00385498046875,8.004297981262207,0.12093742152441123,2,0.3918888330694383,0.9682292237774263
1536,0.5,alpha=0.5,8.62774658203125,0.03803736219368782,8.575029487609862,8.680463676452638,0.22484983476702153,2,0.5325656640660391,0.9688149225063546
1792,0.5,alpha=0.5,9.18104076385498,0.0333533300375811,9.134815406799316,9.227266120910645,0.2204728600011872,2,0.4909885543053793,0.9669659782224665
2048,0.5,alpha=0.5,9.653389930725098,0.04665824717550013,9.588724899291993,9.718054962158202,0.37961544981237155,2,0.8469294778988118,0.9632098885729462
0,1.0,alpha=1,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
256,1.0,alpha=1,2.880271077156067,0.037416791996213415,2.8284140491485594,2.9321281051635744,0.07480334153593146,2,1.0,1.0
512,1.0,alpha=1,4.810687780380249,0.012718570181435471,4.7930607414245605,4.8283148193359375,0.1970867531925013,2,1.0,1.0
768,1.0,alpha=1,6.259764671325684,0.008457692384378128,6.248042907714844,6.271486434936524,0.21182856523721083,2,1.0,1.0
1024,1.0,alpha=1,7.403611421585083,0.008759463819716129,7.391471424102783,7.415751419067383,0.287944813103065,2,1.0,1.0
1280,1.0,alpha=1,8.266716480255127,0.012253606148663287,8.249733848571777,8.283699111938477,0.3086013464001473,2,1.0,1.0
1536,1.0,alpha=1,8.905464172363281,0.0005179004745018658,8.90474639892578,8.906181945800782,0.42220114802433023,2,1.0,1.0
1792,1.0,alpha=1,9.494688510894775,0.0228584275835804,9.463008346557617,9.526368675231934,0.4490386956435243,2,1.0,1.0
2048,1.0,alpha=1,10.022104263305664,0.00897829025718469,10.009660987854003,10.034547538757325,0.44822557216236925,2,1.0,1.0
