step,alpha,seed,method,displacement_norm,diverged
0,0.0,52,alpha=0,0.0,False
256,0.0,52,alpha=0,2.972578763961792,False
512,0.0,52,alpha=0,4.786216735839844,False
768,0.0,52,alpha=0,6.1367692947387695,False
1024,0.0,52,alpha=0,7.10983943939209,False
1280,0.0,52,alpha=0,7.7648444175720215,False
1536,0.0,52,alpha=0,8.456520080566406,False
1792,0.0,52,alpha=0,8.894835472106934,False
2048,0.0,52,alpha=0,9.454964637756348,False
0,0.0,152,alpha=0,0.0,False
256,0.0,152,alpha=0,2.972578763961792,False
512,0.0,152,alpha=0,4.786216735839844,False
768,0.0,152,alpha=0,6.1367692947387695,False
1024,0.0,152,alpha=0,7.10983943939209,False
1280,0.0,152,alpha=0,7.7648444175720215,False
1536,0.0,152,alpha=0,8.456520080566406,False
1792,0.0,152,alpha=0,8.894835472106934,False
2048,0.0,152,alpha=0,9.454964637756348,False
0,0.1,52,alpha=0.1,0.0,False
256,0.1,52,alpha=0.1,2.988809823989868,False
512,0.1,52,alpha=0.1,4.77677059173584,False
768,0.1,52,alpha=0.1,6.133328437805176,False
1024,0.1,52,alpha=0.1,7.067507266998291,False
1280,0.1,52,alpha=0.1,7.889760971069336,False
1536,0.1,52,alpha=0.1,8.415050506591797,False
1792,0.1,52,alpha=0.1,8.99220085144043,False
2048,0.1,52,alpha=0.1,9.432897567749023,False
0,0.1,152,alpha=0.1,0.0,False
256,0.1,152,alpha=0.1,2.9942774772644043,False
512,0.1,152,alpha=0.1,4.777324676513672,False
768,0.1,152,alpha=0.1,6.127546787261963,False
1024,0.1,152,alpha=0.1,7.135301113128662,False
1280,0.1,152,alpha=0.1,7.88422966003418,False
1536,0.1,152,alpha=0.1,8.501091003417969,False
1792,0.1,152,alpha=0.1,8.983959197998047,False
2048,0.1,152,alpha=0.1,9.396819114685059,False
0,0.5,52,alpha=0.5,0.0,False
256,0.5,52,alpha=0.5,2.978529930114746,False
512,0.5,52,alpha=0.5,4.792634963989258,False
768,0.5,52,alpha=0.5,6.1851606369018555,False
1024,0.5,52,alpha=0.5,7.218434810638428,False
1280,0.5,52,alpha=0.5,8.003963470458984,False
1536,0.5,52,alpha=0.5,8.600850105285645,False
1792,0.5,52,alpha=0.5,9.157456398010254,False
2048,0.5,52,alpha=0.5,9.620397567749023,False
0,0.5,152,alpha=0.5,0.0,False
256,0.5,152,alpha=0.5,2.9342639446258545,False
512,0.5,152,alpha=0.5,4.788794994354248,False
768,0.5,152,alpha=0.5,6.192196369171143,False
1024,0.5,152,alpha=0.5,7.223917007446289,False
1280,0.5,152,alpha=0.5,8.004189491271973,False
1536,0.5,152,alpha=0.5,8.654643058776855,False
1792,0.5,152,alpha=0.5,9.204625129699707,False
2048,0.5,152,alpha=0.5,9.686382293701172,False
0,1.0,52,alpha=1,0.0,False
256,1.0,52,alpha=1,2.906728744506836,False
512,1.0,52,alpha=1,4.819681167602539,False
768,1.0,52,alpha=1,6.2537841796875,False
1024,1.0,52,alpha=1,7.4098052978515625,False
1280,1.0,52,alpha=1,8.258051872253418,False
1536,1.0,52,alpha=1,8.905097961425781,False
1792,1.0,52,alpha=1,9.478525161743164,False
2048,1.0,52,alpha=1,10.02845287322998,False
0,1.0,152,alpha=1,0.0,False
256,1.0,152,alpha=1,2.853813409805298,False
512,1.0,152,alpha=1,4.801694393157959,False
768,1.0,152,alpha=1,6.265745162963867,False
1024,1.0,152,alpha=1,7.3974175453186035,False
1280,1.0,152,alpha=1,8.275381088256836,False
1536,1.0,152,alpha=1,8.905830383300781,False
1792,1.0,152,alpha=1,9.510851860046387,False
2048,1.0,152,alpha=1,10.015755653381348,False
