step,alpha,method,split,loss_mean,loss_std,loss_ci95_low,loss_ci95_high,accuracy,accuracy_std,accuracy_ci95_low,accuracy_ci95_high
0,0.0,alpha=0,test,2.304346799850464,0.0,2.304346799850464,2.304346799850464,0.13671875,0.0,0.13671875,0.13671875
0,0.0,alpha=0,train,2.285581111907959,0.0,2.285581111907959,2.285581111907959,0.13671875,0.0,0.13671875,0.13671875
24,0.0,alpha=0,test,2.3034958839416504,0.0,2.3034958839416504,2.3034958839416504,0.13671875,0.0,0.13671875,0.13671875
24,0.0,alpha=0,train,2.2840657234191895,0.0,2.2840657234191895,2.2840657234191895,0.13671875,0.0,0.13671875,0.13671875
48,0.0,alpha=0,test,2.302994728088379,0.0,2.302994728088379,2.302994728088379,0.13671875,0.0,0.13671875,0.13671875
48,0.0,alpha=0,train,2.282987356185913,0.0,2.282987356185913,2.282987356185913,0.13671875,0.0,0.13671875,0.13671875
72,0.0,alpha=0,test,2.3027005195617676,0.0,2.3027005195617676,2.3027005195617676,0.13671875,0.0,0.13671875,0.13671875
72,0.0,alpha=0,train,2.2821803092956543,0.0,2.2821803092956543,2.2821803092956543,0.13671875,0.0,0.13671875,0.13671875
96,0.0,alpha=0,test,2.3025219440460205,0.0,2.3025219440460205,2.3025219440460205,0.13671875,0.0,0.13671875,0.13671875
96,0.0,alpha=0,train,2.281531572341919,0.0,2.281531572341919,2.281531572341919,0.13671875,0.0,0.13671875,0.13671875
0,0.1,alpha=0.1,test,2.304346799850464,0.0,2.304346799850464,2.304346799850464,0.13671875,0.0,0.13671875,0.13671875
0,0.1,alpha=0.1,train,2.285581111907959,0.0,2.285581111907959,2.285581111907959,0.13671875,0.0,0.13671875,0.13671875
24,0.1,alpha=0.1,test,2.3036868572235107,0.0002444517213631854,2.3033480644226074,2.304025650024414,0.13671875,0.0,0.13671875,0.13671875
24,0.1,alpha=0.1,train,2.2840932607650757,3.860651323597893e-05,2.2840397548675537,2.2841467666625976,0.13671875,0.0,0.13671875,0.13671875
48,0.1,alpha=0.1,test,2.30305278301239,0.00013537567741699164,2.302865161895752,2.303240404129028,0.13671875,0.0,0.13671875,0.13671875
48,0.1,alpha=0.1,train,2.2830244302749634,1.2981229341355362e-05,2.283006439208984,2.2830424213409426,0.13671875,0.0,0.13671875,0.13671875
72,0.1,alpha=0.1,test,2.3028364181518555,0.00013453274044677375,2.302649965286255,2.303022871017456,0.13671875,0.0,0.13671875,0.13671875
72,0.1,alpha=0.1,train,2.282233715057373,1.8881788132880526e-05,2.282207546234131,2.282259883880615,0.13671875,0.0,0.13671875,0.13671875
96,0.1,alpha=0.1,test,2.3026922941207886,6.052287446164383e-05,2.302608413696289,2.302776174545288,0.13671875,0.0,0.13671875,0.13671875
96,0.1,alpha=0.1,train,2.2815816402435303,2.697398304697218e-05,2.281544256210327,2.2816190242767336,0.13671875,0.0,0.13671875,0.13671875
0,0.5,alpha=0.5,test,2.304346799850464,0.0,2.304346799850464,2.304346799850464,0.13671875,0.0,0.13671875,0.13671875
0,0.5,alpha=0.5,train,2.285581111907959,0.0,2.285581111907959,2.285581111907959,0.13671875,0.0,0.13671875,0.13671875
24,0.5,alpha=0.5,test,2.3045061826705933,0.0012069171539579615,2.302833480834961,2.3061788845062257,0.13671875,0.0,0.13671875,0.13671875
24,0.5,alpha=0.5,train,2.284258484840393,0.00017684817635171135,2.284013385772705,2.284503583908081,0.13671875,0.0,0.13671875,0.13671875
48,0.5,alpha=0.5,test,2.3033201694488525,0.0006679432552006486,2.30239444732666,2.304245891571045,0.13671875,0.0,0.13671875,0.13671875
48,0.5,alpha=0.5,train,2.2832127809524536,5.613960221651085e-05,2.2831349754333496,2.2832905864715576,0.13671875,0.0,0.13671875,0.13671875
72,0.5,alpha=0.5,test,2.303489327430725,0.0006947486508535772,2.302526454925537,2.304452199935913,0.13671875,0.0,0.13671875,0.13671875
72,0.5,alpha=0.5,train,2.282562255859375,0.00012172009849946196,2.2823935604095458,2.2827309513092042,0.13671875,0.0,0.13671875,0.13671875
96,0.5,alpha=0.5,test,2.3034857511520386,0.0003467842695476361,2.303005132675171,2.303966369628906,0.13671875,0.0,0.13671875,0.13671875
96,0.5,alpha=0.5,train,2.281901478767395,0.00018325449732536724,2.2816475009918213,2.2821554565429687,0.13671875,0.0,0.13671875,0.13671875
0,1.0,alpha=1,test,2.304346799850464,0.0,2.304346799850464,2.304346799850464,0.13671875,0.0,0.13671875,0.13671875
0,1.0,alpha=1,train,2.285581111907959,0.0,2.285581111907959,2.285581111907959,0.13671875,0.0,0.13671875,0.13671875
24,1.0,alpha=1,test,2.305655598640442,0.002372867571163334,2.3023669719696045,2.3089442253112793,0.13671875,0.0,0.13671875,0.13671875
24,1.0,alpha=1,train,2.2845906019210815,0.00031340396552700803,2.2841562461853027,2.2850249576568604,0.13671875,0.0,0.13671875,0.13671875
48,1.0,alpha=1,test,2.303736448287964,0.0013126214500232838,2.301917247772217,2.3055556488037108,0.13671875,0.0,0.13671875,0.13671875
48,1.0,alpha=1,train,2.2835352420806885,9.171154235970541e-05,2.283408136367798,2.283662347793579,0.13671875,0.0,0.13671875,0.13671875
72,1.0,alpha=1,test,2.304553747177124,0.001450525938350929,2.302543420791626,2.306564073562622,0.13671875,0.0,0.13671875,0.13671875
72,1.0,alpha=1,train,2.2832279205322266,0.00030986363025209293,2.2827984714508056,2.2836573696136475,0.13671875,0.0,0.13671875,0.13671875
96,1.0,alpha=1,test,2.304728388786316,0.0008043304569819017,2.30361364364624,2.3058431339263916,0.13671875,0.0,0.13671875,0.13671875
96,1.0,alpha=1,train,2.282565712928772,0.00048603745702762997,2.281892099380493,2.2832393264770507,0.13671875,0.0,0.13671875,0.13671875
