step,alpha,seed,method,split,loss,accuracy
0,0.0,52,alpha=0,train,2.285581111907959,0.13671875
0,0.0,52,alpha=0,test,2.304346799850464,0.13671875
24,0.0,52,alpha=0,train,2.2840657234191895,0.13671875
24,0.0,52,alpha=0,test,2.3034958839416504,0.13671875
48,0.0,52,alpha=0,train,2.282987356185913,0.13671875
48,0.0,52,alpha=0,test,2.302994728088379,0.13671875
72,0.0,52,alpha=0,train,2.2821803092956543,0.13671875
72,0.0,52,alpha=0,test,2.3027005195617676,0.13671875
96,0.0,52,alpha=0,train,2.281531572341919,0.13671875
96,0.0,52,alpha=0,test,2.3025219440460205,0.13671875
0,0.0,152,alpha=0,train,2.285581111907959,0.13671875
0,0.0,152,alpha=0,test,2.304346799850464,0.13671875
24,0.0,152,alpha=0,train,2.2840657234191895,0.13671875
24,0.0,152,alpha=0,test,2.3034958839416504,0.13671875
48,0.0,152,alpha=0,train,2.282987356185913,0.13671875
48,0.0,152,alpha=0,test,2.302994728088379,0.13671875
72,0.0,152,alpha=0,train,2.2821803092956543,0.13671875
72,0.0,152,alpha=0,test,2.3027005195617676,0.13671875
96,0.0,152,alpha=0,train,2.281531572341919,0.13671875
96,0.0,152,alpha=0,test,2.3025219440460205,0.13671875
0,0.1,52,alpha=0.1,train,2.285581111907959,0.13671875
0,0.1,52,alpha=0.1,test,2.304346799850464,0.13671875
24,0.1,52,alpha=0.1,train,2.284120559692383,0.13671875
24,0.1,52,alpha=0.1,test,2.3038597106933594,0.13671875
48,0.1,52,alpha=0.1,train,2.283033609390259,0.13671875
48,0.1,52,alpha=0.1,test,2.3031485080718994,0.13671875
72,0.1,52,alpha=0.1,train,2.2822470664978027,0.13671875
72,0.1,52,alpha=0.1,test,2.302931547164917,0.13671875
96,0.1,52,alpha=0.1,train,2.2816007137298584,0.13671875
96,0.1,52,alpha=0.1,test,2.3027350902557373,0.13671875
0,0.1,152,alpha=0.1,train,2.285581111907959,0.13671875
0,0.1,152,alpha=0.1,test,2.304346799850464,0.13671875
24,0.1,152,alpha=0.1,train,2.2840659618377686,0.13671875
24,0.1,152,alpha=0.1,test,2.303514003753662,0.13671875
48,0.1,152,alpha=0.1,train,2.283015251159668,0.13671875
48,0.1,152,alpha=0.1,test,2.302957057952881,0.13671875
72,0.1,152,alpha=0.1,train,2.2822203636169434,0.13671875
72,0.1,152,alpha=0.1,test,2.302741289138794,0.13671875
96,0.1,152,alpha=0.1,train,2.281562566757202,0.13671875
96,0.1,152,alpha=0.1,test,2.30264949798584,0.13671875
0,0.5,52,alpha=0.5,train,2.285581111907959,0.13671875
0,0.5,52,alpha=0.5,test,2.304346799850464,0.13671875
24,0.5,52,alpha=0.5,train,2.284383535385132,0.13671875
24,0.5,52,alpha=0.5,test,2.3053596019744873,0.13671875
48,0.5,52,alpha=0.5,train,2.283252477645874,0.13671875
48,0.5,52,alpha=0.5,test,2.3037924766540527,0.13671875
72,0.5,52,alpha=0.5,train,2.2826483249664307,0.13671875
72,0.5,52,alpha=0.5,test,2.303980588912964,0.13671875
96,0.5,52,alpha=0.5,train,2.2820310592651367,0.13671875
96,0.5,52,alpha=0.5,test,2.3037309646606445,0.13671875
0,0.5,152,alpha=0.5,train,2.285581111907959,0.13671875
0,0.5,152,alpha=0.5,test,2.304346799850464,0.13671875
24,0.5,152,alpha=0.5,train,2.2841334342956543,0.13671875
24,0.5,152,alpha=0.5,test,2.303652763366699,0.13671875
48,0.5,152,alpha=0.5,train,2.283173084259033,0.13671875
48,0.5,152,alpha=0.5,test,2.3028478622436523,0.13671875
72,0.5,152,alpha=0.5,train,2.2824761867523193,0.13671875
72,0.5,152,alpha=0.5,test,2.3029980659484863,0.13671875
96,0.5,152,alpha=0.5,train,2.2817718982696533,0.13671875
96,0.5,152,alpha=0.5,test,2.3032405376434326,0.13671875
0,1.0,52,alpha=1,train,2.285581111907959,0.13671875
0,1.0,52,alpha=1,test,2.304346799850464,0.13671875
24,1.0,52,alpha=1,train,2.2848122119903564,0.13671875
24,1.0,52,alpha=1,test,2.307333469390869,0.13671875
48,1.0,52,alpha=1,train,2.283600091934204,0.13671875
48,1.0,52,alpha=1,test,2.3046646118164062,0.13671875
72,1.0,52,alpha=1,train,2.283447027206421,0.13671875
72,1.0,52,alpha=1,test,2.305579423904419,0.13671875
96,1.0,52,alpha=1,train,2.282909393310547,0.13671875
96,1.0,52,alpha=1,test,2.3052971363067627,0.13671875
0,1.0,152,alpha=1,train,2.285581111907959,0.13671875
0,1.0,152,alpha=1,test,2.304346799850464,0.13671875
24,1.0,152,alpha=1,train,2.2843689918518066,0.13671875
24,1.0,152,alpha=1,test,2.3039777278900146,0.13671875
48,1.0,152,alpha=1,train,2.283470392227173,0.13671875
48,1.0,152,alpha=1,test,2.3028082847595215,0.13671875
72,1.0,152,alpha=1,train,2.2830088138580322,0.13671875
72,1.0,152,alpha=1,test,2.303528070449829,0.13671875
96,1.0,152,alpha=1,train,2.282222032546997,0.13671875
96,1.0,152,alpha=1,test,2.304159641265869,0.13671875
