step,alpha,method,displacement_norm_mean,displacement_norm_std,displacement_norm_ci95_low,displacement_norm_ci95_high,parameter_variance_trace,n_seeds,normalized_variance,normalized_displacement
0,0.0,alpha=0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
24,0.0,alpha=0,0.05394275486469269,0.0,0.05394275486469269,0.05394275486469269,0.0,2,0.0,0.7123353577618573
48,0.0,alpha=0,0.09930669516324997,0.0,0.09930669516324997,0.09930669516324997,0.0,2,0.0,1.0036618730491942
72,0.0,alpha=0,0.13818806409835815,0.0,0.13818806409835815,0.13818806409835815,0.0,2,0.0,0.9738291483797603
96,0.0,alpha=0,0.1724235564470291,0.0,0.1724235564470291,0.1724235564470291,0.0,2,0.0,1.0322800364554041
0,0.1,alpha=0.1,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
24,0.1,alpha=0.1,0.053271640092134476,0.0017113727837848522,0.05089979842305183,0.05564348176121712,1.5068007306025585e-05,2,0.010017169649543385,0.7034730224434506
48,0.1,alpha=0.1,0.09774421527981758,0.0007490812069401835,0.09670604169368743,0.09878238886594773,1.648644200352313e-05,2,0.009994098887126006,0.9878703749651075
72,0.1,alpha=0.1,0.13555853068828583,0.0012626985079621296,0.13380851984024048,0.13730854153633118,5.277702166995134e-05,2,0.009997128440951193,0.9552984865742354
96,0.1,alpha=0.1,0.1694454476237297,0.0019621992159853103,0.1667259782552719,0.1721649169921875,4.367569510658352e-05,2,0.00993703012115011,1.0144504408477524
0,0.5,alpha=0.5,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
24,0.5,alpha=0.5,0.05771554820239544,0.009444763673969169,0.04462577357888222,0.07080532282590866,0.00037640031067042405,2,0.2502298871741781,0.7621565821082078
48,0.5,alpha=0.5,0.09483202174305916,0.004620764468135803,0.08842796891927719,0.10123607456684112,0.0004122628929437464,2,0.24991420942687112,0.9584377408916461
72,0.5,alpha=0.5,0.13161033391952515,0.005254531897550181,0.1243279242515564,0.1388927435874939,0.0013196237691513347,2,0.24996575965273077,0.9274750336440224
96,0.5,alpha=0.5,0.16270818561315536,0.007744219996073585,0.15197524428367615,0.17344112694263458,0.0010949146931202192,2,0.24911338581043913,0.9741152266972317
0,1.0,alpha=1,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
24,1.0,alpha=1,0.07572662830352783,0.017329467018663662,0.051709212362766266,0.0997440442442894,0.0015042180409425762,2,1.0,1.0
48,1.0,alpha=1,0.09894437342882156,0.01068467917613313,0.08413616359233857,0.11375258326530456,0.0016496176583523999,2,1.0,1.0
72,1.0,alpha=1,0.14190175384283066,0.00685654414616139,0.1323990684747696,0.15140443921089172,0.005279218125653068,2,1.0,1.0
96,1.0,alpha=1,0.16703176498413086,0.009016686036178116,0.15453527569770814,0.17952825427055358,0.0043952463235090306,2,1.0,1.0
