step,alpha,seed,method,displacement_norm,diverged
0,0.0,52,alpha=0,0.0,False
24,0.0,52,alpha=0,0.05394275486469269,False
48,0.0,52,alpha=0,0.09930669516324997,False
72,0.0,52,alpha=0,0.13818806409835815,False
96,0.0,52,alpha=0,0.1724235564470291,False
0,0.0,152,alpha=0,0.0,False
24,0.0,152,alpha=0,0.05394275486469269,False
48,0.0,152,alpha=0,0.09930669516324997,False
72,0.0,152,alpha=0,0.13818806409835815,False
96,0.0,152,alpha=0,0.1724235564470291,False
0,0.1,52,alpha=0.1,0.0,False
24,0.1,52,alpha=0.1,0.05206151679158211,False
48,0.1,52,alpha=0.1,0.09721453487873077,False
72,0.1,52,alpha=0.1,0.13466566801071167,False
96,0.1,52,alpha=0.1,0.16805796325206757,False
0,0.1,152,alpha=0.1,0.0,False
24,0.1,152,alpha=0.1,0.054481763392686844,False
48,0.1,152,alpha=0.1,0.09827389568090439,False
72,0.1,152,alpha=0.1,0.13645139336585999,False
96,0.1,152,alpha=0.1,0.17083293199539185,False
0,0.5,52,alpha=0.5,0.0,False
24,0.5,52,alpha=0.5,0.05103709176182747,False
48,0.5,52,alpha=0.5,0.09156464785337448,False
72,0.5,52,alpha=0.5,0.1278948187828064,False
96,0.5,52,alpha=0.5,0.15723219513893127,False
0,0.5,152,alpha=0.5,0.0,False
24,0.5,152,alpha=0.5,0.06439400464296341,False
48,0.5,152,alpha=0.5,0.09809939563274384,False
72,0.5,152,alpha=0.5,0.1353258490562439,False
96,0.5,152,alpha=0.5,0.16818417608737946,False
0,1.0,52,alpha=1,0.0,False
24,1.0,52,alpha=1,0.06347284466028214,False
48,1.0,52,alpha=1,0.09138916432857513,False
72,1.0,52,alpha=1,0.137053444981575,False
96,1.0,52,alpha=1,0.16065600514411926,False
0,1.0,152,alpha=1,0.0,False
24,1.0,152,alpha=1,0.08798041194677353,False
48,1.0,152,alpha=1,0.106499582529068,False
72,1.0,152,alpha=1,0.1467500627040863,False
96,1.0,152,alpha=1,0.17340752482414246,False
