step,alpha,method,split,loss_mean,loss_std,loss_ci95_low,loss_ci95_high,accuracy,accuracy_std,accuracy_ci95_low,accuracy_ci95_high
0,0.0,alpha=0,test,1.6797226071357727,0.0,1.6797226071357727,1.6797226071357727,0.42,0.0,0.42,0.42
0,0.0,alpha=0,train,1.502942681312561,0.0,1.502942681312561,1.502942681312561,0.4970703125,0.0,0.4970703125,0.4970703125
256,0.0,alpha=0,test,0.9731571078300476,0.0,0.9731571078300476,0.9731571078300476,0.665,0.0,0.665,0.665
256,0.0,alpha=0,train,0.7423946857452393,0.0,0.7423946857452393,0.7423946857452393,0.767578125,0.0,0.767578125,0.767578125
512,0.0,alpha=0,test,0.6777751445770264,0.0,0.6777751445770264,0.6777751445770264,0.786,0.0,0.786,0.786
512,0.0,alpha=0,train,0.43255555629730225,0.0,0.43255555629730225,0.43255555629730225,0.8798828125,0.0,0.8798828125,0.8798828125
768,0.0,alpha=0,test,0.6198484599590302,0.0,0.6198484599590302,0.6198484599590302,0.797,0.0,0.797,0.797
768,0.0,alpha=0,train,0.33824482560157776,0.0,0.33824482560157776,0.33824482560157776,0.8896484375,0.0,0.8896484375,0.8896484375
1024,0.0,alpha=0,test,0.5355732887983322,0.0,0.5355732887983322,0.5355732887983322,0.838,0.0,0.838,0.838
1024,0.0,alpha=0,train,0.24492599070072174,0.0,0.24492599070072174,0.24492599070072174,0.9296875,0.0,0.9296875,0.9296875
1280,0.0,alpha=0,test,0.5228812843561172,0.0,0.5228812843561172,0.5228812843561172,0.842,0.0,0.842,0.842
1280,0.0,alpha=0,train,0.20119047164916992,0.0,0.20119047164916992,0.20119047164916992,0.939453125,0.0,0.939453125,0.939453125
1536,0.0,alpha=0,test,0.49024301767349243,0.0,0.49024301767349243,0.49024301767349243,0.843,0.0,0.843,0.843
1536,0.0,alpha=0,train,0.18755891919136047,0.0,0.18755891919136047,0.18755891919136047,0.9443359375,0.0,0.9443359375,0.9443359375
1792,0.0,alpha=0,test,0.504988968372345,0.0,0.504988968372345,0.504988968372345,0.844,0.0,0.844,0.844
1792,0.0,alpha=0,train,0.13609884679317474,0.0,0.13609884679317474,0.13609884679317474,0.9658203125,0.0,0.9658203125,0.9658203125
2048,0.0,alpha=0,test,0.4886813908815384,0.0,0.4886813908815384,0.4886813908815384,0.853,0.0,0.853,0.853
2048,0.0,alpha=0,train,0.14644381403923035,0.0,0.14644381403923035,0.14644381403923035,0.958984375,0.0,0.958984375,0.958984375
0,0.1,alpha=0.1,test,1.6797226071357727,0.0,1.6797226071357727,1.6797226071357727,0.42,0.0,0.42,0.42
0,0.1,alpha=0.1,train,1.502942681312561,0.0,1.502942681312561,1.502942681312561,0.4970703125,0.0,0.4970703125,0.4970703125
256,0.1,alpha=0.1,test,0.9901965409517288,0.1418509295613871,0.7936011826992035,1.186791899204254,0.661,0.05091168824543139,0.5904400000000001,0.73156
256,0.1,alpha=0.1,train,0.7463721930980682,0.12369935665238206,0.5749336314201355,0.9178107547760009,0.7646484375,0.045575241756164196,0.701484375,0.8278125
512,0.1,alpha=0.1,test,0.6837429851293564,0.001251529593106743,0.6820084536075592,0.6854775166511535,0.7845,0.0021213203435596446,0.7815599999999999,0.78744
512,0.1,alpha=0.1,train,0.43760761618614197,0.007682021784383633,0.4269608771800995,0.44825435519218443,0.880859375,0.0027621358640099515,0.87703125,0.8846875
768,0.1,alpha=0.1,test,0.598234623670578,0.016393733224736917,0.5755140686035156,0.6209551787376404,0.8095000000000001,0.0021213203435596446,0.80656,0.8124400000000002
768,0.1,alpha=0.1,train,0.3334468901157379,0.020432286395899297,0.3051291859149933,0.36176459431648256,0.908203125,0.008286407592029853,0.89671875,0.9196875
1024,0.1,alpha=0.1,test,0.5379541739821434,0.0030442141843812372,0.5337351083755493,0.5421732395887375,0.835,0.0,0.835,0.835
1024,0.1,alpha=0.1,train,0.24948756396770477,0.004709383485486022,0.24296069145202637,0.2560144364833832,0.93017578125,0.0020716018980074633,0.9273046875,0.933046875
1280,0.1,alpha=0.1,test,0.5169322118163109,0.0009579241096677272,0.5156045967340469,0.5182598268985749,0.8414999999999999,0.0007071067811865482,0.8405199999999999,0.8424799999999999
1280,0.1,alpha=0.1,train,0.20487938076257706,0.0013209349158920577,0.2030486583709717,0.20671010315418242,0.9423828125,0.0,0.9423828125,0.9423828125
1536,0.1,alpha=0.1,test,0.5079630836844444,0.009481787046207958,0.49482199728488924,0.5211041700839997,0.8445,0.0007071067811865482,0.84352,0.84548
1536,0.1,alpha=0.1,train,0.16580664366483688,0.012816319259844361,0.148044131398201,0.18356915593147277,0.95166015625,0.0006905339660024879,0.950703125,0.9526171875
1792,0.1,alpha=0.1,test,0.5038522258400917,0.01868094786301399,0.47796175301074983,0.5297426986694336,0.8474999999999999,0.00777817459305203,0.8367199999999999,0.8582799999999999
1792,0.1,alpha=0.1,train,0.1380602866411209,0.010727679498326368,0.12319248139858247,0.15292809188365936,0.962890625,0.0041432037960149265,0.9571484375,0.9686328125
2048,0.1,alpha=0.1,test,0.4979429468512535,0.006257089519790945,0.48927106320858,0.506614830493927,0.85,0.0,0.85,0.85
2048,0.1,alpha=0.1,train,0.12676937878131866,0.01377599246372529,0.10767682731151582,0.1458619302511215,0.96240234375,0.004833737762017415,0.955703125,0.9691015625
