step,alpha,seed,method,split,loss,accuracy
0,0.0,53,alpha=0,train,1.502942681312561,0.4970703125
0,0.0,53,alpha=0,test,1.6797226071357727,0.42
256,0.0,53,alpha=0,train,0.7423946857452393,0.767578125
256,0.0,53,alpha=0,test,0.9731571078300476,0.665
512,0.0,53,alpha=0,train,0.43255555629730225,0.8798828125
512,0.0,53,alpha=0,test,0.6777751445770264,0.786
768,0.0,53,alpha=0,train,0.33824482560157776,0.8896484375
768,0.0,53,alpha=0,test,0.6198484599590302,0.797
1024,0.0,53,alpha=0,train,0.24492599070072174,0.9296875
1024,0.0,53,alpha=0,test,0.5355732887983322,0.838
1280,0.0,53,alpha=0,train,0.20119047164916992,0.939453125
1280,0.0,53,alpha=0,test,0.5228812843561172,0.842
1536,0.0,53,alpha=0,train,0.18755891919136047,0.9443359375
1536,0.0,53,alpha=0,test,0.49024301767349243,0.843
1792,0.0,53,alpha=0,train,0.13609884679317474,0.9658203125
1792,0.0,53,alpha=0,test,0.504988968372345,0.844
2048,0.0,53,alpha=0,train,0.14644381403923035,0.958984375
2048,0.0,53,alpha=0,test,0.4886813908815384,0.853
0,0.0,153,alpha=0,train,1.502942681312561,0.4970703125
0,0.0,153,alpha=0,test,1.6797226071357727,0.42
256,0.0,153,alpha=0,train,0.7423946857452393,0.767578125
256,0.0,153,alpha=0,test,0.9731571078300476,0.665
512,0.0,153,alpha=0,train,0.43255555629730225,0.8798828125
512,0.0,153,alpha=0,test,0.6777751445770264,0.786
768,0.0,153,alpha=0,train,0.33824482560157776,0.8896484375
768,0.0,153,alpha=0,test,0.6198484599590302,0.797
1024,0.0,153,alpha=0,train,0.24492599070072174,0.9296875
1024,0.0,153,alpha=0,test,0.5355732887983322,0.838
1280,0.0,153,alpha=0,train,0.20119047164916992,0.939453125
1280,0.0,153,alpha=0,test,0.5228812843561172,0.842
1536,0.0,153,alpha=0,train,0.18755891919136047,0.9443359375
1536,0.0,153,alpha=0,test,0.49024301767349243,0.843
1792,0.0,153,alpha=0,train,0.13609884679317474,0.9658203125
1792,0.0,153,alpha=0,test,0.504988968372345,0.844
2048,0.0,153,alpha=0,train,0.14644381403923035,0.958984375
2048,0.0,153,alpha=0,test,0.4886813908815384,0.853
0,0.1,53,alpha=0.1,train,1.502942681312561,0.4970703125
0,0.1,53,alpha=0.1,test,1.6797226071357727,0.42
256,0.1,53,alpha=0.1,train,0.6589035391807556,0.796875
256,0.1,53,alpha=0.1,test,0.8898927867412567,0.697
512,0.1,53,alpha=0.1,train,0.4321756064891815,0.8828125
512,0.1,53,alpha=0.1,test,0.682858020067215,0.786
768,0.1,53,alpha=0.1,train,0.3189990818500519,0.9140625
768,0.1,53,alpha=0.1,test,0.5866425037384033,0.811
1024,0.1,53,alpha=0.1,train,0.2528176009654999,0.9287109375
1024,0.1,53,alpha=0.1,test,0.5401067584753036,0.835
1280,0.1,53,alpha=0.1,train,0.2058134227991104,0.9423828125
1280,0.1,53,alpha=0.1,test,0.517609566450119,0.841
1536,0.1,53,alpha=0.1,train,0.17486914992332458,0.951171875
1536,0.1,53,alpha=0.1,test,0.501258447766304,0.844
1792,0.1,53,alpha=0.1,train,0.13047467172145844,0.9658203125
1792,0.1,53,alpha=0.1,test,0.5170616507530212,0.842
2048,0.1,53,alpha=0.1,train,0.1365104764699936,0.958984375
2048,0.1,53,alpha=0.1,test,0.49351851642131805,0.85
0,0.1,153,alpha=0.1,train,1.502942681312561,0.4970703125
0,0.1,153,alpha=0.1,test,1.6797226071357727,0.42
256,0.1,153,alpha=0.1,train,0.8338408470153809,0.732421875
256,0.1,153,alpha=0.1,test,1.090500295162201,0.625
512,0.1,153,alpha=0.1,train,0.4430396258831024,0.87890625
512,0.1,153,alpha=0.1,test,0.6846279501914978,0.783
768,0.1,153,alpha=0.1,train,0.34789469838142395,0.90234375
768,0.1,153,alpha=0.1,test,0.6098267436027527,0.808
1024,0.1,153,alpha=0.1,train,0.24615752696990967,0.931640625
1024,0.1,153,alpha=0.1,test,0.5358015894889832,0.835
1280,0.1,153,alpha=0.1,train,0.2039453387260437,0.9423828125
1280,0.1,153,alpha=0.1,test,0.5162548571825027,0.842
1536,0.1,153,alpha=0.1,train,0.15674413740634918,0.9521484375
1536,0.1,153,alpha=0.1,test,0.5146677196025848,0.845
1792,0.1,153,alpha=0.1,train,0.1456459015607834,0.9599609375
1792,0.1,153,alpha=0.1,test,0.49064280092716217,0.853
2048,0.1,153,alpha=0.1,train,0.11702828109264374,0.9658203125
2048,0.1,153,alpha=0.1,test,0.502367377281189,0.85
0,0.5,53,alpha=0.5,train,1.502942681312561,0.4970703125
0,0.5,53,alpha=0.5,test,1.6797226071357727,0.42
256,0.5,53,alpha=0.5,train,0.828804612159729,0.7353515625
256,0.5,53,alpha=0.5,test,1.0715983510017395,0.628
512,0.5,53,alpha=0.5,train,0.9089374542236328,0.744140625
512,0.5,53,alpha=0.5,test,1.0679022669792175,0.648
768,0.5,53,alpha=0.5,train,0.35847654938697815,0.896484375
768,0.5,53,alpha=0.5,test,0.6124901473522186,0.805
1024,0.5,53,alpha=0.5,train,0.26503419876098633,0.9248046875
1024,0.5,53,alpha=0.5,test,0.5458937287330627,0.824
1280,0.5,53,alpha=0.5,train,0.20665587484836578,0.9404296875
1280,0.5,53,alpha=0.5,test,0.5181155949831009,0.838
1536,0.5,53,alpha=0.5,train,0.15249629318714142,0.95703125
1536,0.5,53,alpha=0.5,test,0.5058528929948807,0.845
1792,0.5,53,alpha=0.5,train,0.174514040350914,0.9501953125
1792,0.5,53,alpha=0.5,test,0.5289957821369171,0.84
2048,0.5,53,alpha=0.5,train,0.11961337924003601,0.9638671875
2048,0.5,53,alpha=0.5,test,0.5383475422859192,0.846
0,0.5,153,alpha=0.5,train,1.502942681312561,0.4970703125
0,0.5,153,alpha=0.5,test,1.6797226071357727,0.42
256,0.5,153,alpha=0.5,train,0.7871281504631042,0.7822265625
256,0.5,153,alpha=0.5,test,0.9800756275653839,0.681
512,0.5,153,alpha=0.5,train,0.47522813081741333,0.873046875
512,0.5,153,alpha=0.5,test,0.7170941531658173,0.762
768,0.5,153,alpha=0.5,train,0.347064733505249,0.90234375
768,0.5,153,alpha=0.5,test,0.6096471548080444,0.799
1024,0.5,153,alpha=0.5,train,0.2841554880142212,0.9189453125
1024,0.5,153,alpha=0.5,test,0.5801635384559631,0.816
1280,0.5,153,alpha=0.5,train,0.20129653811454773,0.94140625
1280,0.5,153,alpha=0.5,test,0.5364120155572891,0.846
1536,0.5,153,alpha=0.5,train,0.21034687757492065,0.943359375
1536,0.5,153,alpha=0.5,test,0.5598300099372864,0.833
1792,0.5,153,alpha=0.5,train,0.14817820489406586,0.9609375
1792,0.5,153,alpha=0.5,test,0.5249185115098953,0.845
2048,0.5,153,alpha=0.5,train,0.11606099456548691,0.9677734375
2048,0.5,153,alpha=0.5,test,0.5197267830371857,0.851
0,1.0,53,alpha=1,train,1.502942681312561,0.4970703125
0,1.0,53,alpha=1,test,1.6797226071357727,0.42
256,1.0,53,alpha=1,train,0.8158783316612244,0.7392578125
256,1.0,53,alpha=1,test,1.0650207996368408,0.631
512,1.0,53,alpha=1,train,1.0021848678588867,0.681640625
512,1.0,53,alpha=1,test,1.2340665459632874,0.581
768,1.0,53,alpha=1,train,0.4658336043357849,0.86328125
768,1.0,53,alpha=1,test,0.7477239370346069,0.742
1024,1.0,53,alpha=1,train,0.6696351170539856,0.8193359375
1024,1.0,53,alpha=1,test,0.8472828269004822,0.73
