step,alpha,method,displacement_norm_mean,displacement_norm_std,displacement_norm_ci95_low,displacement_norm_ci95_high,parameter_variance_trace,n_seeds,normalized_variance,normalized_displacement
0,0.0,alpha=0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
256,0.0,alpha=0,3.400069236755371,0.0,3.400069236755371,3.400069236755371,0.0,2,0.0,1.0360590200076116
512,0.0,alpha=0,5.116409778594971,0.0,5.116409778594971,5.116409778594971,0.0,2,0.0,0.9127958716359232
768,0.0,alpha=0,6.312248229980469,0.0,6.312248229980469,6.312248229980469,0.0,2,0.0,0.913660517272438
1024,0.0,alpha=0,7.215389251708984,0.0,7.215389251708984,7.215389251708984,0.0,2,0.0,0.8892067119682083
1280,0.0,alpha=0,7.962061405181885,0.0,7.962061405181885,7.962061405181885,0.0,2,0.0,0.8945244409320348
1536,0.0,alpha=0,8.566895484924316,0.0,8.566895484924316,8.566895484924316,0.0,2,0.0,0.9041510641013305
1792,0.0,alpha=0,9.132049560546875,0.0,9.132049560546875,9.132049560546875,0.0,2,0.0,0.8619195679586364
2048,0.0,alpha=0,9.566156387329102,0.0,9.566156387329102,9.566156387329102,0.0,2,0.0,0.7973956683824736
0,0.1,alpha=0.1,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
256,0.1,alpha=0.1,3.3846993446350098,0.008378793483965733,3.373086929321289,3.3963117599487305,0.010658529068315256,2,0.018586075903899213,1.0313755520371062
512,0.1,alpha=0.1,5.09138822555542,0.012996739381607371,5.073375663757324,5.109400787353516,0.019227960676371107,2,0.006343956836330577,0.9083318878455762
768,0.1,alpha=0.1,6.316564321517944,0.010127719109773793,6.302528018951416,6.3306006240844725,0.12847723304273306,2,0.0336123409268203,0.9142852459401092
1024,0.1,alpha=0.1,7.222792148590088,0.028815631739504206,7.18285572052002,7.262728576660156,0.10207798943390016,2,0.017481325613657055,0.8901190266563073
1280,0.1,alpha=0.1,7.976420879364014,0.021324956647360033,7.946865997314453,8.005975761413573,0.1486441990137961,2,0.021947280107122262,0.8961377041262231
1536,0.1,alpha=0.1,8.575230598449707,0.040603936680607224,8.518956413269043,8.63150478363037,0.2265581776701622,2,0.029512567468682645,0.905030752872677
1792,0.1,alpha=0.1,9.125991344451904,0.020352544558516684,9.097784156799316,9.154198532104493,0.52295679416144,2,0.03460788771353085,0.8613477691565651
2048,0.1,alpha=0.1,9.57773733139038,0.07814295453750224,9.469436721801758,9.686037940979004,0.6382278673737117,2,0.024377741467421072,0.7983610085103514
0,0.5,alpha=0.5,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
256,0.5,alpha=0.5,3.3125674724578857,0.038200554791122,3.25962420463562,3.3655107402801514,0.2878381774581235,2,0.5019250010941998,1.0093957417464012
512,0.5,alpha=0.5,5.1177332401275635,0.05669290604376187,5.039160881042481,5.196305599212646,1.0438854284323065,2,0.3444132329741608,0.9130319845110635
768,0.5,alpha=0.5,6.377426862716675,0.13733634880971843,6.187088394165039,6.56776533126831,0.5288436687176084,2,0.13835660427100155,0.9230947380335972
1024,0.5,alpha=0.5,7.357747793197632,0.12512657538350647,7.184331207275391,7.531164379119873,0.9332177430407935,2,0.15981783462831803,0.9067506262577566
1280,0.5,alpha=0.5,8.109487056732178,0.11809277212922038,7.945818824768066,8.27315528869629,1.0366614237942824,2,0.1530628090111315,0.9110874692510879
1536,0.5,alpha=0.5,8.825536251068115,0.023325077490293018,8.793209342956542,8.857863159179688,2.0640469127870897,2,0.2688727654794236,0.9314480381732588
1792,0.5,alpha=0.5,9.513250827789307,0.17098335808772344,9.276279983520508,9.750221672058105,4.280005270144009,2,0.2832393487495986,0.8978988768080296
2048,0.5,alpha=0.5,9.9980788230896,0.2116992367979756,9.704678649902343,10.291478996276856,4.546750977707271,2,0.173667628001568,0.8333989559524764
0,1.0,alpha=1,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
256,1.0,alpha=1,3.2817331552505493,0.05854787314042333,3.2005899429321287,3.36287636756897,0.5734684999365133,2,1.0,1.0
512,1.0,alpha=1,5.6052069664001465,0.5502807181010274,4.842556800842285,6.367857131958008,3.030909757496521,2,1.0,1.0
768,1.0,alpha=1,6.908745765686035,0.4280825057520579,6.315453681945801,7.502037849426269,3.822323274729646,2,1.0,1.0
1024,1.0,alpha=1,8.11441159248352,0.40578412549149023,7.5520234870910645,8.676799697875976,5.839259086516476,2,1.0,1.0
1280,1.0,alpha=1,8.900887489318848,0.4344942215223232,8.29870922088623,9.503065757751465,6.7727845221950105,2,1.0,1.0
1536,1.0,alpha=1,9.47507095336914,0.42292642889262916,8.888924827575684,10.061217079162597,7.676667843642378,2,1.0,1.0
1792,1.0,alpha=1,10.595013618469238,1.2319490102255517,8.887619400024414,12.302407836914062,15.110913398998822,2,1.0,1.0
2048,1.0,alpha=1,11.996749877929688,0.0187617539083215,11.970747413635253,12.022752342224122,26.180762817041643,2,1.0,1.0
