step,alpha,seed,method,displacement_norm,diverged
0,0.0,53,alpha=0,0.0,False
256,0.0,53,alpha=0,3.400069236755371,False
512,0.0,53,alpha=0,5.116409778594971,False
768,0.0,53,alpha=0,6.312248229980469,False
1024,0.0,53,alpha=0,7.215389251708984,False
1280,0.0,53,alpha=0,7.962061405181885,False
1536,0.0,53,alpha=0,8.566895484924316,False
1792,0.0,53,alpha=0,9.132049560546875,False
2048,0.0,53,alpha=0,9.566156387329102,False
0,0.0,153,alpha=0,0.0,False
256,0.0,153,alpha=0,3.400069236755371,False
512,0.0,153,alpha=0,5.116409778594971,False
768,0.0,153,alpha=0,6.312248229980469,False
1024,0.0,153,alpha=0,7.215389251708984,False
1280,0.0,153,alpha=0,7.962061405181885,False
1536,0.0,153,alpha=0,8.566895484924316,False
1792,0.0,153,alpha=0,9.132049560546875,False
2048,0.0,153,alpha=0,9.566156387329102,False
0,0.1,53,alpha=0.1,0.0,False
256,0.1,53,alpha=0.1,3.3906240463256836,False
512,0.1,53,alpha=0.1,5.100578308105469,False
768,0.1,53,alpha=0.1,6.309402942657471,False
1024,0.1,53,alpha=0.1,7.20241641998291,False
1280,0.1,53,alpha=0.1,7.961341857910156,False
1536,0.1,53,alpha=0.1,8.54651927947998,False
1792,0.1,53,alpha=0.1,9.111599922180176,False
2048,0.1,53,alpha=0.1,9.522481918334961,False
0,0.1,153,alpha=0.1,0.0,False
256,0.1,153,alpha=0.1,3.378774642944336,False
512,0.1,153,alpha=0.1,5.082198143005371,False
768,0.1,153,alpha=0.1,6.323725700378418,False
1024,0.1,153,alpha=0.1,7.243167877197266,False
1280,0.1,153,alpha=0.1,7.991499900817871,False
1536,0.1,153,alpha=0.1,8.603941917419434,False
1792,0.1,153,alpha=0.1,9.140382766723633,False
2048,0.1,153,alpha=0.1,9.6329927444458,False
0,0.5,53,alpha=0.5,0.0,False
256,0.5,53,alpha=0.5,3.285555601119995,False
512,0.5,53,alpha=0.5,5.157821178436279,False
768,0.5,53,alpha=0.5,6.474538326263428,False
1024,0.5,53,alpha=0.5,7.446225643157959,False
1280,0.5,53,alpha=0.5,8.192991256713867,False
1536,0.5,53,alpha=0.5,8.809042930603027,False
1792,0.5,53,alpha=0.5,9.634154319763184,False
2048,0.5,53,alpha=0.5,10.147772789001465,False
0,0.5,153,alpha=0.5,0.0,False
256,0.5,153,alpha=0.5,3.3395793437957764,False
512,0.5,153,alpha=0.5,5.077645301818848,False
768,0.5,153,alpha=0.5,6.280315399169922,False
1024,0.5,153,alpha=0.5,7.269269943237305,False
1280,0.5,153,alpha=0.5,8.025982856750488,False
1536,0.5,153,alpha=0.5,8.842029571533203,False
1792,0.5,153,alpha=0.5,9.39234733581543,False
2048,0.5,153,alpha=0.5,9.848384857177734,False
0,1.0,53,alpha=1,0.0,False
256,1.0,53,alpha=1,3.2403335571289062,False
512,1.0,53,alpha=1,5.994314193725586,False
768,1.0,53,alpha=1,7.2114458084106445,False
1024,1.0,53,alpha=1,8.401344299316406,False
1280,1.0,53,alpha=1,9.208121299743652,False
1536,1.0,53,alpha=1,9.774125099182129,False
1792,1.0,53,alpha=1,11.466133117675781,False
2048,1.0,53,alpha=1,12.010016441345215,False
0,1.0,153,alpha=1,0.0,False
256,1.0,153,alpha=1,3.3231327533721924,False
512,1.0,153,alpha=1,5.216099739074707,False
768,1.0,153,alpha=1,6.606045722961426,False
1024,1.0,153,alpha=1,7.827478885650635,False
1280,1.0,153,alpha=1,8.593653678894043,False
1536,1.0,153,alpha=1,9.176016807556152,False
1792,1.0,153,alpha=1,9.723894119262695,False
2048,1.0,153,alpha=1,11.98348331451416,False
