step,alpha,method,split,loss_mean,loss_std,loss_ci95_low,loss_ci95_high,accuracy,accuracy_std,accuracy_ci95_low,accuracy_ci95_high
0,0.0,alpha=0,test,2.303544282913208,0.0,2.303544282913208,2.303544282913208,0.13671875,0.0,0.13671875,0.13671875
0,0.0,alpha=0,train,2.2858705520629883,0.0,2.2858705520629883,2.2858705520629883,0.13671875,0.0,0.13671875,0.13671875
24,0.0,alpha=0,test,2.3031811714172363,0.0,2.3031811714172363,2.3031811714172363,0.13671875,0.0,0.13671875,0.13671875
24,0.0,alpha=0,train,2.284306764602661,0.0,2.284306764602661,2.284306764602661,0.13671875,0.0,0.13671875,0.13671875
48,0.0,alpha=0,test,2.3031249046325684,0.0,2.3031249046325684,2.3031249046325684,0.13671875,0.0,0.13671875,0.13671875
48,0.0,alpha=0,train,2.28328800201416,0.0,2.28328800201416,2.28328800201416,0.13671875,0.0,0.13671875,0.13671875
72,0.0,alpha=0,test,2.3032100200653076,0.0,2.3032100200653076,2.3032100200653076,0.13671875,0.0,0.13671875,0.13671875
72,0.0,alpha=0,train,2.282590866088867,0.0,2.282590866088867,2.282590866088867,0.13671875,0.0,0.13671875,0.13671875
96,0.0,alpha=0,test,2.30334210395813,0.0,2.30334210395813,2.30334210395813,0.13671875,0.0,0.13671875,0.13671875
96,0.0,alpha=0,train,2.2820773124694824,0.0,2.2820773124694824,2.2820773124694824,0.13671875,0.0,0.13671875,0.13671875
0,0.1,alpha=0.1,test,2.303544282913208,0.0,2.303544282913208,2.303544282913208,0.13671875,0.0,0.13671875,0.13671875
0,0.1,alpha=0.1,train,2.2858705520629883,0.0,2.2858705520629883,2.2858705520629883,0.13671875,0.0,0.13671875,0.13671875
24,0.1,alpha=0.1,test,2.303213596343994,3.4054653596802375e-05,2.303166399002075,2.3032607936859133,0.13671875,0.0,0.13671875,0.13671875
24,0.1,alpha=0.1,train,2.284305453300476,6.574908367699469e-06,2.2842963409423827,2.2843145656585695,0.13671875,0.0,0.13671875,0.13671875
48,0.1,alpha=0.1,test,2.303170084953308,1.5172865463921851e-06,2.3031679821014404,2.303172187805176,0.13671875,0.0,0.13671875,0.13671875
48,0.1,alpha=0.1,train,2.2832940816879272,7.2492579438737736e-06,2.2832840347290038,2.2833041286468507,0.13671875,0.0,0.13671875,0.13671875
72,0.1,alpha=0.1,test,2.3032642602920532,5.563384003438012e-06,2.303256549835205,2.3032719707489013,0.13671875,0.0,0.13671875,0.13671875
72,0.1,alpha=0.1,train,2.2825926542282104,5.563384003438012e-06,2.2825849437713623,2.2826003646850586,0.13671875,0.0,0.13671875,0.13671875
96,0.1,alpha=0.1,test,2.3033692836761475,2.9334206563582246e-05,2.303328628540039,2.3034099388122558,0.13671875,0.0,0.13671875,0.13671875
96,0.1,alpha=0.1,train,2.2820810079574585,2.528810910653642e-06,2.282077503204346,2.282084512710571,0.13671875,0.0,0.13671875,0.13671875
0,0.5,alpha=0.5,test,2.303544282913208,0.0,2.303544282913208,2.303544282913208,0.13671875,0.0,0.13671875,0.13671875
0,0.5,alpha=0.5,train,2.2858705520629883,0.0,2.2858705520629883,2.2858705520629883,0.13671875,0.0,0.13671875,0.13671875
24,0.5,alpha=0.5,test,2.3033453226089478,0.0001701046805899683,2.3031095695495605,2.303581075668335,0.13671875,0.0,0.13671875,0.13671875
24,0.5,alpha=0.5,train,2.284301280975342,3.135725529210516e-05,2.2842578220367433,2.2843447399139403,0.13671875,0.0,0.13671875,0.13671875
48,0.5,alpha=0.5,test,2.303352117538452,6.743495761743045e-06,2.3033427715301515,2.3033614635467528,0.13671875,0.0,0.13671875,0.13671875
48,0.5,alpha=0.5,train,2.283319115638733,3.523476535510741e-05,2.2832702827453613,2.2833679485321046,0.13671875,0.0,0.13671875,0.13671875
72,0.5,alpha=0.5,test,2.3034822940826416,3.0345730927843704e-05,2.303440237045288,2.303524351119995,0.13671875,0.0,0.13671875,0.13671875
72,0.5,alpha=0.5,train,2.2826024293899536,2.8154094805277214e-05,2.282563409805298,2.2826414489746094,0.13671875,0.0,0.13671875,0.13671875
96,0.5,alpha=0.5,test,2.303480386734009,0.000148356906758347,2.3032747745513915,2.303685998916626,0.13671875,0.0,0.13671875,0.13671875
96,0.5,alpha=0.5,train,2.2820965051651,1.3655578917529666e-05,2.282077579498291,2.2821154308319094,0.13671875,0.0,0.13671875,0.13671875
0,1.0,alpha=1,test,2.303544282913208,0.0,2.303544282913208,2.303544282913208,0.13671875,0.0,0.13671875,0.13671875
0,1.0,alpha=1,train,2.2858705520629883,0.0,2.2858705520629883,2.2858705520629883,0.13671875,0.0,0.13671875,0.13671875
24,1.0,alpha=1,test,2.3035123348236084,0.00034122088554419807,2.303039426803589,2.303985242843628,0.13671875,0.0,0.13671875,0.13671875
24,1.0,alpha=1,train,2.284298539161682,6.119722403781814e-05,2.2842137241363525,2.2843833541870118,0.13671875,0.0,0.13671875,0.13671875
48,1.0,alpha=1,test,2.3035837411880493,1.3655578917529666e-05,2.30356481552124,2.3036026668548586,0.13671875,0.0,0.13671875,0.13671875
