step,alpha,seed,method,split,loss,accuracy
0,0.0,53,alpha=0,train,2.2858705520629883,0.13671875
0,0.0,53,alpha=0,test,2.303544282913208,0.13671875
24,0.0,53,alpha=0,train,2.284306764602661,0.13671875
24,0.0,53,alpha=0,test,2.3031811714172363,0.13671875
48,0.0,53,alpha=0,train,2.28328800201416,0.13671875
48,0.0,53,alpha=0,test,2.3031249046325684,0.13671875
72,0.0,53,alpha=0,train,2.282590866088867,0.13671875
72,0.0,53,alpha=0,test,2.3032100200653076,0.13671875
96,0.0,53,alpha=0,train,2.2820773124694824,0.13671875
96,0.0,53,alpha=0,test,2.30334210395813,0.13671875
0,0.0,153,alpha=0,train,2.2858705520629883,0.13671875
0,0.0,153,alpha=0,test,2.303544282913208,0.13671875
24,0.0,153,alpha=0,train,2.284306764602661,0.13671875
24,0.0,153,alpha=0,test,2.3031811714172363,0.13671875
48,0.0,153,alpha=0,train,2.28328800201416,0.13671875
48,0.0,153,alpha=0,test,2.3031249046325684,0.13671875
72,0.0,153,alpha=0,train,2.282590866088867,0.13671875
72,0.0,153,alpha=0,test,2.3032100200653076,0.13671875
96,0.0,153,alpha=0,train,2.2820773124694824,0.13671875
96,0.0,153,alpha=0,test,2.30334210395813,0.13671875
0,0.1,53,alpha=0.1,train,2.2858705520629883,0.13671875
0,0.1,53,alpha=0.1,test,2.303544282913208,0.13671875
24,0.1,53,alpha=0.1,train,2.2843101024627686,0.13671875
24,0.1,53,alpha=0.1,test,2.3032376766204834,0.13671875
48,0.1,53,alpha=0.1,train,2.283299207687378,0.13671875
48,0.1,53,alpha=0.1,test,2.303171157836914,0.13671875
72,0.1,53,alpha=0.1,train,2.2825965881347656,0.13671875
72,0.1,53,alpha=0.1,test,2.3032681941986084,0.13671875
96,0.1,53,alpha=0.1,train,2.2820827960968018,0.13671875
96,0.1,53,alpha=0.1,test,2.3033900260925293,0.13671875
0,0.1,153,alpha=0.1,train,2.2858705520629883,0.13671875
0,0.1,153,alpha=0.1,test,2.303544282913208,0.13671875
24,0.1,153,alpha=0.1,train,2.2843008041381836,0.13671875
24,0.1,153,alpha=0.1,test,2.303189516067505,0.13671875
48,0.1,153,alpha=0.1,train,2.2832889556884766,0.13671875
48,0.1,153,alpha=0.1,test,2.303169012069702,0.13671875
72,0.1,153,alpha=0.1,train,2.2825887203216553,0.13671875
72,0.1,153,alpha=0.1,test,2.303260326385498,0.13671875
96,0.1,153,alpha=0.1,train,2.2820792198181152,0.13671875
96,0.1,153,alpha=0.1,test,2.3033485412597656,0.13671875
0,0.5,53,alpha=0.5,train,2.2858705520629883,0.13671875
0,0.5,53,alpha=0.5,test,2.303544282913208,0.13671875
24,0.5,53,alpha=0.5,train,2.2843234539031982,0.13671875
24,0.5,53,alpha=0.5,test,2.3034656047821045,0.13671875
48,0.5,53,alpha=0.5,train,2.283344030380249,0.13671875
48,0.5,53,alpha=0.5,test,2.303356885910034,0.13671875
72,0.5,53,alpha=0.5,train,2.2826223373413086,0.13671875
72,0.5,53,alpha=0.5,test,2.3035037517547607,0.13671875
96,0.5,53,alpha=0.5,train,2.2821061611175537,0.13671875
96,0.5,53,alpha=0.5,test,2.3035852909088135,0.13671875
0,0.5,153,alpha=0.5,train,2.2858705520629883,0.13671875
0,0.5,153,alpha=0.5,test,2.303544282913208,0.13671875
24,0.5,153,alpha=0.5,train,2.2842791080474854,0.13671875
24,0.5,153,alpha=0.5,test,2.303225040435791,0.13671875
48,0.5,153,alpha=0.5,train,2.283294200897217,0.13671875
48,0.5,153,alpha=0.5,test,2.30334734916687,0.13671875
72,0.5,153,alpha=0.5,train,2.2825825214385986,0.13671875
72,0.5,153,alpha=0.5,test,2.3034608364105225,0.13671875
96,0.5,153,alpha=0.5,train,2.2820868492126465,0.13671875
96,0.5,153,alpha=0.5,test,2.303375482559204,0.13671875
0,1.0,53,alpha=1,train,2.2858705520629883,0.13671875
0,1.0,53,alpha=1,test,2.303544282913208,0.13671875
24,1.0,53,alpha=1,train,2.284341812133789,0.13671875
24,1.0,53,alpha=1,test,2.303753614425659,0.13671875
48,1.0,53,alpha=1,train,2.2834038734436035,0.13671875
48,1.0,53,alpha=1,test,2.303593397140503,0.13671875
72,1.0,53,alpha=1,train,2.282658576965332,0.13671875
72,1.0,53,alpha=1,test,2.303807020187378,0.13671875
96,1.0,53,alpha=1,train,2.2821402549743652,0.13671875
96,1.0,53,alpha=1,test,2.3038384914398193,0.13671875
0,1.0,153,alpha=1,train,2.2858705520629883,0.13671875
0,1.0,153,alpha=1,test,2.303544282913208,0.13671875
24,1.0,153,alpha=1,train,2.284255266189575,0.13671875
24,1.0,153,alpha=1,test,2.3032710552215576,0.13671875
48,1.0,153,alpha=1,train,2.283308267593384,0.13671875
48,1.0,153,alpha=1,test,2.3035740852355957,0.13671875
72,1.0,153,alpha=1,train,2.2825803756713867,0.13671875
72,1.0,153,alpha=1,test,2.303713321685791,0.13671875
96,1.0,153,alpha=1,train,2.282099962234497,0.13671875
96,1.0,153,alpha=1,test,2.3034095764160156,0.13671875
