step,alpha,method,displacement_norm_mean,displacement_norm_std,displacement_norm_ci95_low,displacement_norm_ci95_high,parameter_variance_trace,n_seeds,normalized_variance,normalized_displacement
0,0.0,alpha=0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
24,0.0,alpha=0,0.05478677526116371,0.0,0.05478677526116371,0.05478677526116371,0.0,2,0.0,0.975253592765887
48,0.0,alpha=0,0.09886793047189713,0.0,0.09886793047189713,0.09886793047189713,0.0,2,0.0,1.021941056883959
72,0.0,alpha=0,0.13500727713108063,0.0,0.13500727713108063,0.13500727713108063,0.0,2,0.0,1.005522547800051
96,0.0,alpha=0,0.1653909683227539,0.0,0.1653909683227539,0.1653909683227539,0.0,2,0.0,1.013437506391508
0,0.1,alpha=0.1,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
24,0.1,alpha=0.1,0.054851120337843895,0.00026443723009144494,0.054484629034996034,0.055217611640691756,3.7685387742561206e-07,2,0.01005615061561984,0.97639899267143
48,0.1,alpha=0.1,0.09858845919370651,0.0003814711258721019,0.0980597671866417,0.09911715120077133,7.983225297569132e-07,2,0.009993103676811168,1.0190523226701484
72,0.1,alpha=0.1,0.13488483428955078,0.0003763713572022837,0.13436321020126343,0.13540645837783813,7.780774299056294e-07,2,0.009867123701838555,1.0046106040841916
96,0.1,alpha=0.1,0.16513890773057938,0.0002127256811466099,0.16484408497810363,0.16543373048305512,1.0246238401754506e-06,2,0.00974951482368447,1.0118929984864908
0,0.5,alpha=0.5,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
24,0.5,alpha=0.5,0.0552777461707592,0.001414248038495177,0.05331769838929176,0.05723779395222664,9.396081212604065e-06,2,0.25072956265175655,0.9839933140078114
48,0.5,alpha=0.5,0.09762017801404,0.0020344547194011743,0.09480056762695313,0.10043978840112686,1.995246781726747e-05,2,0.249757550456336,1.0090437558134717
72,0.5,alpha=0.5,0.13449884206056595,0.001918809035443345,0.1318395084142685,0.1371581757068634,1.9553010939523756e-05,2,0.24795986911878878,1.0017357672771132
96,0.5,alpha=0.5,0.164198599755764,0.001071615233525864,0.16271341681480408,0.16568378269672393,2.5879941845397674e-05,2,0.24625317776579486,1.006131236650879
0,1.0,alpha=1,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
24,1.0,alpha=1,0.05617695301771164,0.003030326797796898,0.051977134346961974,0.060376771688461305,3.747496351538919e-05,2,1.0,1.0
48,1.0,alpha=1,0.09674523770809174,0.004366782290653092,0.09069318622350693,0.10279728919267654,7.988734587127395e-05,2,1.0,1.0
72,1.0,alpha=1,0.13426578789949417,0.00391505236831333,0.12883980214595794,0.1396917736530304,7.885554629873031e-05,2,1.0,1.0
96,1.0,alpha=1,0.16319799423217773,0.002148667410509633,0.16022009313106536,0.1661758953332901,0.00010509485432919541,2,1.0,1.0
