step,alpha,seed,method,displacement_norm,diverged
0,0.0,53,alpha=0,0.0,False
24,0.0,53,alpha=0,0.05478677526116371,False
48,0.0,53,alpha=0,0.09886793047189713,False
72,0.0,53,alpha=0,0.13500727713108063,False
96,0.0,53,alpha=0,0.1653909683227539,False
0,0.0,153,alpha=0,0.0,False
24,0.0,153,alpha=0,0.05478677526116371,False
48,0.0,153,alpha=0,0.09886793047189713,False
72,0.0,153,alpha=0,0.13500727713108063,False
96,0.0,153,alpha=0,0.1653909683227539,False
0,0.1,53,alpha=0.1,0.0,False
24,0.1,53,alpha=0.1,0.05466413497924805,False
48,0.1,53,alpha=0.1,0.09831871837377548,False
72,0.1,53,alpha=0.1,0.13461869955062866,False
96,0.1,53,alpha=0.1,0.16498848795890808,False
0,0.1,153,alpha=0.1,0.0,False
24,0.1,153,alpha=0.1,0.05503810569643974,False
48,0.1,153,alpha=0.1,0.09885820001363754,False
72,0.1,153,alpha=0.1,0.1351509690284729,False
96,0.1,153,alpha=0.1,0.16528932750225067,False
0,0.5,53,alpha=0.5,0.0,False
24,0.5,53,alpha=0.5,0.05427772179245949,False
48,0.5,53,alpha=0.5,0.09618160128593445,False
72,0.5,53,alpha=0.5,0.13314203917980194,False
96,0.5,53,alpha=0.5,0.16344085335731506,False
0,0.5,153,alpha=0.5,0.0,False
24,0.5,153,alpha=0.5,0.056277770549058914,False
48,0.5,153,alpha=0.5,0.09905875474214554,False
72,0.5,153,alpha=0.5,0.13585564494132996,False
96,0.5,153,alpha=0.5,0.16495634615421295,False
0,1.0,53,alpha=1,0.0,False
24,1.0,53,alpha=1,0.05403418838977814,False
48,1.0,53,alpha=1,0.09365745633840561,False
72,1.0,53,alpha=1,0.13149742782115936,False
96,1.0,53,alpha=1,0.16167865693569183,False
0,1.0,153,alpha=1,0.0,False
24,1.0,153,alpha=1,0.05831971764564514,False
48,1.0,153,alpha=1,0.09983301907777786,False
72,1.0,153,alpha=1,0.13703414797782898,False
96,1.0,153,alpha=1,0.16471733152866364,False
