horizon,method,mean_trajectory_error,projection_error,variance_error,variance_trace,sgd_variance_trace,final_displacement_error
1,sgd,0.0,0.0,0.0,0.0007372077670879662,0.0007372077670879662,0.0
5,sgd,0.0,0.0,0.0,0.003014299785718322,0.003014299785718322,0.0
20,sgd,0.0,0.0,0.0,0.010329957120120525,0.010329957120120525,0.0
120,sgd,0.0,0.0,0.0,0.02908741682767868,0.02908741682767868,0.0
1,standard_langevin,0.6760289669036865,0.4809834957122803,0.060330118983983994,0.0006927319336682558,0.0007372077670879662,0.6760289669036865
5,standard_langevin,0.3609134256839752,0.47285550832748413,0.003847193904221058,0.0030027031898498535,0.003014299785718322,0.3609134256839752
20,standard_langevin,0.15839345753192902,0.22879309952259064,0.024841712787747383,0.0100733432918787,0.010329957120120525,0.15839345753192902
120,standard_langevin,0.03486575186252594,0.04431967809796333,0.7709602117538452,0.05151265859603882,0.02908741682767868,0.03486575186252594
1,modified_langevin,0.5529146194458008,0.49810975790023804,0.26937371492385864,0.0009357921662740409,0.0007372077670879662,0.5529146194458008
5,modified_langevin,0.3351976275444031,0.3317974805831909,0.2392287701368332,0.0037354070227593184,0.003014299785718322,0.3351976275444031
20,modified_langevin,0.16863498091697693,0.3423118591308594,0.04258028045296669,0.01076980959624052,0.010329957120120525,0.16863498091697693
120,modified_langevin,0.050199154764413834,0.04204655811190605,2.653975486755371,0.10628470778465271,0.02908741682767868,0.050199154764413834
1,modified_c_0.5,0.6388108730316162,0.589570939540863,0.7593017220497131,0.0001774446718627587,0.0007372077670879662,0.6388108730316162
5,modified_c_0.5,0.246070995926857,0.24964262545108795,0.7089008688926697,0.0008774600573815405,0.003014299785718322,0.246070995926857
20,modified_c_0.5,0.11735797673463821,0.10247122496366501,0.6984921097755432,0.003114563412964344,0.010329957120120525,0.11735797673463821
120,modified_c_0.5,0.02678094245493412,0.04277379438281059,0.0960337445139885,0.02629404328763485,0.02908741682767868,0.02678094245493412
1,modified_c_0.75,0.7372739911079407,0.587581992149353,0.4725860059261322,0.0003888136998284608,0.0007372077670879662,0.7372739911079407
5,modified_c_0.75,0.25361400842666626,0.28717708587646484,0.3666457533836365,0.0019091195426881313,0.003014299785718322,0.25361400842666626
20,modified_c_0.75,0.1405300498008728,0.12501691281795502,0.31658995151519775,0.007059596478939056,0.010329957120120525,0.1405300498008728
120,modified_c_0.75,0.03811930492520332,0.03706543892621994,1.1171867847442627,0.061583492904901505,0.02908741682767868,0.03811930492520332
1,modified_c_1,0.5529146194458008,0.49810975790023804,0.26937371492385864,0.0009357921662740409,0.0007372077670879662,0.5529146194458008
5,modified_c_1,0.3351976275444031,0.3317974805831909,0.2392287701368332,0.0037354070227593184,0.003014299785718322,0.3351976275444031
20,modified_c_1,0.16863498091697693,0.3423118591308594,0.04258028045296669,0.01076980959624052,0.010329957120120525,0.16863498091697693
120,modified_c_1,0.050199154764413834,0.04204655811190605,2.653975486755371,0.10628470778465271,0.02908741682767868,0.050199154764413834
1,modified_c_1.25,0.9092563986778259,0.8967824578285217,0.4261634647846222,0.0010513787856325507,0.0007372077670879662,0.9092563986778259
5,modified_c_1.25,0.4305832087993622,0.4965185225009918,0.5834333896636963,0.00477294297888875,0.003014299785718322,0.4305832087993622
20,modified_c_1.25,0.204835444688797,0.18381711840629578,0.7560806274414062,0.018140237778425217,0.010329957120120525,0.204835444688797
120,modified_c_1.25,0.059529051184654236,0.08973245322704315,4.215548515319824,0.15170682966709137,0.02908741682767868,0.059529051184654236
1,modified_c_1.5,1.1818262338638306,1.5453392267227173,1.4212961196899414,0.0017849983414635062,0.0007372077670879662,1.1818262338638306
5,modified_c_1.5,0.31216368079185486,0.407549649477005,1.912672519683838,0.008779668249189854,0.003014299785718322,0.31216368079185486
20,modified_c_1.5,0.21643634140491486,0.3000226616859436,1.7982934713363647,0.02890625037252903,0.010329957120120525,0.21643634140491486
120,modified_c_1.5,0.07470286637544632,0.1116284728050232,6.898232460021973,0.22973917424678802,0.02908741682767868,0.07470286637544632
