step,method,mean_projection,std_projection,ci95_low,ci95_high,mean_direction_variance,mean_path_error_to_sgd,mean_coord_1,mean_coord_2
0,sgd_flat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,sgd_flat,-2.266264259587203e-10,7.774478283373298e-10,0.0,0.0,6.733098779042324e-16,0.0,0.0,-6.632383531268715e-10
8,sgd_flat,-2.709876767426067e-10,2.0224224517306766e-09,0.0,0.0,3.373772462978873e-16,0.0,0.0,8.45045811104228e-10
12,sgd_flat,2.425840361919285e-10,3.5781870799667104e-09,0.0,0.0,4.50649427086988e-16,0.0,0.0,7.43455075280508e-10
16,sgd_flat,-5.651633050440807e-10,2.7354680742774917e-09,0.0,0.0,4.0599673531371784e-16,0.0,0.0,-4.087773675109929e-09
20,sgd_flat,1.2537005877888419e-09,1.9912489435114367e-09,0.0,0.0,2.3158889276535396e-16,0.0,0.0,-1.646588998482912e-08
24,sgd_flat,1.9334767120682272e-09,1.889177925207264e-09,0.0,0.0,5.272479399961744e-16,0.0,0.0,-2.50173428639755e-08
28,sgd_flat,1.4978240869822912e-09,1.7701846655171494e-09,0.0,0.0,5.406853236109759e-16,0.0,0.0,-2.15424051930313e-08
32,sgd_flat,8.656873551338151e-10,2.3523680781067924e-09,0.0,0.0,7.078406053671524e-16,0.0,0.0,-2.588933512015501e-08
36,sgd_flat,2.9427458247965887e-09,2.947516453133403e-09,0.0,0.0,9.00566700070193e-16,0.0,0.0,-3.621380528784357e-08
40,sgd_flat,4.071040393682779e-09,2.0984676218915865e-09,0.0,0.0,5.455045705039384e-16,0.0,0.0,-4.413212195686356e-08
0,sgd_sharp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,sgd_sharp,0.0029274150729179382,0.002229135250672698,0.0,0.0,7.105110853444785e-06,0.0,-0.0025485199876129627,0.003144583199173212
8,sgd_sharp,0.003912448883056641,0.002417262876406312,0.0,0.0,1.2028565834043548e-05,0.0,-0.005560830235481262,0.004793514963239431
12,sgd_sharp,0.004413757938891649,0.002331563038751483,0.0,0.0,1.7717677110340446e-05,0.0,-0.010836520232260227,0.007201490458101034
16,sgd_sharp,0.005017607938498259,0.002022746717557311,0.0,0.0,2.8678065064013936e-05,0.0,-0.014687607996165752,0.007100163958966732
20,sgd_sharp,0.005113024264574051,0.0009022591984830797,0.0,0.0,3.340452167321928e-05,0.0,-0.020218925550580025,0.010712703689932823
24,sgd_sharp,0.007437076419591904,0.0031126718968153,0.0,0.0,4.1491799493087456e-05,0.0,-0.02093605510890484,0.013933582231402397
28,sgd_sharp,0.007004255894571543,0.005555993877351284,0.0,0.0,5.296470408211462e-05,0.0,-0.02546757459640503,0.015104465186595917
32,sgd_sharp,0.008094234392046928,0.007711844518780708,0.0,0.0,9.843421867117286e-05,0.0,-0.02941429615020752,0.015260614454746246
36,sgd_sharp,0.006393191870301962,0.006924835033714771,0.0,0.0,0.00011734594590961933,0.0,-0.037743162363767624,0.015270217321813107
40,sgd_sharp,0.00749799981713295,0.006039540749043226,0.0,0.0,9.78919051703997e-05,0.0,-0.04028243198990822,0.015935396775603294
0,sgd_diffusive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,sgd_diffusive,3.7348702335293638e-06,9.780833352124318e-06,0.0,0.0,2.455246284061019e-10,0.0,-7.368764272541739e-06,1.2205807252030354e-05
8,sgd_diffusive,6.394991942215711e-06,1.4194454706739634e-05,0.0,0.0,9.03381536243586e-10,0.0,-1.5469122445210814e-05,3.35191361955367e-05
12,sgd_diffusive,7.742885827610735e-06,7.757897037663497e-06,0.0,0.0,2.0478800877299363e-09,0.0,-2.296151069458574e-05,5.3056330216350034e-05
16,sgd_diffusive,1.606451223779004e-05,8.2471888163127e-06,0.0,0.0,3.49131745736031e-09,0.0,-3.5437813494354486e-05,0.00010141228995053098
20,sgd_diffusive,1.695559149084147e-05,6.890709755680291e-06,0.0,0.0,2.865195192214287e-09,0.0,-2.62343164649792e-05,0.00011270585673628375
