step,method,lr,batch_size,bucket,mean_projection,std_projection,ci95_low,ci95_high,mean_direction_variance
0,flat_lr=0.0125_B=32,0.0125,32,flat,0.0,0.0,0.0,0.0,0.0
10,flat_lr=0.0125_B=32,0.0125,32,flat,2.5867794306577707e-07,4.657318015688361e-07,0.0,0.0,4.1109338697921383e-13
20,flat_lr=0.0125_B=32,0.0125,32,flat,2.1428439822557266e-07,6.959513711990439e-07,0.0,0.0,9.671459596724552e-13
30,flat_lr=0.0125_B=32,0.0125,32,flat,2.395225635609677e-07,8.808130473880738e-07,0.0,0.0,1.4518876552405136e-12
40,flat_lr=0.0125_B=32,0.0125,32,flat,4.516147384947544e-07,8.146413392751128e-07,0.0,0.0,1.2699434602872484e-12
50,flat_lr=0.0125_B=32,0.0125,32,flat,5.68778091292188e-07,7.980279974617588e-07,0.0,0.0,1.300163969542023e-12
60,flat_lr=0.0125_B=32,0.0125,32,flat,6.642740686402249e-07,9.374916203341854e-07,0.0,0.0,1.92496561225719e-12
70,flat_lr=0.0125_B=32,0.0125,32,flat,1.1351005468895892e-06,1.1605217196120066e-06,0.0,0.0,2.9674134243568018e-12
80,flat_lr=0.0125_B=32,0.0125,32,flat,1.4877809917379636e-06,1.1885991852977895e-06,0.0,0.0,3.0430603783354604e-12
90,flat_lr=0.0125_B=32,0.0125,32,flat,1.4827631957814447e-06,1.471956920795492e-06,0.0,0.0,4.538901806488971e-12
100,flat_lr=0.0125_B=32,0.0125,32,flat,1.3881375480195857e-06,1.7403633592039114e-06,0.0,0.0,6.406968705574556e-12
110,flat_lr=0.0125_B=32,0.0125,32,flat,1.3747153388976585e-06,1.6775978792793467e-06,0.0,0.0,5.6628803209168854e-12
120,flat_lr=0.0125_B=32,0.0125,32,flat,1.526595042378176e-06,1.7292865095441812e-06,0.0,0.0,5.809979667509291e-12
130,flat_lr=0.0125_B=32,0.0125,32,flat,1.5316935559894773e-06,1.7399723901689867e-06,0.0,0.0,5.925877843981908e-12
140,flat_lr=0.0125_B=32,0.0125,32,flat,1.9327731024532113e-06,1.6686842627677834e-06,0.0,0.0,5.63337267459052e-12
150,flat_lr=0.0125_B=32,0.0125,32,flat,2.009815943893045e-06,1.760608597578539e-06,0.0,0.0,6.231254661565044e-12
160,flat_lr=0.0125_B=32,0.0125,32,flat,2.275114411531831e-06,1.756939695951587e-06,0.0,0.0,6.165666501661837e-12
170,flat_lr=0.0125_B=32,0.0125,32,flat,2.2956892280490138e-06,1.9977198917331407e-06,0.0,0.0,8.053435522625829e-12
180,flat_lr=0.0125_B=32,0.0125,32,flat,2.1802861738251522e-06,2.01589477910602e-06,0.0,0.0,8.307834455101304e-12
190,flat_lr=0.0125_B=32,0.0125,32,flat,2.0770830815308727e-06,1.79267999556032e-06,0.0,0.0,6.8607172894197266e-12
200,flat_lr=0.0125_B=32,0.0125,32,flat,2.3244201656780206e-06,1.993705836866866e-06,0.0,0.0,8.5861118562236e-12
0,sharp_lr=0.0125_B=32,0.0125,32,sharp,0.0,0.0,0.0,0.0,0.0
10,sharp_lr=0.0125_B=32,0.0125,32,sharp,0.00024266510445158929,0.0009271462913602591,0.0,0.0,5.2670116019726265e-06
20,sharp_lr=0.0125_B=32,0.0125,32,sharp,-6.736605428159237e-06,0.00106365408282727,0.0,0.0,1.1231546523049474e-05
30,sharp_lr=0.0125_B=32,0.0125,32,sharp,-0.00035790426773019135,0.0014599125133827329,0.0,0.0,1.7161723008030094e-05
40,sharp_lr=0.0125_B=32,0.0125,32,sharp,-6.046837006579153e-05,0.0018751227762550116,0.0,0.0,2.0758903701789677e-05
50,sharp_lr=0.0125_B=32,0.0125,32,sharp,-0.00033973337849602103,0.001971763325855136,0.0,0.0,2.3392562070512213e-05
60,sharp_lr=0.0125_B=32,0.0125,32,sharp,3.268586442572996e-05,0.002490515820682049,0.0,0.0,3.244557956350036e-05
70,sharp_lr=0.0125_B=32,0.0125,32,sharp,-6.0697293520206586e-05,0.001929726218804717,0.0,0.0,3.5450535506242886e-05
80,sharp_lr=0.0125_B=32,0.0125,32,sharp,1.0653321623976808e-05,0.0016425222856923938,0.0,0.0,4.104629624634981e-05
90,sharp_lr=0.0125_B=32,0.0125,32,sharp,0.0004052450240124017,0.0018992548575624824,0.0,0.0,4.842880662181415e-05
100,sharp_lr=0.0125_B=32,0.0125,32,sharp,0.0006901876186020672,0.001999356085434556,0.0,0.0,5.27110714756418e-05
110,sharp_lr=0.0125_B=32,0.0125,32,sharp,0.0010540442308411002,0.0023215373512357473,0.0,0.0,5.4626772907795385e-05
120,sharp_lr=0.0125_B=32,0.0125,32,sharp,0.001165010267868638,0.0020750490948557854,0.0,0.0,6.136079173302278e-05
130,sharp_lr=0.0125_B=32,0.0125,32,sharp,0.0011995350942015648,0.0024833143688738346,0.0,0.0,6.973539711907506e-05
140,sharp_lr=0.0125_B=32,0.0125,32,sharp,0.001625183504074812,0.0026817978359758854,0.0,0.0,6.902276800246909e-05
150,sharp_lr=0.0125_B=32,0.0125,32,sharp,0.0019295061938464642,0.002405069535598159,0.0,0.0,7.228578760987148e-05
160,sharp_lr=0.0125_B=32,0.0125,32,sharp,0.002137509873136878,0.003131082048639655,0.0,0.0,7.365017518168315e-05
170,sharp_lr=0.0125_B=32,0.0125,32,sharp,0.0024420986883342266,0.0038581525441259146,0.0,0.0,8.343085210071877e-05
180,sharp_lr=0.0125_B=32,0.0125,32,sharp,0.0027459135744720697,0.0038081861566752195,0.0,0.0,8.331133722094819e-05
190,sharp_lr=0.0125_B=32,0.0125,32,sharp,0.0028990989085286856,0.003750804578885436,0.0,0.0,9.096547000808641e-05
200,sharp_lr=0.0125_B=32,0.0125,32,sharp,0.0033477465622127056,0.0037429884541779757,0.0,0.0,8.65125039126724e-05
0,flat_lr=0.025_B=32,0.025,32,flat,0.0,0.0,0.0,0.0,0.0
10,flat_lr=0.025_B=32,0.025,32,flat,5.129884925736405e-07,9.357823387290409e-07,0.0,0.0,1.6571324390826647e-12
20,flat_lr=0.025_B=32,0.025,32,flat,4.2160155544479494e-07,1.4031738828634843e-06,0.0,0.0,3.898936295348987e-12
30,flat_lr=0.025_B=32,0.025,32,flat,4.753965185955167e-07,1.7686568298813654e-06,0.0,0.0,5.8648975433117645e-12
40,flat_lr=0.025_B=32,0.025,32,flat,8.975846412795363e-07,1.630917267902987e-06,0.0,0.0,5.098777736828319e-12
