lr,batch_size,bucket,late_slope,late_mean_variance
0.0125,32,flat,4.3783252693028807e-14,7.119770051300378e-12
0.0125,32,sharp,3.5532048059394594e-07,7.988269499037415e-05
0.025,32,flat,1.8157525334485021e-13,2.971943177665359e-11
0.025,32,sharp,7.648135838930373e-07,0.0002478826208971441
0.05,32,flat,8.32911715788396e-13,1.318817000051098e-10
0.05,32,sharp,5.792622687295119e-07,0.00063987827161327
0.1,32,flat,5.163489873767037e-12,7.133353352450911e-10
0.1,32,sharp,-4.363510691161649e-06,0.0012384022120386362
0.0125,64,flat,2.1635334892681037e-14,2.8746293539994028e-12
0.0125,64,sharp,1.7165812096209266e-07,5.134337698109448e-05
0.025,64,flat,1.0275795901186284e-13,1.2315979833199542e-11
0.025,64,sharp,1.5653848614809845e-07,0.00015787396114319563
0.05,64,flat,5.964631938161683e-13,5.692121080036472e-11
0.05,64,sharp,-1.3156392794501527e-06,0.0003947542863897979
0.1,64,flat,5.861004241460213e-12,3.6054875751645454e-10
0.1,64,sharp,-7.63687026587181e-06,0.0006893352838233113
0.0125,128,flat,2.0091154140292642e-14,2.274720559483634e-12
0.0125,128,sharp,4.2404820175891405e-08,1.9108341803075746e-05
0.025,128,flat,8.697799734911202e-14,9.520323765443983e-12
0.025,128,sharp,7.467200962959689e-08,5.6515233154641464e-05
0.05,128,flat,4.334069747436677e-13,4.3220076823002884e-11
0.05,128,sharp,1.5695950423833093e-07,0.0001365023636026308
0.1,128,flat,2.98292258948951e-12,2.5516730395303e-10
0.1,128,sharp,4.987918925637933e-07,0.00025614671176299453
