step,method,lr,batch_size,bucket,mean_projection,std_projection,ci95_low,ci95_high,mean_direction_variance
0,flat_lr=0.015_B=16,0.015,16,flat,0.0,0.0,0.0,0.0,0.0
5,flat_lr=0.015_B=16,0.015,16,flat,1.479533580095449e-07,2.0728582228457526e-07,0.0,0.0,3.995077922994139e-13
10,flat_lr=0.015_B=16,0.015,16,flat,1.3972557155739196e-07,1.6261837743059004e-07,0.0,0.0,2.461943138503536e-13
15,flat_lr=0.015_B=16,0.015,16,flat,8.048280619732395e-08,1.6351643239431723e-07,0.0,0.0,2.490412661249747e-13
20,flat_lr=0.015_B=16,0.015,16,flat,2.543515051911527e-07,1.2049098074840003e-07,0.0,0.0,1.3522062430274678e-13
25,flat_lr=0.015_B=16,0.015,16,flat,1.3755440875229397e-07,2.425179559395474e-07,0.0,0.0,5.46786086460388e-13
30,flat_lr=0.015_B=16,0.015,16,flat,9.095432318417807e-08,3.267265356043936e-07,0.0,0.0,9.921905961760014e-13
0,sharp_lr=0.015_B=16,0.015,16,sharp,0.0,0.0,0.0,0.0,0.0
5,sharp_lr=0.015_B=16,0.015,16,sharp,-0.0016135871410369873,0.0013603706611320376,0.0,0.0,8.737229109101463e-06
10,sharp_lr=0.015_B=16,0.015,16,sharp,-0.0015098205767571926,0.0016327531775459647,0.0,0.0,1.654974948905874e-05
15,sharp_lr=0.015_B=16,0.015,16,sharp,-0.0008546463795937598,0.002318051876500249,0.0,0.0,2.4848681277944706e-05
20,sharp_lr=0.015_B=16,0.015,16,sharp,-0.00025546818505972624,0.0017149788327515125,0.0,0.0,4.180440737400204e-05
25,sharp_lr=0.015_B=16,0.015,16,sharp,-0.0006945389905013144,0.002281131222844124,0.0,0.0,4.4417771277949214e-05
30,sharp_lr=0.015_B=16,0.015,16,sharp,-0.0011608044151216745,0.0024143781047314405,0.0,0.0,5.8419554989086464e-05
0,flat_lr=0.03_B=16,0.03,16,flat,0.0,0.0,0.0,0.0,0.0
5,flat_lr=0.03_B=16,0.03,16,flat,2.966821170957701e-07,4.1452793198004656e-07,0.0,0.0,1.5974009224747898e-12
10,flat_lr=0.03_B=16,0.03,16,flat,2.8099950100113347e-07,3.226115836696408e-07,0.0,0.0,9.684450507155273e-13
15,flat_lr=0.03_B=16,0.03,16,flat,1.6292405291551404e-07,3.2577693787061435e-07,0.0,0.0,9.879903969597925e-13
20,flat_lr=0.03_B=16,0.03,16,flat,5.117269665788626e-07,2.4013371557884966e-07,0.0,0.0,5.368440609589131e-13
25,flat_lr=0.03_B=16,0.03,16,flat,2.8001522878184915e-07,4.850872414863261e-07,0.0,0.0,2.186234917059271e-12
30,flat_lr=0.03_B=16,0.03,16,flat,1.8572043813946948e-07,6.54429982205329e-07,0.0,0.0,3.979028044553967e-12
0,sharp_lr=0.03_B=16,0.03,16,sharp,0.0,0.0,0.0,0.0,0.0
5,sharp_lr=0.03_B=16,0.03,16,sharp,-0.0032069161534309387,0.002707865322008729,0.0,0.0,3.452573946560733e-05
10,sharp_lr=0.03_B=16,0.03,16,sharp,-0.0029613913502544165,0.003229372203350067,0.0,0.0,6.466208287747577e-05
15,sharp_lr=0.03_B=16,0.03,16,sharp,-0.0016260950360447168,0.004596419166773558,0.0,0.0,9.610519191483036e-05
20,sharp_lr=0.03_B=16,0.03,16,sharp,-0.00040342906140722334,0.003333240281790495,0.0,0.0,0.0001596257498022169
25,sharp_lr=0.03_B=16,0.03,16,sharp,-0.001274923444725573,0.00451822392642498,0.0,0.0,0.00016771338414400816
30,sharp_lr=0.03_B=16,0.03,16,sharp,-0.00219590961933136,0.004697759635746479,0.0,0.0,0.00021870479395147413
0,flat_lr=0.06_B=16,0.06,16,flat,0.0,0.0,0.0,0.0,0.0
5,flat_lr=0.06_B=16,0.06,16,flat,5.952630885985855e-07,8.280503038804454e-07,0.0,0.0,6.375638298555808e-12
10,flat_lr=0.06_B=16,0.06,16,flat,5.651084507007909e-07,6.414288122869038e-07,0.0,0.0,3.829212554679051e-12
15,flat_lr=0.06_B=16,0.06,16,flat,3.32212152898137e-07,6.497149911410816e-07,0.0,0.0,3.932166658254799e-12
20,flat_lr=0.06_B=16,0.06,16,flat,1.0365539537815494e-06,4.818226102543122e-07,0.0,0.0,2.1623579662954917e-12
