lr,batch_size,bucket,late_slope,late_mean_variance
0.015,16,flat,8.56969971873254e-14,5.580657463921668e-13
0.015,16,sharp,1.6615147615084414e-06,4.821391121367924e-05
0.03,16,flat,3.442183983595052e-13,2.234035656120681e-12
0.03,16,sharp,5.907904414925719e-06,0.0001820146426325664
0.06,16,flat,1.3948129977403571e-12,9.031389351654706e-12
0.06,16,sharp,1.8760852981358773e-05,0.0006513696280308068
0.015,32,flat,2.879515473720034e-14,4.728550992601221e-13
0.015,32,sharp,-1.1085447113146064e-06,1.2630554010684136e-05
0.03,32,flat,1.1478081939769732e-13,1.8946456816631985e-12
0.03,32,sharp,-4.4552187318913595e-06,4.716238981927745e-05
0.06,32,flat,4.520697184651199e-13,7.545145064291603e-12
0.06,32,sharp,-1.7747503443388253e-05,0.0001653909421293065
