direction,eigenvalue,gradient_noise_variance,gamma_i
106,1.2636708568436461e-08,2.5173418941774335e-11,0.0019920866897770863
107,1.570576557696768e-08,1.3249072931176901e-09,0.08435802041134825
108,2.1535230487756962e-08,1.0719655347897223e-10,0.00497772956458092
109,3.0693264818637545e-08,6.0497905465061155e-09,0.19710482355831255
110,3.4977080787257364e-08,4.517240904263545e-11,0.0012914859681226567
111,4.525893970708239e-08,3.6137314515743226e-11,0.000798456940211709
112,4.1287978547188686e-07,7.170636853499442e-08,0.17367372067644357
113,9.235167794940935e-07,8.355466244281912e-09,0.009047443890363391
114,1.176325099550013e-06,6.235119387077865e-08,0.05300506968237798
115,1.4317033674160484e-06,1.6793491858298923e-08,0.011729728546080027
116,1.6753454019635683e-06,1.4975641823547648e-08,0.00893883840669251
117,1.911927029141225e-06,1.0777526101455952e-08,0.005636996567958383
118,1.9121796412946424e-06,1.047633925833847e-08,0.0054787421809623805
119,3.4557322123873746e-06,5.864672868815713e-08,0.016970854534947122
120,3.4579143175506033e-06,5.5341539255081744e-08,0.016004311898127843
121,3.504076175886439e-06,4.3092479191633273e-08,0.012297814610360749
122,3.7554850678134244e-06,2.8361940284342416e-08,0.0075521376792095024
123,4.197706402919721e-06,3.4682432898579215e-08,0.008262234079652592
124,4.505712240643334e-06,1.3008385070189293e-07,0.028870874071469623
125,5.90890749663231e-06,1.478572248019756e-07,0.02502276857206591
126,6.092653620726196e-06,3.936458470530092e-08,0.006460991737883988
127,7.00773762218887e-06,3.2390445159060683e-07,0.04622097302344992
128,7.206465397757711e-06,9.324574712268623e-08,0.012939179192021045
129,7.925264981167857e-06,1.4331151501422305e-07,0.018082867305353474
130,8.228081242123153e-06,2.1504365498672485e-07,0.026135334430805342
131,8.389178219658788e-06,8.884872422163018e-08,0.010590873372248361
132,8.56008682603715e-06,1.2169250142774247e-07,0.014216269519322085
133,9.512551514490042e-06,1.70609694600041e-07,0.01793521899357485
134,9.575036528985947e-06,6.368155510854776e-08,0.006650789781925982
135,1.0401862709841225e-05,1.2892640307473923e-07,0.012394549579351944
136,1.1312465176160913e-05,2.7028216086709837e-07,0.02389241926124748
137,1.186432291433448e-05,2.0276742582806e-07,0.017090518126666655
138,1.2176531527074985e-05,2.194776574456314e-07,0.018024644945698567
139,1.2500609045673627e-05,2.584315361439838e-07,0.0206735156022998
140,1.3753034181718249e-05,2.4267285396261744e-07,0.017645041141917592
141,1.490454906161176e-05,1.800206278810977e-07,0.01207823377526797
142,1.5536155842710286e-05,1.9362114900724604e-07,0.012462616297589145
143,1.5850115232751705e-05,4.038004614302201e-07,0.025476184589234507
144,1.793297633412294e-05,1.4336426435985826e-07,0.00799444897984191
145,1.8133338016923517e-05,2.3341332246508327e-07,0.01287205489950294
146,1.971144592971541e-05,5.063863103767727e-07,0.025689962683731127
147,2.031570693361573e-05,4.989058431472946e-07,0.02455764127615818
148,2.1471558284247294e-05,2.036893282090858e-07,0.009486471615733797
149,2.4124528863467276e-05,3.9725796790891155e-07,0.016466973102653826
150,2.445528116368223e-05,3.896919981084659e-07,0.015934881120368602
151,2.5195082343998365e-05,3.910991175903706e-07,0.015522835458544671
152,2.629174923640676e-05,5.562813705722619e-07,0.021158020547448662
153,2.726734419411514e-05,3.305430580629752e-07,0.012122304824036118
154,2.882836270146072e-05,4.0119877480133395e-07,0.013916807518902397
155,2.9110580726410262e-05,4.038509777278379e-07,0.013872996266317985
156,3.249137807870284e-05,1.1893287393736838e-06,0.03660444123031071
157,3.3268126571783796e-05,3.606287912730496e-07,0.01084006911224497
158,3.5334989661350846e-05,4.492166850806453e-07,0.01271308381255861
159,3.639423448476009e-05,5.451234334758913e-07,0.014978290962656713
160,3.9694445149507374e-05,8.524625432549268e-07,0.021475613024546994
161,4.1927902202587575e-05,5.106869456318812e-07,0.012180121561158483
162,4.585170609061606e-05,6.826140627213333e-07,0.014887429954564678
163,4.668983456213027e-05,5.904645186710334e-07,0.01264653268122638
164,4.8550569772487506e-05,7.205035896757264e-07,0.014840270527247637
165,5.379705544328317e-05,1.0700268378520706e-06,0.019890063295010113
166,5.441334724309854e-05,4.774448058173276e-07,0.008774406097171016
167,5.4529951739823446e-05,7.02342235011256e-07,0.012879935019240677
168,5.674976637237705e-05,7.608280430263982e-07,0.013406716743713878
169,6.070001109037548e-05,1.0825165393309768e-06,0.017833877125973365
170,6.0927610320504755e-05,1.2378017339452387e-06,0.02031594095737356
171,6.255562766455114e-05,5.575825539369788e-07,0.008913387568053262
172,6.4652253058739e-05,6.510289955310072e-07,0.010069703138412251
173,6.923729961272329e-05,6.197184901201359e-07,0.008950645007626124
174,7.391684630420059e-05,8.687095785366986e-07,0.01175252492458314
175,7.572169852210209e-05,1.0632631782972182e-06,0.014041723826187904
176,7.779656880302355e-05,2.622756481432398e-06,0.03371300973534022
177,8.715433068573475e-05,1.2249054663843453e-06,0.01405444177870137
178,8.760503988014534e-05,1.112953885692649e-06,0.012704222122554926
179,9.031029185280204e-05,1.1851734764049612e-06,0.01312334897928014
180,9.399834380019456e-05,1.2182856638654246e-06,0.012960714142528359
181,9.8321535915602e-05,1.5385325904569699e-06,0.015647971485897326
182,0.00010205355647485703,1.0815499160126923e-06,0.010597865996753912
183,0.00011114058725070208,1.767767061615393e-06,0.015905684011078735
184,0.00011162207374582067,1.8981265595151641e-06,0.01700493903954399
185,0.0001161688196589239,7.679957553847773e-07,0.006611031752234741
186,0.0001174670469481498,7.709360150052804e-07,0.00656299817722985
187,0.00011904977145604789,7.241204071503361e-07,0.0060825014470328054
