step,method,variance,batch_size
1.0,empirical_centered_covariance,0.0022535669936148933,1.0
2.0,empirical_centered_covariance,0.001125359346960604,2.0
4.0,empirical_centered_covariance,0.0005615177968970278,4.0
8.0,empirical_centered_covariance,0.000280879142952817,8.0
16.0,empirical_centered_covariance,0.00014070273025428048,16.0
64.0,empirical_centered_covariance,3.509172316647782e-05,64.0
256.0,empirical_centered_covariance,8.795026469407391e-06,256.0
1024.0,empirical_centered_covariance,2.196903929085782e-06,1024.0
1.0,eta2_Tr_Sigma_over_B,0.00225,1.0
2.0,eta2_Tr_Sigma_over_B,0.001125,2.0
4.0,eta2_Tr_Sigma_over_B,0.0005625,4.0
8.0,eta2_Tr_Sigma_over_B,0.00028125,8.0
16.0,eta2_Tr_Sigma_over_B,0.000140625,16.0
64.0,eta2_Tr_Sigma_over_B,3.515625e-05,64.0
256.0,eta2_Tr_Sigma_over_B,8.7890625e-06,256.0
1024.0,eta2_Tr_Sigma_over_B,2.197265625e-06,1024.0
1.0,empirical_raw_second_moment,0.05979297873525336,1.0
2.0,empirical_raw_second_moment,0.05868475463367113,2.0
4.0,empirical_raw_second_moment,0.058090808480357956,4.0
8.0,empirical_raw_second_moment,0.05781138549625602,8.0
16.0,empirical_raw_second_moment,0.057660946387886304,16.0
64.0,empirical_raw_second_moment,0.05755865651858764,64.0
256.0,empirical_raw_second_moment,0.05753284574745589,256.0
1024.0,empirical_raw_second_moment,0.05752755830222458,1024.0
1.0,eta2_Tr_Sigma_over_B_plus_ggT,0.059775401389113886,1.0
2.0,eta2_Tr_Sigma_over_B_plus_ggT,0.058650401389113885,2.0
4.0,eta2_Tr_Sigma_over_B_plus_ggT,0.058087901389113884,4.0
8.0,eta2_Tr_Sigma_over_B_plus_ggT,0.05780665138911389,8.0
16.0,eta2_Tr_Sigma_over_B_plus_ggT,0.05766602638911388,16.0
64.0,eta2_Tr_Sigma_over_B_plus_ggT,0.05756055763911388,64.0
256.0,eta2_Tr_Sigma_over_B_plus_ggT,0.05753419045161388,256.0
1024.0,eta2_Tr_Sigma_over_B_plus_ggT,0.05752759865473888,1024.0
