step,method,variance,batch_size
1.0,empirical_centered_covariance,0.0013608070995446548,1.0
2.0,empirical_centered_covariance,0.0006751784657373793,2.0
4.0,empirical_centered_covariance,0.0003417545337103876,4.0
8.0,empirical_centered_covariance,0.0001701505497530899,8.0
16.0,empirical_centered_covariance,8.531441608631322e-05,16.0
64.0,empirical_centered_covariance,2.0950757893921007e-05,64.0
256.0,empirical_centered_covariance,5.249837649250513e-06,256.0
1.0,eta2_Tr_Sigma_over_B,0.00135,1.0
2.0,eta2_Tr_Sigma_over_B,0.000675,2.0
4.0,eta2_Tr_Sigma_over_B,0.0003375,4.0
8.0,eta2_Tr_Sigma_over_B,0.00016875,8.0
16.0,eta2_Tr_Sigma_over_B,8.4375e-05,16.0
64.0,eta2_Tr_Sigma_over_B,2.109375e-05,64.0
256.0,eta2_Tr_Sigma_over_B,5.2734375e-06,256.0
1.0,empirical_raw_second_moment,0.18957900060796146,1.0
2.0,empirical_raw_second_moment,0.18888855926601347,2.0
4.0,empirical_raw_second_moment,0.18855124989642613,4.0
8.0,empirical_raw_second_moment,0.18836823809176098,8.0
16.0,empirical_raw_second_moment,0.18832231335510716,16.0
64.0,empirical_raw_second_moment,0.18827399321947516,64.0
256.0,empirical_raw_second_moment,0.18825658000971,256.0
1.0,eta2_Tr_Sigma_over_B_plus_ggT,0.18960078658592688,1.0
2.0,eta2_Tr_Sigma_over_B_plus_ggT,0.18892578658592687,2.0
4.0,eta2_Tr_Sigma_over_B_plus_ggT,0.18858828658592688,4.0
8.0,eta2_Tr_Sigma_over_B_plus_ggT,0.1884195365859269,8.0
16.0,eta2_Tr_Sigma_over_B_plus_ggT,0.18833516158592686,16.0
64.0,eta2_Tr_Sigma_over_B_plus_ggT,0.18827188033592687,64.0
256.0,eta2_Tr_Sigma_over_B_plus_ggT,0.18825606002342687,256.0
