eta,gamma,method,variance,empirical_unstable,discrete_predicts_unstable,standard_predicts_unstable,mismatch_region
0.2,0.5,phase,0.023218379629606913,0,0,0,0
0.2,1.0,phase,0.02466777614680192,0,0,0,0
0.2,2.0,phase,0.02843127808112807,0,0,0,0
0.2,2.4,phase,0.030546464693375238,0,0,0,0
0.2,2.8,phase,0.03269248326743037,0,0,0,0
0.2,4.0,phase,0.038354016759016,0,0,0,0
0.2,8.0,phase,0.14083281835171824,0,0,0,0
0.6,0.5,phase,0.11112421668260479,0,0,0,0
0.6,1.0,phase,0.1467241861952796,0,0,0,0
0.6,2.0,phase,0.5200924888829623,0,0,0,0
0.6,2.4,phase,0.9899168232803073,0,1,0,1
0.6,2.8,phase,3.3790676428300537,1,1,0,1
0.6,4.0,phase,17935.12335007963,1,1,1,0
0.6,8.0,phase,1.0126698837446472e+43,1,1,1,0
0.7,0.5,phase,0.1496218585621794,0,0,0,0
0.7,1.0,phase,0.22616868971975473,0,0,0,0
0.7,2.0,phase,1.935609038252964,1,1,0,1
0.7,2.4,phase,14.716204731675024,1,1,0,1
0.7,2.8,phase,4135.303076479468,1,1,0,1
0.7,4.0,phase,168958828.25609443,1,1,1,0
0.7,8.0,phase,2.2910769942947535e+104,1,1,1,0
0.8,0.5,phase,0.20613965341502552,0,0,0,0
0.8,1.0,phase,0.39084429463222653,0,0,0,0
0.8,2.0,phase,54.636674262476895,1,1,0,1
0.8,2.4,phase,13206.528879430796,1,1,0,1
0.8,2.8,phase,359206.89188985,1,1,1,0
0.8,4.0,phase,6.698372083182695e+21,1,1,1,0
0.8,8.0,phase,5.658178382910865e+158,1,1,1,0
