eta,gamma,method,variance,empirical_unstable,discrete_predicts_unstable,standard_predicts_unstable,mismatch_region
0.2,1.0,phase,0.024707316734073444,0,0,0,0
0.2,2.0,phase,0.02745912880359035,0,0,0,0
0.2,2.4,phase,0.030032321702320335,0,0,0,0
0.2,4.0,phase,0.03803174194326424,0,0,0,0
0.4,1.0,phase,0.0683290460889035,0,0,0,0
0.4,2.0,phase,0.10150014052625786,0,0,0,0
0.4,2.4,phase,0.11946410702289093,0,0,0,0
0.4,4.0,phase,0.36473776162102295,0,1,0,1
0.8,1.0,phase,0.38590979281328597,0,0,0,0
0.8,2.0,phase,65.81048559680698,1,1,0,1
0.8,2.4,phase,170727.15211854683,1,1,0,1
0.8,4.0,phase,9.422477978005818e+23,1,1,1,0
