step,method,variance
0,flat_variance,0.0
0,sharp_variance,0.0
0,flat_mean_displacement_abs,0.0
0,pure_diffusion_prediction_flat,0.0
0,drift_induced_prediction_flat,0.0
9,flat_variance,7.776410008853996e-05
9,sharp_variance,6.218953613174166e-05
9,flat_mean_displacement_abs,0.0899754927643924
9,pure_diffusion_prediction_flat,7.200000000000003e-05
9,drift_induced_prediction_flat,7.852800000000003e-05
18,flat_variance,0.00019993581037738495
18,sharp_variance,0.00010472132430383708
18,flat_mean_displacement_abs,0.17994024119749497
18,pure_diffusion_prediction_flat,0.00014400000000000006
18,drift_induced_prediction_flat,0.00020112000000000005
27,flat_variance,0.00040772925673639865
27,sharp_variance,0.00013352389186041256
27,flat_mean_displacement_abs,0.2699310394224028
27,pure_diffusion_prediction_flat,0.0002160000000000001
27,drift_induced_prediction_flat,0.00041443200000000017
36,flat_variance,0.0007660861080220016
36,sharp_variance,0.00015383736355204368
36,flat_mean_displacement_abs,0.36000732583501943
36,pure_diffusion_prediction_flat,0.000288
36,drift_induced_prediction_flat,0.0007651200000000002
45,flat_variance,0.0013158649574247759
45,sharp_variance,0.0001684343015653888
45,flat_mean_displacement_abs,0.44999466436914826
45,pure_diffusion_prediction_flat,0.0003599999999999998
45,drift_induced_prediction_flat,0.0012998400000000007
54,flat_variance,0.002084401234999216
54,sharp_variance,0.00017856756770395996
54,flat_mean_displacement_abs,0.5399298956172857
54,pure_diffusion_prediction_flat,0.0004319999999999996
54,drift_induced_prediction_flat,0.0020652480000000013
63,flat_variance,0.0031297465969304045
63,sharp_variance,0.0001862686502775387
63,flat_mean_displacement_abs,0.629657014450309
63,pure_diffusion_prediction_flat,0.0005039999999999995
63,drift_induced_prediction_flat,0.0031080000000000023
72,flat_variance,0.004488783495608528
72,sharp_variance,0.0001914128013325398
72,flat_mean_displacement_abs,0.719811366993599
72,pure_diffusion_prediction_flat,0.0005759999999999993
72,drift_induced_prediction_flat,0.004474752000000004
81,flat_variance,0.006237703432446686
81,sharp_variance,0.0001935342260036309
81,flat_mean_displacement_abs,0.8097691347172853
81,pure_diffusion_prediction_flat,0.000647999999999999
81,drift_induced_prediction_flat,0.0062121600000000065
90,flat_variance,0.00835834353654877
90,sharp_variance,0.00019718524846174567
90,flat_mean_displacement_abs,0.8999575745194325
90,pure_diffusion_prediction_flat,0.0007199999999999989
90,drift_induced_prediction_flat,0.008366880000000009
99,flat_variance,0.010987013724062546
99,sharp_variance,0.0002002058714707012
99,flat_mean_displacement_abs,0.9900702135131758
99,pure_diffusion_prediction_flat,0.0007919999999999987
99,drift_induced_prediction_flat,0.010985568000000013
108,flat_variance,0.014192541826745304
108,sharp_variance,0.00020062993596852352
108,flat_mean_displacement_abs,1.0801038370127747
108,pure_diffusion_prediction_flat,0.0008639999999999984
108,drift_induced_prediction_flat,0.014114880000000017
117,flat_variance,0.017970152481778627
117,sharp_variance,0.00020168834153823918
117,flat_mean_displacement_abs,1.1694865781449606
117,pure_diffusion_prediction_flat,0.0009359999999999982
117,drift_induced_prediction_flat,0.017801472000000026
126,flat_variance,0.022364211658489886
126,sharp_variance,0.000202581973821049
126,flat_mean_displacement_abs,1.259254161194823
126,pure_diffusion_prediction_flat,0.001007999999999998
126,drift_induced_prediction_flat,0.022092000000000032
135,flat_variance,0.027535216140714937
135,sharp_variance,0.00020301705627791137
135,flat_mean_displacement_abs,1.3493190785268356
135,pure_diffusion_prediction_flat,0.0010799999999999978
135,drift_induced_prediction_flat,0.027033120000000042
144,flat_variance,0.033199444615681646
144,sharp_variance,0.00020199872986120354
144,flat_mean_displacement_abs,1.4393828492745289
144,pure_diffusion_prediction_flat,0.0011519999999999976
144,drift_induced_prediction_flat,0.032671488000000054
153,flat_variance,0.03975324895143226
153,sharp_variance,0.00019939091131108204
153,flat_mean_displacement_abs,1.5295660527882693
153,pure_diffusion_prediction_flat,0.0012239999999999974
153,drift_induced_prediction_flat,0.03905376000000006
162,flat_variance,0.04680501339338422
162,sharp_variance,0.00019844182968131664
162,flat_mean_displacement_abs,1.6186843615591586
162,pure_diffusion_prediction_flat,0.0012959999999999972
162,drift_induced_prediction_flat,0.04622659200000008
171,flat_variance,0.054995525906940054
171,sharp_variance,0.00020223993116327035
171,flat_mean_displacement_abs,1.708753909631694
171,pure_diffusion_prediction_flat,0.001367999999999997
171,drift_induced_prediction_flat,0.05423664000000009
180,flat_variance,0.06384725261573036
180,sharp_variance,0.00020228391788086465
180,flat_mean_displacement_abs,1.798471741984158
180,pure_diffusion_prediction_flat,0.0014399999999999968
180,drift_induced_prediction_flat,0.06313056000000011
189,flat_variance,0.07363204464972381
189,sharp_variance,0.0002017797565839439
189,flat_mean_displacement_abs,1.8885414784740087
189,pure_diffusion_prediction_flat,0.0015119999999999966
189,drift_induced_prediction_flat,0.07295500800000015
198,flat_variance,0.08456747901350813
198,sharp_variance,0.0002026070666342084
198,flat_mean_displacement_abs,1.9790422419142408
198,pure_diffusion_prediction_flat,0.0015839999999999964
198,drift_induced_prediction_flat,0.08375664000000017
207,flat_variance,0.09658776875709023
207,sharp_variance,0.00020236208680453227
207,flat_mean_displacement_abs,2.0685632218672017
207,pure_diffusion_prediction_flat,0.0016559999999999962
207,drift_induced_prediction_flat,0.09558211200000019
216,flat_variance,0.10926974838267224
216,sharp_variance,0.00020213048388281095
216,flat_mean_displacement_abs,2.15954114694967
216,pure_diffusion_prediction_flat,0.001727999999999996
216,drift_induced_prediction_flat,0.10847808000000018
225,flat_variance,0.12330100434539207
225,sharp_variance,0.0002025193688815714
225,flat_mean_displacement_abs,2.249708996659087
225,pure_diffusion_prediction_flat,0.0017999999999999958
225,drift_induced_prediction_flat,0.12249120000000013
234,flat_variance,0.13885818220750684
234,sharp_variance,0.0002026462716777239
234,flat_mean_displacement_abs,2.3397774102861355
234,pure_diffusion_prediction_flat,0.0018719999999999956
234,drift_induced_prediction_flat,0.13766812800000006
243,flat_variance,0.15492314771702248
243,sharp_variance,0.00020387446044776918
243,flat_mean_displacement_abs,2.4284536362512434
243,pure_diffusion_prediction_flat,0.0019439999999999954
243,drift_induced_prediction_flat,0.15405552
252,flat_variance,0.1733449508640813
252,sharp_variance,0.00020321261666937128
252,flat_mean_displacement_abs,2.517952430274261
252,pure_diffusion_prediction_flat,0.002015999999999997
252,drift_induced_prediction_flat,0.17170003199999986
261,flat_variance,0.1918318098713522
261,sharp_variance,0.00020405024968893687
261,flat_mean_displacement_abs,2.6071812942105024
261,pure_diffusion_prediction_flat,0.0020879999999999987
261,drift_induced_prediction_flat,0.19064831999999976
270,flat_variance,0.21313607235780244
270,sharp_variance,0.00020366156591918925
270,flat_mean_displacement_abs,2.6966182265987193
270,pure_diffusion_prediction_flat,0.0021600000000000005
270,drift_induced_prediction_flat,0.21094703999999953
279,flat_variance,0.23585739328203953
279,sharp_variance,0.0002043543118566131
279,flat_mean_displacement_abs,2.7860220448215673
279,pure_diffusion_prediction_flat,0.002232000000000002
279,drift_induced_prediction_flat,0.23264284799999935
288,flat_variance,0.2595111165250497
288,sharp_variance,0.00020318874509257548
288,flat_mean_displacement_abs,2.876220504982162
288,pure_diffusion_prediction_flat,0.002304000000000004
288,drift_induced_prediction_flat,0.25578239999999913
297,flat_variance,0.28500211034482703
297,sharp_variance,0.00020223566260620015
297,flat_mean_displacement_abs,2.9656430455847795
297,pure_diffusion_prediction_flat,0.0023760000000000057
297,drift_induced_prediction_flat,0.2804123519999988
306,flat_variance,0.31048682164909874
306,sharp_variance,0.00020170074873194135
306,flat_mean_displacement_abs,3.0552622771195006
306,pure_diffusion_prediction_flat,0.0024480000000000075
306,drift_induced_prediction_flat,0.30657935999999847
315,flat_variance,0.3398926086599078
315,sharp_variance,0.00020253226785232865
315,flat_mean_displacement_abs,3.144778527068111
315,pure_diffusion_prediction_flat,0.002520000000000009
315,drift_induced_prediction_flat,0.33433007999999814
324,flat_variance,0.3707139358858392
324,sharp_variance,0.00020175122300650675
324,flat_mean_displacement_abs,3.235140381810669
324,pure_diffusion_prediction_flat,0.002592000000000011
324,drift_induced_prediction_flat,0.3637111679999977
333,flat_variance,0.4006355709551933
333,sharp_variance,0.000202507882037097
333,flat_mean_displacement_abs,3.3246938202912717
333,pure_diffusion_prediction_flat,0.0026640000000000127
333,drift_induced_prediction_flat,0.3947692799999973
342,flat_variance,0.4340910388169412
342,sharp_variance,0.00020254748380525597
342,flat_mean_displacement_abs,3.415027670073356
342,pure_diffusion_prediction_flat,0.0027360000000000145
342,drift_induced_prediction_flat,0.42755107199999676
351,flat_variance,0.46967340909786026
351,sharp_variance,0.0002031502376007417
351,flat_mean_displacement_abs,3.504642443348241
351,pure_diffusion_prediction_flat,0.002808000000000016
351,drift_induced_prediction_flat,0.46210319999999616
360,flat_variance,0.5084128679225504
360,sharp_variance,0.0002049675002266524
360,flat_mean_displacement_abs,3.5946365763810744
360,pure_diffusion_prediction_flat,0.002880000000000018
360,drift_induced_prediction_flat,0.49847231999999553
369,flat_variance,0.5471113891605937
369,sharp_variance,0.00020332602539131043
369,flat_mean_displacement_abs,3.686189171846997
369,pure_diffusion_prediction_flat,0.0029520000000000197
369,drift_induced_prediction_flat,0.536705087999995
378,flat_variance,0.5880835695201081
378,sharp_variance,0.00020424673209473054
378,flat_mean_displacement_abs,3.7759848612560596
378,pure_diffusion_prediction_flat,0.0030240000000000215
378,drift_induced_prediction_flat,0.5768481599999943
387,flat_variance,0.6309998922331959
387,sharp_variance,0.00020290015889520984
387,flat_mean_displacement_abs,3.8640948848436847
387,pure_diffusion_prediction_flat,0.003096000000000023
387,drift_induced_prediction_flat,0.6189481919999935
396,flat_variance,0.6763812194831242
396,sharp_variance,0.0002024233257082179
396,flat_mean_displacement_abs,3.9529336155618275
396,pure_diffusion_prediction_flat,0.003168000000000025
396,drift_induced_prediction_flat,0.6630518399999926
405,flat_variance,0.7250158720013489
405,sharp_variance,0.00020020997310797302
405,flat_mean_displacement_abs,4.0419347668654195
405,pure_diffusion_prediction_flat,0.0032400000000000267
405,drift_induced_prediction_flat,0.7092057599999916
414,flat_variance,0.7739188212291834
414,sharp_variance,0.00020102723426363093
414,flat_mean_displacement_abs,4.132294506257504
414,pure_diffusion_prediction_flat,0.0033120000000000285
414,drift_induced_prediction_flat,0.7574566079999906
423,flat_variance,0.8211355539327453
423,sharp_variance,0.00020190876864797257
423,flat_mean_displacement_abs,4.218835557263183
423,pure_diffusion_prediction_flat,0.00338400000000003
423,drift_induced_prediction_flat,0.8078510399999898
432,flat_variance,0.8778063925863854
432,sharp_variance,0.0002043165754236523
432,flat_mean_displacement_abs,4.307780246470476
432,pure_diffusion_prediction_flat,0.003456000000000032
432,drift_induced_prediction_flat,0.8604357119999886
441,flat_variance,0.9367267738537779
441,sharp_variance,0.00020374845202570483
441,flat_mean_displacement_abs,4.3989490256187205
441,pure_diffusion_prediction_flat,0.0035280000000000337
441,drift_induced_prediction_flat,0.9152572799999875
450,flat_variance,0.994137956388881
450,sharp_variance,0.00020334419599172605
450,flat_mean_displacement_abs,4.4891401000318965
450,pure_diffusion_prediction_flat,0.0036000000000000355
450,drift_induced_prediction_flat,0.9723623999999863
459,flat_variance,1.0599844866943098
459,sharp_variance,0.0002024618865669074
459,flat_mean_displacement_abs,4.579831317278496
459,pure_diffusion_prediction_flat,0.003672000000000037
459,drift_induced_prediction_flat,1.0317977279999848
468,flat_variance,1.1247684830936115
468,sharp_variance,0.00020260130313277724
468,flat_mean_displacement_abs,4.669917832150553
468,pure_diffusion_prediction_flat,0.003744000000000039
468,drift_induced_prediction_flat,1.0936099199999831
477,flat_variance,1.1948173416058465
477,sharp_variance,0.0002040468995697985
477,flat_mean_displacement_abs,4.7589451484488965
477,pure_diffusion_prediction_flat,0.0038160000000000407
477,drift_induced_prediction_flat,1.1578456319999817
486,flat_variance,1.2670334740137064
486,sharp_variance,0.00020182052185953233
486,flat_mean_displacement_abs,4.849220897350263
486,pure_diffusion_prediction_flat,0.0038880000000000425
486,drift_induced_prediction_flat,1.2245515199999801
495,flat_variance,1.3409655358213997
495,sharp_variance,0.00020073430983968637
495,flat_mean_displacement_abs,4.940276374784087
495,pure_diffusion_prediction_flat,0.003960000000000044
495,drift_induced_prediction_flat,1.2937742399999785
504,flat_variance,1.4172490283469525
504,sharp_variance,0.00020162165870277502
504,flat_mean_displacement_abs,5.030711527001382
504,pure_diffusion_prediction_flat,0.004032000000000046
504,drift_induced_prediction_flat,1.3655604479999768
513,flat_variance,1.4889140458121923
513,sharp_variance,0.00020165312650479984
513,flat_mean_displacement_abs,5.118783623534186
513,pure_diffusion_prediction_flat,0.004104000000000048
513,drift_induced_prediction_flat,1.4399567999999752
522,flat_variance,1.5739517204488542
522,sharp_variance,0.00020225659554053932
522,flat_mean_displacement_abs,5.206674674685022
522,pure_diffusion_prediction_flat,0.0041760000000000495
522,drift_induced_prediction_flat,1.517009951999973
531,flat_variance,1.656755150944087
531,sharp_variance,0.00020237622754416292
531,flat_mean_displacement_abs,5.294828049164165
531,pure_diffusion_prediction_flat,0.004248000000000051
531,drift_induced_prediction_flat,1.596766559999971
540,flat_variance,1.744436405904064
540,sharp_variance,0.00020169325682415783
540,flat_mean_displacement_abs,5.386466437370117
540,pure_diffusion_prediction_flat,0.004320000000000053
540,drift_induced_prediction_flat,1.679273279999969
549,flat_variance,1.8307913911707623
549,sharp_variance,0.0002031434344328349
549,flat_mean_displacement_abs,5.476507743818451
549,pure_diffusion_prediction_flat,0.004392000000000055
549,drift_induced_prediction_flat,1.7645767679999667
558,flat_variance,1.9204365553373743
558,sharp_variance,0.00020196443860603371
558,flat_mean_displacement_abs,5.565511360656554
558,pure_diffusion_prediction_flat,0.0044640000000000565
558,drift_induced_prediction_flat,1.8527236799999642
567,flat_variance,2.0112383728899994
567,sharp_variance,0.0002030330474781279
567,flat_mean_displacement_abs,5.65441866378966
567,pure_diffusion_prediction_flat,0.004536000000000058
567,drift_induced_prediction_flat,1.9437606719999618
576,flat_variance,2.10255437094408
576,sharp_variance,0.00020336737557270822
576,flat_mean_displacement_abs,5.742330597729558
576,pure_diffusion_prediction_flat,0.00460800000000006
576,drift_induced_prediction_flat,2.0377343999999593
585,flat_variance,2.2014816432734206
585,sharp_variance,0.0002035111535519486
585,flat_mean_displacement_abs,5.8344013041596625
585,pure_diffusion_prediction_flat,0.004680000000000062
585,drift_induced_prediction_flat,2.134691519999956
594,flat_variance,2.302167922521367
594,sharp_variance,0.00020369913723174496
594,flat_mean_displacement_abs,5.925376427631196
594,pure_diffusion_prediction_flat,0.0047520000000000635
594,drift_induced_prediction_flat,2.2346786879999536
603,flat_variance,2.404903375582643
603,sharp_variance,0.00020409858097921737
603,flat_mean_displacement_abs,6.0156760007047545
603,pure_diffusion_prediction_flat,0.004824000000000065
603,drift_induced_prediction_flat,2.3377425599999513
612,flat_variance,2.520494356058601
612,sharp_variance,0.00020323620160007195
612,flat_mean_displacement_abs,6.107052375548166
612,pure_diffusion_prediction_flat,0.004896000000000067
612,drift_induced_prediction_flat,2.4439297919999485
621,flat_variance,2.6374380423133528
621,sharp_variance,0.00020161427625308985
621,flat_mean_displacement_abs,6.196033873394391
621,pure_diffusion_prediction_flat,0.004968000000000069
621,drift_induced_prediction_flat,2.5532870399999457
630,flat_variance,2.757564143773629
630,sharp_variance,0.00020246868580618804
630,flat_mean_displacement_abs,6.284779443050078
630,pure_diffusion_prediction_flat,0.0050400000000000705
630,drift_induced_prediction_flat,2.6658609599999425
639,flat_variance,2.881231274691826
639,sharp_variance,0.0002021398372429313
639,flat_mean_displacement_abs,6.375998099272289
639,pure_diffusion_prediction_flat,0.005112000000000072
639,drift_induced_prediction_flat,2.78169820799994
648,flat_variance,2.997389707067286
648,sharp_variance,0.00020414044343870726
648,flat_mean_displacement_abs,6.467817013095981
648,pure_diffusion_prediction_flat,0.005184000000000074
648,drift_induced_prediction_flat,2.900845439999936
657,flat_variance,3.1308347624258763
657,sharp_variance,0.00020418767997339374
657,flat_mean_displacement_abs,6.559259591981705
657,pure_diffusion_prediction_flat,0.005256000000000076
657,drift_induced_prediction_flat,3.023349311999932
666,flat_variance,3.257052864764268
666,sharp_variance,0.0002029793123156325
666,flat_mean_displacement_abs,6.649987886171775
666,pure_diffusion_prediction_flat,0.0053280000000000775
666,drift_induced_prediction_flat,3.1492564799999285
675,flat_variance,3.3957884424455567
675,sharp_variance,0.00020293942997739263
675,flat_mean_displacement_abs,6.742289823427048
675,pure_diffusion_prediction_flat,0.005400000000000079
675,drift_induced_prediction_flat,3.2786135999999253
684,flat_variance,3.5391776540723865
684,sharp_variance,0.00020371118314922485
684,flat_mean_displacement_abs,6.8321599422150046
684,pure_diffusion_prediction_flat,0.005472000000000081
684,drift_induced_prediction_flat,3.411467327999921
693,flat_variance,3.6784483392209983
693,sharp_variance,0.00020390179104392672
693,flat_mean_displacement_abs,6.919796648745107
693,pure_diffusion_prediction_flat,0.005544000000000083
693,drift_induced_prediction_flat,3.547864319999917
702,flat_variance,3.8361852935426395
702,sharp_variance,0.00020123903940548504
702,flat_mean_displacement_abs,7.009681742875366
702,pure_diffusion_prediction_flat,0.0056160000000000845
702,drift_induced_prediction_flat,3.6878512319999137
711,flat_variance,4.003531938042296
711,sharp_variance,0.00020322550793035548
711,flat_mean_displacement_abs,7.100579731785627
711,pure_diffusion_prediction_flat,0.005688000000000086
711,drift_induced_prediction_flat,3.8314747199999095
720,flat_variance,4.1707215291031945
720,sharp_variance,0.00020387259775184226
720,flat_mean_displacement_abs,7.19276884305593
720,pure_diffusion_prediction_flat,0.005760000000000088
720,drift_induced_prediction_flat,3.9787814399999046
729,flat_variance,4.336510089120202
729,sharp_variance,0.00020344906226511862
729,flat_mean_displacement_abs,7.285485348125953
729,pure_diffusion_prediction_flat,0.00583200000000009
729,drift_induced_prediction_flat,4.129818047999899
738,flat_variance,4.5052224812920825
738,sharp_variance,0.00020181928363524553
738,flat_mean_displacement_abs,7.37185578087332
738,pure_diffusion_prediction_flat,0.0059040000000000915
738,drift_induced_prediction_flat,4.284631199999895
747,flat_variance,4.686302276102604
747,sharp_variance,0.00020019931634232354
747,flat_mean_displacement_abs,7.463112362048383
747,pure_diffusion_prediction_flat,0.005976000000000093
747,drift_induced_prediction_flat,4.44326755199989
756,flat_variance,4.860556499786231
756,sharp_variance,0.00019954432382251005
756,flat_mean_displacement_abs,7.554468868160977
756,pure_diffusion_prediction_flat,0.006048000000000095
756,drift_induced_prediction_flat,4.6057737599998845
765,flat_variance,5.031777791617488
765,sharp_variance,0.0002004345609026492
765,flat_mean_displacement_abs,7.640925475178097
765,pure_diffusion_prediction_flat,0.006120000000000097
765,drift_induced_prediction_flat,4.772196479999881
774,flat_variance,5.2167869719110325
774,sharp_variance,0.00020094927380644555
774,flat_mean_displacement_abs,7.732274950473263
774,pure_diffusion_prediction_flat,0.0061920000000000985
774,drift_induced_prediction_flat,4.9425823679998775
783,flat_variance,5.400303461830767
783,sharp_variance,0.00020120278433734758
783,flat_mean_displacement_abs,7.822806185813325
783,pure_diffusion_prediction_flat,0.0062640000000001
783,drift_induced_prediction_flat,5.116978079999871
792,flat_variance,5.613025864737297
792,sharp_variance,0.0002028306875258934
792,flat_mean_displacement_abs,7.914599169448124
792,pure_diffusion_prediction_flat,0.006336000000000102
792,drift_induced_prediction_flat,5.295430271999867
801,flat_variance,5.795662459795807
801,sharp_variance,0.0002023014038729084
801,flat_mean_displacement_abs,8.00163827082956
801,pure_diffusion_prediction_flat,0.006408000000000104
801,drift_induced_prediction_flat,5.477985599999862
810,flat_variance,5.97655538243826
810,sharp_variance,0.00020140536005379663
810,flat_mean_displacement_abs,8.092985952772535
810,pure_diffusion_prediction_flat,0.0064800000000001055
810,drift_induced_prediction_flat,5.6646907199998555
819,flat_variance,6.166745825552548
819,sharp_variance,0.00020291603925736278
819,flat_mean_displacement_abs,8.179950445712532
819,pure_diffusion_prediction_flat,0.006552000000000107
819,drift_induced_prediction_flat,5.85559228799985
828,flat_variance,6.377404652023294
828,sharp_variance,0.000203600345962545
828,flat_mean_displacement_abs,8.269040755567133
828,pure_diffusion_prediction_flat,0.006624000000000109
828,drift_induced_prediction_flat,6.0507369599998455
837,flat_variance,6.580973554672588
837,sharp_variance,0.00020330657433025048
837,flat_mean_displacement_abs,8.357245830829076
837,pure_diffusion_prediction_flat,0.006696000000000111
837,drift_induced_prediction_flat,6.250171391999839
846,flat_variance,6.820172394704726
846,sharp_variance,0.00020120878722456573
846,flat_mean_displacement_abs,8.448679871945826
846,pure_diffusion_prediction_flat,0.0067680000000001125
846,drift_induced_prediction_flat,6.453942239999833
855,flat_variance,7.046044280591119
855,sharp_variance,0.00019957375673400102
855,flat_mean_displacement_abs,8.538641560815176
855,pure_diffusion_prediction_flat,0.006840000000000114
855,drift_induced_prediction_flat,6.662096159999827
864,flat_variance,7.292529166832249
864,sharp_variance,0.00020087036014524495
864,flat_mean_displacement_abs,8.628091365938515
864,pure_diffusion_prediction_flat,0.006912000000000116
864,drift_induced_prediction_flat,6.8746798079998195
873,flat_variance,7.479160131600575
873,sharp_variance,0.0001990655556331668
873,flat_mean_displacement_abs,8.710333900722311
873,pure_diffusion_prediction_flat,0.006984000000000118
873,drift_induced_prediction_flat,7.091739839999812
882,flat_variance,7.713250145237272
