direction,eigenvalue,measured_variance,predicted_variance
912,12.981989860534668,3.9988773892218887e-07,4.2440566971890803e-07
913,13.649370193481445,3.3543409472258645e-07,7.061885867187812e-07
914,14.409302711486816,4.4133250298727944e-07,2.9667452849935216e-07
915,14.84084701538086,3.0482945589938026e-07,3.046315839583258e-07
916,15.00239372253418,4.006037102044502e-07,2.710330306854303e-07
917,16.354339599609375,4.441355656581436e-07,7.241946491376439e-07
918,17.551572799682617,5.546053216676228e-07,3.2679290029591357e-07
919,17.743701934814453,3.665121539597749e-07,3.3897137541316624e-07
920,18.4240779876709,3.598486273403978e-07,4.6393535058086854e-07
921,19.096298217773438,5.886628855478193e-07,4.3946093342128734e-07
922,19.851572036743164,7.332976110774325e-07,3.951877829422301e-07
923,20.967378616333008,3.0586051025238703e-07,4.4084026740165427e-07
924,21.086822509765625,3.4585909247653035e-07,6.500195013359189e-07
925,21.870882034301758,3.391430709598353e-07,2.8673861152128666e-07
926,22.81976890563965,5.01785166306945e-07,3.621748874138575e-07
927,23.01399803161621,3.960380752232595e-07,3.1752378504279477e-07
928,25.476133346557617,4.6691735633430653e-07,3.797518672854494e-07
929,25.942962646484375,4.6139959408719733e-07,2.910858540872141e-07
930,26.19051170349121,3.834257427115517e-07,3.4058598430419806e-07
931,26.621288299560547,5.030842658015899e-07,3.4507900181779405e-07
932,27.793569564819336,3.806952406648634e-07,1.6677863357017486e-07
933,28.956565856933594,4.607213668350596e-07,3.409566886602988e-07
934,29.525358200073242,4.852553843193164e-07,4.211225359540549e-07
935,30.656658172607422,4.257497892012907e-07,4.096414727428055e-07
936,32.52479934692383,2.4892824512789957e-07,2.755939476628555e-07
937,34.252994537353516,5.703467422790709e-07,3.9713239630145836e-07
938,35.08368682861328,5.739797188653029e-07,1.599518100192654e-07
939,35.84895706176758,2.413588049421378e-07,1.9542159179763985e-07
940,37.37002944946289,3.6740823361469666e-07,3.838989357518585e-07
941,38.48780059814453,3.3418396583329013e-07,3.204246752375184e-07
942,39.63065719604492,5.29020553585724e-07,2.9827211278643517e-07
943,41.51913070678711,4.740795702673495e-07,3.5304236689626123e-07
944,42.28325271606445,2.906363931742817e-07,4.861415163759375e-07
945,42.92190170288086,5.249950731922581e-07,4.519627339050203e-07
946,45.40496826171875,4.2577107706165407e-07,2.759068991053937e-07
947,52.63936233520508,3.3692603551571665e-07,3.770674652514572e-07
948,59.65653610229492,2.3243764246672072e-07,2.012157267472503e-07
949,60.874141693115234,4.7391810653607536e-07,4.174210914698051e-07
950,68.83037567138672,3.97044544797609e-07,4.5601140641338134e-07
951,76.63661193847656,4.0959477587421134e-07,3.4832481787816505e-07
952,80.7081069946289,5.591720082520624e-07,4.417823618041439e-07
953,91.30522155761719,3.57093199454539e-07,2.601972255433793e-07
954,94.74268341064453,3.9664786299908883e-07,3.392642042854277e-07
955,111.54293060302734,5.868772063877259e-07,3.377976725005283e-07
956,124.17823791503906,2.983264550948661e-07,2.863501720185013e-07
957,141.83554077148438,5.773375164608296e-07,3.633555536453059e-07
958,235.6741485595703,5.191385525904479e-07,2.9523801003961125e-07
959,480.7677001953125,3.975613083184726e-07,2.0162089242603543e-07
