batch,diag_fraction,offdiag_fraction,offdiag_diag_ratio,diag_mass,offdiag_mass
0,0.9090829491615295,0.09091707319021225,0.3162430226802826,4006.064453125,400.6451416015625
1,0.9051014184951782,0.0948985293507576,0.323803186416626,3426.941650390625,359.3096923828125
2,0.8816876411437988,0.11831238865852356,0.3663175702095032,3666.119140625,491.95123291015625
3,0.8971176743507385,0.10288231074810028,0.3386457562446594,3975.005859375,455.8574523925781
4,0.8767954707145691,0.12320449948310852,0.3748556971549988,3432.849365234375,482.3730163574219
5,0.871644914150238,0.12835507094860077,0.3837396800518036,3258.85693359375,479.8866882324219
6,0.8968744874000549,0.10312546044588089,0.3390916585922241,3960.0302734375,455.3367614746094
7,0.8716306090354919,0.12836937606334686,0.38376420736312866,3399.403076171875,500.6470031738281
8,0.906295895576477,0.09370409697294235,0.32154688239097595,3618.271484375,374.10174560546875
9,0.8649052977561951,0.13509470224380493,0.39521634578704834,4483.7236328125,700.3394775390625
10,0.8708437085151672,0.12915632128715515,0.38511258363723755,3623.3251953125,537.3815307617188
11,0.9137150645256042,0.08628493547439575,0.3072996735572815,3944.37060546875,372.4790954589844
