step,method,variance
0,offdiag_over_diag_hessian_basis,3.0680662007920442e-46
1,offdiag_over_diag_hessian_basis,0.14713378120544388
2,offdiag_over_diag_hessian_basis,0.1289045301608302
3,offdiag_over_diag_hessian_basis,0.259576866518726
4,offdiag_over_diag_hessian_basis,0.3419786981495945
5,offdiag_over_diag_hessian_basis,0.4143118610805011
6,offdiag_over_diag_hessian_basis,0.2724920809511614
7,offdiag_over_diag_hessian_basis,0.1913556699786129
8,offdiag_over_diag_hessian_basis,0.21082983734380906
9,offdiag_over_diag_hessian_basis,0.19105682187416928
10,offdiag_over_diag_hessian_basis,0.17436532829202414
11,offdiag_over_diag_hessian_basis,0.18062523511528494
12,offdiag_over_diag_hessian_basis,0.22916582855905873
13,offdiag_over_diag_hessian_basis,0.308512274983651
14,offdiag_over_diag_hessian_basis,0.23354108235451057
15,offdiag_over_diag_hessian_basis,0.18273092844322572
16,offdiag_over_diag_hessian_basis,0.17738390090341966
17,offdiag_over_diag_hessian_basis,0.16986876226493003
18,offdiag_over_diag_hessian_basis,0.235825497570023
19,offdiag_over_diag_hessian_basis,0.20908844512949928
20,offdiag_over_diag_hessian_basis,0.17113460010401918
