step,method,variance
0,with_replacement,0.0
0,without_replacement,0.0
1,with_replacement,1.2996926170336132e-05
1,without_replacement,1.3409735254799774e-05
2,with_replacement,2.8321941184594198e-05
2,without_replacement,2.9856313451311765e-05
3,with_replacement,4.545556070185325e-05
3,without_replacement,3.746994980387664e-05
4,with_replacement,7.038788361377627e-05
4,without_replacement,4.7379995113313035e-05
5,with_replacement,8.555133243703447e-05
5,without_replacement,6.037814862604904e-05
6,with_replacement,9.480778529332378e-05
6,without_replacement,7.015101592651479e-05
7,with_replacement,0.00011892953534215453
7,without_replacement,6.812929982910131e-05
8,with_replacement,0.00013233860032481264
8,without_replacement,7.128567334367892e-05
9,with_replacement,0.0001540860987936566
9,without_replacement,6.750271957938901e-05
10,with_replacement,0.0001683717965034909
10,without_replacement,6.295958149613329e-05
11,with_replacement,0.00017619473528909717
11,without_replacement,4.8956099386887375e-05
12,with_replacement,0.00020303215003794804
12,without_replacement,6.257495234787442e-05
13,with_replacement,0.0001982361217061767
13,without_replacement,5.071078510232845e-05
14,with_replacement,0.00020632497076586185
14,without_replacement,3.4749849667433866e-05
15,with_replacement,0.00024470894477380563
15,without_replacement,1.831891798049252e-05
16,with_replacement,0.00027087689003553955
16,without_replacement,9.959413852579985e-08
17,with_replacement,0.00026831959195753837
17,without_replacement,1.3819334317237655e-05
18,with_replacement,0.0003122645997942725
18,without_replacement,2.8793222670061772e-05
19,with_replacement,0.00032636311110838056
19,without_replacement,5.031397213249937e-05
20,with_replacement,0.000329963539157193
20,without_replacement,5.59556890573243e-05
21,with_replacement,0.00034662468478035814
21,without_replacement,5.9237025469605194e-05
22,with_replacement,0.00035840099077755113
22,without_replacement,8.323616749744022e-05
23,with_replacement,0.0003774235556843787
23,without_replacement,8.871344917792333e-05
24,with_replacement,0.0003738366609430128
24,without_replacement,9.228410190822102e-05
25,with_replacement,0.00038421341949512744
25,without_replacement,8.232643692721337e-05
26,with_replacement,0.0004061705474134235
26,without_replacement,6.603400740593543e-05
27,with_replacement,0.00041555641052004697
27,without_replacement,6.330919835275305e-05
28,with_replacement,0.00041688387572225106
28,without_replacement,4.853200002501529e-05
29,with_replacement,0.00041652822430766526
29,without_replacement,3.748520448417331e-05
30,with_replacement,0.0004212824672562224
30,without_replacement,3.5007137833368077e-05
31,with_replacement,0.00040719007661983324
31,without_replacement,1.3808738212683576e-05
32,with_replacement,0.00041683556914789424
32,without_replacement,1.7971420195562263e-07
33,with_replacement,0.0004571514265426666
33,without_replacement,1.670058970151881e-05
34,with_replacement,0.0004397888887621825
34,without_replacement,2.3567858873074217e-05
35,with_replacement,0.000484734729573204
35,without_replacement,3.172065333924016e-05
36,with_replacement,0.0005042432669194537
36,without_replacement,4.0065816933609597e-05
37,with_replacement,0.0005327434825673965
37,without_replacement,4.8892216942605514e-05
38,with_replacement,0.0005218727475600992
38,without_replacement,6.405904921838438e-05
39,with_replacement,0.0004904116022075944
39,without_replacement,6.395382201051524e-05
40,with_replacement,0.0005304853473237019
40,without_replacement,7.278102675006399e-05
41,with_replacement,0.00048703937207389436
41,without_replacement,7.243457643795048e-05
42,with_replacement,0.0005317328670912061
42,without_replacement,6.693921104119197e-05
43,with_replacement,0.0005453174424647736
43,without_replacement,6.0821544684260605e-05
44,with_replacement,0.0005503369980374658
44,without_replacement,4.6013973803298694e-05
45,with_replacement,0.000589231643342251
45,without_replacement,3.296119135290612e-05
46,with_replacement,0.0006285870192808006
46,without_replacement,2.5811825962745174e-05
47,with_replacement,0.0006215632816468378
47,without_replacement,1.6016409793830184e-05
48,with_replacement,0.0006460768894018354
48,without_replacement,2.9293820768496493e-07
