step,method,variance
0,with_replacement,0.0
0,without_replacement,0.0
1,with_replacement,2.9037011761598816e-05
1,without_replacement,1.0509881259697375e-05
2,with_replacement,5.902750430615806e-05
2,without_replacement,1.5688168038036986e-05
3,with_replacement,9.364041543546797e-05
3,without_replacement,3.754613812866928e-05
4,with_replacement,0.00010490144052662956
4,without_replacement,3.869806813371517e-05
5,with_replacement,8.754953333170466e-05
5,without_replacement,3.0287930295200558e-05
6,with_replacement,0.00011644601810887924
6,without_replacement,1.3668344385537566e-05
7,with_replacement,0.00011147486376480667
7,without_replacement,1.3958851865085493e-05
8,with_replacement,0.00012188946200573166
8,without_replacement,9.900566318202511e-09
9,with_replacement,0.00012774666580449355
9,without_replacement,1.680406684841985e-05
10,with_replacement,0.0001394026782619373
10,without_replacement,3.7261873436372905e-05
11,with_replacement,0.00013943977989493617
11,without_replacement,4.034547047310954e-05
12,with_replacement,0.0001546934578943494
12,without_replacement,5.419919205013108e-05
13,with_replacement,0.00013895829326448795
13,without_replacement,4.244180933221459e-05
14,with_replacement,0.00015748659953652769
14,without_replacement,3.237260138596959e-05
15,with_replacement,0.00017320963134229045
15,without_replacement,1.5178740936683596e-05
16,with_replacement,0.00017061380527766333
16,without_replacement,2.4509021930715787e-08
