step,method,variance,eta
0.01,empirical_centered_covariance,1.8955273363759799e-06,0.01
0.03,empirical_centered_covariance,1.7059746027383814e-05,0.03
0.1,empirical_centered_covariance,0.000189552733637598,0.1
0.2,empirical_centered_covariance,0.000758210934550392,0.2
0.01,eta2_Tr_Sigma,2.0218958254677118e-06,0.01
0.03,eta2_Tr_Sigma,1.8197062429209404e-05,0.03
0.1,eta2_Tr_Sigma,0.00020218958254677118,0.1
0.2,eta2_Tr_Sigma,0.0008087583301870847,0.2
0.01,empirical_raw_second_moment,2.3684967513612147e-06,0.01
0.03,empirical_raw_second_moment,2.131647076225093e-05,0.03
0.1,empirical_raw_second_moment,0.0002368496751361215,0.1
0.2,empirical_raw_second_moment,0.000947398700544486,0.2
0.01,eta2_Tr_Sigma_plus_ggT,2.449643545774625e-06,0.01
0.03,eta2_Tr_Sigma_plus_ggT,2.2046791911971622e-05,0.03
0.1,eta2_Tr_Sigma_plus_ggT,0.0002449643545774625,0.1
0.2,eta2_Tr_Sigma_plus_ggT,0.00097985741830985,0.2
