eta,step,method,error,error_std
0.01,0.01,standard_generator,0.00015913631242952937,0.0001093463302477179
0.01,0.01,corrected_generator,1.3636066001943942e-06,1.948873275668997e-06
0.02,0.02,standard_generator,0.0006310974821525266,0.0004308755469977653
0.02,0.02,corrected_generator,1.4613281569430238e-05,1.7838320899656427e-05
0.05,0.05,standard_generator,0.0038462822706820535,0.0025784845363545357
0.05,0.05,corrected_generator,0.000255265456450333,0.00028380521965604047
0.1,0.1,standard_generator,0.014780065185513397,0.009637692117452155
0.1,0.1,corrected_generator,0.0020056516667131333,0.002083150601926936
0.2,0.2,standard_generator,0.054881698516885236,0.0341378184750884
0.2,0.2,corrected_generator,0.014408156842599697,0.013456429574577784
