step,method,mean_error,covariance_error,combined_error
0,standard_generator,0.0,0.0,0.0
0,corrected_generator,0.0,0.0,0.0
1,standard_generator,0.002067269944159404,0.013295411042810793,0.015362680986970197
1,corrected_generator,0.001942303745458407,0.007671947525621536,0.009614251271079944
2,standard_generator,0.0036372352131584097,0.027509025877728563,0.031146261090886973
2,corrected_generator,0.003074795647913061,0.008676108469720497,0.011750904117633559
3,standard_generator,0.004061381004173033,0.036008486427076075,0.04006986743124911
3,corrected_generator,0.0030084863036906324,0.010808895711379411,0.013817382015070044
4,standard_generator,0.0048120500305222965,0.04037704773830894,0.04518909776883124
4,corrected_generator,0.0039237916376114075,0.014522203220699938,0.018445994858311346
5,standard_generator,0.005451647343222656,0.04190918604939382,0.04736083339261648
5,corrected_generator,0.004373034568420957,0.012648434398042023,0.01702146896646298
6,standard_generator,0.005502965749687872,0.04068511216601177,0.04618807791569964
6,corrected_generator,0.004210219162964586,0.012812271623297346,0.017022490786261932
7,standard_generator,0.004547935780597663,0.03875309049057401,0.043301026271171675
7,corrected_generator,0.00398816219453508,0.012594062858633423,0.016582225053168503
8,standard_generator,0.004241081338492273,0.037821648886297694,0.04206273022478997
8,corrected_generator,0.004072713875102392,0.01597433926559275,0.020047053140695142
9,standard_generator,0.0038781858038908898,0.03552052985655021,0.0393987156604411
9,corrected_generator,0.004755145618581555,0.014767799057836123,0.01952294467641768
10,standard_generator,0.003908211503885797,0.037497997171283645,0.04140620867516944
10,corrected_generator,0.004093960153694043,0.011425013548283168,0.015518973701977211
11,standard_generator,0.0049814073104699,0.03841899481121234,0.04340040212168224
11,corrected_generator,0.005244576350837238,0.016794899096472977,0.022039475447310216
12,standard_generator,0.00585842310250633,0.03896338574049776,0.04482180884300409
12,corrected_generator,0.005606835379523031,0.020866363268306085,0.026473198647829117
