step,method,mean_projection,std_projection,ci95_low,ci95_high,mean_direction_variance,mean_path_error_to_sgd,mean_coord_1,mean_coord_2
0,sgd_replacement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,sgd_replacement,0.000143834222399164,0.0001030071049936772,6.141137234133528e-05,0.00022625707245699272,5.123736e-08,0.0,-0.0003532521368470043,0.0003012354427482933
2,sgd_replacement,0.00020459436018427368,0.00010139680484103058,0.00012346001860397024,0.0002857287017645771,9.3307534e-08,0.0,-0.0006378803518600762,0.00049037259304896
3,sgd_replacement,0.00032738976248462376,0.00015121226549009582,0.0002063947506729649,0.0004483847742962826,2.1871081e-07,0.0,-0.000997534953057766,0.0008638315484859049
4,sgd_replacement,0.0004070452511465798,0.00021202006994852876,0.00023739386218956935,0.0005766966401035903,3.2910893e-07,0.0,-0.0013302038423717022,0.001090194215066731
5,sgd_replacement,0.00044658975093625486,0.00023498054875052836,0.00025856615258971414,0.0006346133492827956,3.831017e-07,0.0,-0.0015958090079948306,0.0012956180144101381
6,sgd_replacement,0.0005706490943945634,0.00028946439295918393,0.0003390293409860998,0.0008022688478030269,5.4010985e-07,0.0,-0.00187021738383919,0.0016673606587573886
7,sgd_replacement,0.0006068174188840203,0.0003525644559902029,0.00032470709946882877,0.0008889277382992118,7.363767e-07,0.0,-0.002034612698480487,0.0016738733975216746
8,sgd_replacement,0.0006317736163813,0.000384316617249684,0.000324256276482785,0.0009392909562798151,8.1891227e-07,0.0,-0.0023830279242247343,0.0018280074000358582
9,sgd_replacement,0.0007219285277339319,0.0003704431478349102,0.0004255122753713297,0.001018344780096534,7.2171696e-07,0.0,-0.002550972392782569,0.001959368819370866
10,sgd_replacement,0.0007496791173859189,0.0003432056734736104,0.00047505738361864236,0.0010243008511531954,7.4714154e-07,0.0,-0.0027965770568698645,0.002114308765158057
11,sgd_replacement,0.0007810605408546204,0.0003460756641419598,0.0005041423362707022,0.0010579787454385386,9.932895e-07,0.0,-0.002965153194963932,0.0021245486568659544
12,sgd_replacement,0.0008888441079761833,0.0003193000039605668,0.0006333508936826513,0.0011443373222697153,9.085031e-07,0.0,-0.0033854383509606123,0.0024112930987030268
13,sgd_replacement,0.000893840508069843,0.00035156485740206266,0.0006125300341075779,0.0011751509820321082,1.0126837e-06,0.0,-0.0037435346748679876,0.002425123006105423
14,sgd_replacement,0.0010074654516453545,0.00033094017936246206,0.000742658157203117,0.001272272746087592,1.1374949e-06,0.0,-0.0038059258367866278,0.0026604703161865473
15,sgd_replacement,0.001071605666462953,0.0003036816446447116,0.0008286097424108956,0.0013146015905150105,1.1941329e-06,0.0,-0.00418070750311017,0.002707600360736251
16,sgd_replacement,0.0011940007874121268,0.0003729536044439082,0.0008955757513964665,0.001492425823427787,1.2462536e-06,0.0,-0.004395111929625273,0.0028271256014704704
17,sgd_replacement,0.0012185163795948029,0.0003470285943475494,0.0009408356720412525,0.001496197087148353,1.2337383e-06,0.0,-0.004569820128381252,0.0028869006782770157
18,sgd_replacement,0.0012891374159759532,0.000299298806823211,0.0010496484925779914,0.001528626339373915,1.0880575e-06,0.0,-0.004918605554848909,0.0029983713757246733
19,sgd_replacement,0.0012903210105529677,0.0003276376598385713,0.00102815628209244,0.0015524857390134953,1.1442804e-06,0.0,-0.005201464984565973,0.0027519753202795982
20,sgd_replacement,0.0014027756600019832,0.0002500632749509047,0.0012026833671692396,0.0016028679528347267,1.4215346e-06,0.0,-0.005326578859239817,0.002984175691381097
21,sgd_replacement,0.0014325028362994392,0.0002115366416314545,0.0012632382705590832,0.0016017674020397952,1.4114506e-06,0.0,-0.005566419567912817,0.0029103849083185196
22,sgd_replacement,0.001542740947722147,0.00016750132520629076,0.0014087119735769833,0.0016767699218673106,1.4996411e-06,0.0,-0.005817025434225798,0.0031659614760428667
23,sgd_replacement,0.0015226509034012754,0.00022283908897037082,0.0013443424962447455,0.0017009593105578053,1.548519e-06,0.0,-0.006018033716827631,0.0032267505303025246
24,sgd_replacement,0.0016774370451457798,0.0002301334805804811,0.0014932919090958389,0.0018615821811957208,1.6205431e-06,0.0,-0.006305357441306114,0.0036027005407959223
25,sgd_replacement,0.001759378375330319,0.00031514175256419646,0.0015072124551236059,0.002011544295537032,1.6813291e-06,0.0,-0.006719536613672972,0.003836053656414151
26,sgd_replacement,0.0017787804439043005,0.0003161541205594302,0.0015258044605909733,0.0020317564272176276,1.7650538e-06,0.0,-0.006843626033514738,0.003913667518645525
27,sgd_replacement,0.0018147337056385975,0.0002700164502225464,0.0015986755474056659,0.002030791863871529,1.8170625e-06,0.0,-0.007064820732921362,0.004005662631243467
28,sgd_replacement,0.0018211869755759835,0.0003453134599206625,0.00154487866138991,0.002097495289762057,2.0765974e-06,0.0,-0.0073874033987522125,0.004084218759089708
29,sgd_replacement,0.0018565977807156742,0.0004344163515329694,0.0015089923043044228,0.0022042032571269257,2.3968544e-06,0.0,-0.0076393322087824345,0.004336372949182987
30,sgd_replacement,0.0019102262837501864,0.00038970511816853026,0.0015983972451266387,0.002222055322373734,2.23331e-06,0.0,-0.007804444059729576,0.004321317654103041
31,sgd_replacement,0.001943712413776666,0.00037411641392322644,0.0016443569363961547,0.002243067891157177,2.220648e-06,0.0,-0.008083431050181389,0.004334764089435339
32,sgd_replacement,0.0019762467903395495,0.0003219286454575758,0.0017186502247871207,0.0022338433558919783,2.0932723e-06,0.0,-0.008164579048752785,0.004347600508481264
33,sgd_replacement,0.001999057635354499,0.00037892027058106676,0.001695858272088322,0.0023022569986206757,2.2800202e-06,0.0,-0.008249904960393906,0.004457737784832716
34,sgd_replacement,0.0020101815462112427,0.00035807985094144873,0.001723657991698296,0.0022967051007241894,2.2112433e-06,0.0,-0.008285234682261944,0.004510736092925072
35,sgd_replacement,0.0020941176335327327,0.00037549414276773126,0.0017936597434790574,0.002394575523586408,2.2465942e-06,0.0,-0.008466157130897045,0.004780905321240425
36,sgd_replacement,0.0022072290109160044,0.00042124725053730057,0.0018701610099228715,0.0025442970119091374,2.6360467e-06,0.0,-0.008480368182063103,0.005012354347854853
37,sgd_replacement,0.002250382036436349,0.0004467240192745405,0.0018929283747675142,0.002607835698105184,2.5892089e-06,0.0,-0.008659371174871922,0.005243735387921333
38,sgd_replacement,0.0022597702142472067,0.00038792301267756443,0.0019493671570030807,0.0025701732714913327,2.7804253e-06,0.0,-0.008875834755599499,0.005265736486762762
39,sgd_replacement,0.0023032347671687603,0.0003675943677751873,0.0020090980136011653,0.0025973715207363553,2.6914583e-06,0.0,-0.009108095429837704,0.005212561693042517
40,sgd_replacement,0.0024126983674553535,0.00040584439703216245,0.002087955216141227,0.00273744151876948,2.817472e-06,0.0,-0.009356849826872349,0.0053448486141860485
