step,method,mean_x,mean_y,cov_xx,cov_xy,cov_yy,ellipse_width,ellipse_height,ellipse_angle,is_ellipse_step
0,exact_sgd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,1
0,standard_langevin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,1
0,drift_corrected_langevin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,1
1,exact_sgd,-0.0006426299379783583,-0.0016746597366449117,4.672651725807286e-06,8.313949291616729e-07,5.299221700353055e-06,0.004847431845444046,0.004048443924326518,55.32366856520837,0
1,standard_langevin,-0.0011242536931330136,-0.0022305235798408245,4.3455071276108915e-06,-2.4621230049480993e-06,8.124938341276306e-06,0.006111936596373238,0.0035392107760717365,116.24661556994265,0
1,drift_corrected_langevin,0.00038304739955124937,-0.0019936351448990985,4.650018311765295e-06,-2.7959177151305104e-08,6.372611198862317e-06,0.005048985989712778,0.0043125698276311455,90.92963376714388,0
2,exact_sgd,-0.0011102919826404063,-0.003349295652424088,1.1325280663234541e-05,3.481196184852363e-07,1.2365029224003735e-05,0.00706280958795169,0.006699101452679366,73.09641876137914,0
2,standard_langevin,-0.0011020021677669112,-0.004050253364530377,5.6026512209801605e-06,-7.358626772480431e-07,1.6215701022692793e-05,0.008066344794423324,0.004712482427783848,93.94746552152412,0
2,drift_corrected_langevin,0.0002508134890677853,-0.0037979581836165856,6.47041574403381e-06,-3.042398610830651e-07,9.728449257445682e-06,0.006247116487315305,0.005076317129556748,95.28942516436106,0
3,exact_sgd,-0.0008563404554725978,-0.0050527064920439626,1.700183848034474e-05,-1.4624030202997545e-06,1.4893259936631345e-05,0.00842623665033167,0.00752189667441076,152.89447026040244,0
3,standard_langevin,-0.0006585833731142303,-0.006140245935396946,1.0876718488552822e-05,-3.5815722480937215e-06,2.150443547198239e-05,0.009507629671375372,0.006255365207094106,106.99010228600169,0
3,drift_corrected_langevin,-0.0002804344821756049,-0.006131350731583724,7.211833224220426e-06,7.918225187555749e-07,1.5500062064464825e-05,0.00789304284536233,0.005342981919866055,84.59139319306169,0
4,exact_sgd,-0.0009373785255180821,-0.007507148400790074,1.6034890682056978e-05,-2.7561738718591694e-06,2.3921951489504008e-05,0.00995784118976667,0.007789015825226591,107.47504724767614,0
4,standard_langevin,-0.0013777635936944156,-0.008159210263640665,1.625140678969821e-05,2.7649310679758926e-06,1.953964094755118e-05,0.009189635277364161,0.007662557955279795,60.368540029489935,0
4,drift_corrected_langevin,-7.299824632541651e-05,-0.008017259041193088,1.1932482782212759e-05,2.7519009927869805e-06,2.2371820355452836e-05,0.009602670698071573,0.0067086457661036155,76.10050747223022,0
5,exact_sgd,-0.001422196380701989,-0.008285930240209722,2.5934365829867087e-05,-3.0542974737975478e-06,3.18956992156216e-05,0.011520887849644848,0.009929219674166769,112.8495069367259,0
5,standard_langevin,-0.0018475659050482727,-0.01024101439319423,1.847596923891868e-05,4.198159636187155e-06,2.5074665075973526e-05,0.010414377630288962,0.008108222729631055,64.08196269055995,0
5,drift_corrected_langevin,-0.00039520778896968723,-0.009900809642520549,1.6068918305429663e-05,7.011432592328096e-06,3.0325856519203644e-05,0.01152322008399067,0.007265982259436592,67.73711427942322,0
6,exact_sgd,-0.0009894861734236634,-0.010459323411934103,2.2271950359628058e-05,-2.355703851969874e-06,3.747671941076915e-05,0.01230176072573476,0.009362764662660202,98.60815853045239,0
6,standard_langevin,-0.0025537660887913712,-0.012616660650332345,2.304692881485333e-05,4.362021387295281e-06,3.625107013156421e-05,0.012257558679423545,0.009324390114434224,73.27352956673565,0
6,drift_corrected_langevin,-0.000232347409928871,-0.011315438115699227,2.2402361903067762e-05,6.83959194678166e-06,4.628983222692031e-05,0.013872210629290761,0.009073618284705652,75.10117344881313,0
7,exact_sgd,-0.001208767806891009,-0.012693742117651612,3.172130074427348e-05,-5.062807205180905e-06,3.509994482546952e-05,0.012449551671604348,0.010596869606399118,125.77376896367224,0
7,standard_langevin,-0.00270922671142698,-0.014017147801096348,2.9691385538369995e-05,7.813829523978309e-06,5.390373816505779e-05,0.014994189335058958,0.010466841978271926,73.58006013655482,0
7,drift_corrected_langevin,-0.0008915710017534313,-0.01294876161559648,2.642546639003314e-05,4.716002057887921e-06,4.909736098974111e-05,0.01414768021165424,0.010096259413657318,78.70581050050495,0
