step,method,mean,variance,mean_error_to_sgd,variance_error_to_sgd
0,exact_sgd,-0.0018525917474337046,0.03248837877740696,0.0,0.0
0,standard_langevin,-0.0018525917474337046,0.03248837877740696,0.0,0.0
0,drift_corrected_langevin,-0.0018525917474337046,0.03248837877740696,0.0,0.0
1,exact_sgd,-0.01664815447717816,0.034383737497782195,0.0,0.0
1,standard_langevin,-0.01714483957991307,0.03422750340018977,0.000496685102734911,0.00015623409759242535
1,drift_corrected_langevin,-0.016895410878200415,0.034489294434801775,0.00024725640102225485,0.00010555693701957969
2,exact_sgd,-0.032328131945444316,0.036507188369056656,0.0,0.0
2,standard_langevin,-0.03254587443828431,0.036359307939389705,0.00021774249283999098,0.00014788042966695086
2,drift_corrected_langevin,-0.032074228877133064,0.03646772706605499,0.00025390306831125226,3.9461303001663006e-05
3,exact_sgd,-0.04816308853730245,0.038573281289386446,0.0,0.0
3,standard_langevin,-0.048100604642221524,0.03824910443827996,6.248389508092811e-05,0.0003241768511064863
3,drift_corrected_langevin,-0.04742864665001746,0.038556664268656615,0.0007344418872849909,1.6617020729831067e-05
4,exact_sgd,-0.06406309460234609,0.040682441912189636,0.0,0.0
4,standard_langevin,-0.06394927861195596,0.040418941427578424,0.00011381599039013424,0.0002635004846112121
4,drift_corrected_langevin,-0.06329753859214682,0.04058297938521858,0.0007655560101992726,9.946252697105862e-05
5,exact_sgd,-0.07946789696074773,0.04264527214013487,0.0,0.0
5,standard_langevin,-0.07959064494225014,0.042422322100942864,0.0001227479815024135,0.00022295003919200335
5,drift_corrected_langevin,-0.07930660640504215,0.0426638418485599,0.00016129055570557327,1.8569708425029974e-05
6,exact_sgd,-0.09545373141704243,0.0447215536520723,0.0,0.0
6,standard_langevin,-0.09604732570771855,0.04421849486374874,0.0005935942906761249,0.0005030587883235599
6,drift_corrected_langevin,-0.09529539473971604,0.04466251571293489,0.00015833667732638446,5.9037939137411566e-05
7,exact_sgd,-0.1114278829569777,0.04658239317998147,0.0,0.0
7,standard_langevin,-0.11194456411878857,0.04606854058648516,0.0005166811618108752,0.0005138525934963098
7,drift_corrected_langevin,-0.11164952117255236,0.046409059069570026,0.00022163821557466545,0.0001733341104114411
8,exact_sgd,-0.1268986319765955,0.04827486771853494,0.0,0.0
8,standard_langevin,-0.1276993793553644,0.04784088424093607,0.0008007473787688957,0.00043398347759886907
8,drift_corrected_langevin,-0.12772629055673332,0.048081623374871665,0.0008276585801378078,0.0001932443436632736
9,exact_sgd,-0.1423700599912271,0.04957774701866964,0.0,0.0
9,standard_langevin,-0.1434798584158538,0.049142819500978534,0.0011097984246267178,0.0004349275176911069
9,drift_corrected_langevin,-0.14310941179286032,0.0493838736874267,0.0007393518016332312,0.00019387333124293998
10,exact_sgd,-0.1579645161396447,0.0507722435982652,0.0,0.0
10,standard_langevin,-0.1588665401504464,0.05029969821604216,0.0009020240108016941,0.0004725453822230427
10,drift_corrected_langevin,-0.15859079555918398,0.05059920879755788,0.0006262794195392718,0.00017303480070732236
11,exact_sgd,-0.17305241192405096,0.05197826065277964,0.0,0.0
11,standard_langevin,-0.17422832518335443,0.051356794643037544,0.0011759132593034682,0.0006214660097420971
11,drift_corrected_langevin,-0.17372846616579476,0.05147501638602767,0.0006760542417438009,0.0005032442667519746
12,exact_sgd,-0.18772956455073964,0.052757665465253845,0.0,0.0
12,standard_langevin,-0.1889600426135299,0.052036472987533326,0.0012304780627902523,0.0007211924777205184
12,drift_corrected_langevin,-0.18855466960263242,0.05214393083981709,0.0008251050518927883,0.0006137346254367557
13,exact_sgd,-0.2020405050397204,0.053281831257936736,0.0,0.0
13,standard_langevin,-0.20358073280477162,0.052306339871534886,0.001540227765051222,0.00097549138640185
13,drift_corrected_langevin,-0.2029954406547934,0.05265288318811786,0.0009549356150730104,0.0006289480698188771
14,exact_sgd,-0.21599598401795056,0.05351127904165362,0.0,0.0
