step,lr,bucket,method,mean_direction_variance,std_direction_variance,ci95_low,ci95_high
0,0.0125,flat,flat_lr=0.0125,0.0,0.0,0.0,0.0
40,0.0125,flat,flat_lr=0.0125,3.0787471096832553e-13,4.3615135916948156e-13,5.637227880675444e-15,6.101122211610299e-13
80,0.0125,flat,flat_lr=0.0125,6.336214105479021e-13,9.379139175383355e-13,-1.6319844781120807e-14,1.283562665876925e-12
120,0.0125,flat,flat_lr=0.0125,7.634983140505924e-13,1.0248955547090266e-12,5.328192314441038e-14,1.4737147049567745e-12
160,0.0125,flat,flat_lr=0.0125,1.0169522559125288e-12,1.51486527315281e-12,-3.2795814675079527e-14,2.066700326500137e-12
200,0.0125,flat,flat_lr=0.0125,1.2799026161830485e-12,1.8611889373437718e-12,-9.83555684813675e-15,2.5696406807940164e-12
240,0.0125,flat,flat_lr=0.0125,1.724222977936285e-12,2.465400713441701e-12,1.5787393094213176e-14,3.432658671198574e-12
280,0.0125,flat,flat_lr=0.0125,1.9420682510068454e-12,2.7695844749542342e-12,2.284413977426958e-14,3.861292362239421e-12
320,0.0125,flat,flat_lr=0.0125,2.2948925745835957e-12,3.2564222585823588e-12,3.830703115825784e-14,4.551478118008934e-12
360,0.0125,flat,flat_lr=0.0125,2.253438321359047e-12,3.2499448011230614e-12,1.341374927799066e-15,4.505535267790295e-12
400,0.0125,flat,flat_lr=0.0125,3.11627720156471e-12,4.447549099839687e-12,3.4282906374860644e-14,6.198271496754559e-12
0,0.0125,sharp,sharp_lr=0.0125,0.0,0.0,0.0,0.0
40,0.0125,sharp,sharp_lr=0.0125,1.1697157788148616e-05,3.974001629103441e-06,8.943315151554998e-06,1.4451000424742233e-05
80,0.0125,sharp,sharp_lr=0.0125,2.3249951482284814e-05,6.798801223339979e-06,1.8538623407948762e-05,2.7961279556620866e-05
120,0.0125,sharp,sharp_lr=0.0125,3.5434801247902215e-05,1.0707399269449525e-05,2.8014952476951294e-05,4.285465183784254e-05
160,0.0125,sharp,sharp_lr=0.0125,5.033990601077676e-05,1.687967414909508e-05,3.8642887375317514e-05,6.2036924646236e-05
200,0.0125,sharp,sharp_lr=0.0125,5.608180072158575e-05,2.7471251087263227e-05,3.7045196222607046e-05,7.511840522056445e-05
240,0.0125,sharp,sharp_lr=0.0125,6.043348184903152e-05,2.4223505533882417e-05,4.364744745544158e-05,7.721951988060027e-05
280,0.0125,sharp,sharp_lr=0.0125,6.264955300139263e-05,1.4100109183345921e-05,5.2878676797263324e-05,7.242042920552194e-05
320,0.0125,sharp,sharp_lr=0.0125,6.039075378794223e-05,1.1777898180298507e-05,5.222908657742664e-05,6.855242099845782e-05
360,0.0125,sharp,sharp_lr=0.0125,6.942720210645348e-05,2.1381805709097534e-05,5.46103656233754e-05,8.424403495155275e-05
400,0.0125,sharp,sharp_lr=0.0125,6.462207238655537e-05,2.2247057131608017e-05,4.920564970234409e-05,8.003849507076666e-05
0,0.025,flat,flat_lr=0.025,0.0,0.0,0.0,0.0
40,0.025,flat,flat_lr=0.025,1.2437533641884713e-12,1.760288854783798e-12,2.393538926087624e-14,2.4635714475362835e-12
80,0.025,flat,flat_lr=0.025,2.5897513300510155e-12,3.8712193173306986e-12,-9.286690340337689e-14,5.2723693466649735e-12
120,0.025,flat,flat_lr=0.025,3.171918023375797e-12,4.2398224688044994e-12,2.338708653820687e-13,6.109964964529091e-12
160,0.025,flat,flat_lr=0.025,4.250427700774884e-12,6.334582598049865e-12,-1.3921416103235273e-13,8.64006956258212e-12
200,0.025,flat,flat_lr=0.025,5.375727207129755e-12,7.819835924627316e-12,-4.3143006528412187e-14,1.079459785446879e-11
240,0.025,flat,flat_lr=0.025,7.380301231263431e-12,1.0489798266122285e-11,1.1124174498222672e-13,1.4649361584906373e-11
280,0.025,flat,flat_lr=0.025,8.593541676871208e-12,1.2257667103554581e-11,9.94109308760649e-14,1.7087671555504613e-11
320,0.025,flat,flat_lr=0.025,1.0245262971331215e-11,1.4493475863908145e-11,2.0179604515169203e-13,2.0288729030149e-11
360,0.025,flat,flat_lr=0.025,1.010953820657079e-11,1.465026884528431e-11,-4.258052244132671e-14,2.0261656935582906e-11
400,0.025,flat,flat_lr=0.025,1.4395665215438669e-11,2.0293287883443867e-11,3.331328268796341e-13,2.8458197603997704e-11
0,0.025,sharp,sharp_lr=0.025,0.0,0.0,0.0,0.0
40,0.025,sharp,sharp_lr=0.025,4.4079351937398314e-05,1.4649155673396308e-05,3.3928004995686933e-05,5.4230698879109696e-05
80,0.025,sharp,sharp_lr=0.025,8.200425509130582e-05,2.4358650989597663e-05,6.512457184726372e-05,9.888393833534792e-05
120,0.025,sharp,sharp_lr=0.025,0.00011797575280070305,3.283140540588647e-05,9.522475011181086e-05,0.00014072675548959523
160,0.025,sharp,sharp_lr=0.025,0.00015812220226507634,4.6138909965520725e-05,0.0001261495635844767,0.00019009484094567597
200,0.025,sharp,sharp_lr=0.025,0.0001610938343219459,7.193641795311123e-05,0.00011124443699372932,0.00021094322437420487
240,0.025,sharp,sharp_lr=0.025,0.000167482765391469,5.48863536096178e-05,0.00012944845366291702,0.00020551707712002099
280,0.025,sharp,sharp_lr=0.025,0.00016639407840557396,3.343299977132119e-05,0.00014322619244921952,0.0001895619643619284
320,0.025,sharp,sharp_lr=0.025,0.00015052835806272924,2.6069583327625878e-05,0.00013246305752545595,0.00016859365860000253
360,0.025,sharp,sharp_lr=0.025,0.00017292017582803965,6.149024557089433e-05,0.0001303096069023013,0.00021553074475377798
400,0.025,sharp,sharp_lr=0.025,0.00015421261196024716,5.762790533481166e-05,0.0001142785040428862,0.00019414671987760812
0,0.05,flat,flat_lr=0.05,0.0,0.0,0.0,0.0
40,0.05,flat,flat_lr=0.05,5.0485054504945115e-12,7.107201979716926e-12,1.2346590763656629e-13,9.973544559671588e-12
80,0.05,flat,flat_lr=0.05,1.0945279405039088e-11,1.6411075623445903e-11,-4.270160613994989e-13,2.2317574871477674e-11
120,0.05,flat,flat_lr=0.05,1.3706688561931912e-11,1.8370825694002946e-11,9.763552813457643e-13,2.6437022709879798e-11
160,0.05,flat,flat_lr=0.05,1.867865237481503e-11,2.786301397939006e-11,-6.294322701938526e-13,3.798673875454739e-11
200,0.05,flat,flat_lr=0.05,2.407733734610673e-11,3.497460307477773e-11,-1.5882607729000853e-13,4.8313499034779994e-11
240,0.05,flat,flat_lr=0.05,3.465718684259045e-11,4.95812453593647e-11,2.991357161974406e-13,6.901523796898346e-11
280,0.05,flat,flat_lr=0.05,4.4310787677970254e-11,6.399661356404351e-11,-3.660266534311063e-14,8.865817802128362e-11
320,0.05,flat,flat_lr=0.05,5.386453436062588e-11,7.632069282115239e-11,9.769893227762338e-13,1.0675207939847553e-10
360,0.05,flat,flat_lr=0.05,5.51489964806251e-11,8.086265684825733e-11,-8.859649125447788e-13,1.1118395787379498e-10
400,0.05,flat,flat_lr=0.05,8.615753249729963e-11,1.211033634485048e-10,2.2371757224526334e-12,1.7007789621104052e-10
0,0.05,sharp,sharp_lr=0.05,0.0,0.0,0.0,0.0
40,0.05,sharp,sharp_lr=0.05,0.00015707293641753495,4.993564652977511e-05,0.00012246929691173136,0.00019167657592333853
80,0.05,sharp,sharp_lr=0.05,0.00025919050676748157,8.024962153285742e-05,0.0002035803481703624,0.0003148006508126855
120,0.05,sharp,sharp_lr=0.05,0.00033915776293724775,8.398719364777207e-05,0.0002809576108120382,0.0003973579150624573
160,0.05,sharp,sharp_lr=0.05,0.00041071424493566155,9.678814967628568e-05,0.0003436434781178832,0.0004777850117534399
200,0.05,sharp,sharp_lr=0.05,0.00035879906499758363,0.00014109878975432366,0.00026102259289473295,0.0004565755371004343
240,0.05,sharp,sharp_lr=0.05,0.00037642853567376733,0.00010490147542441264,0.0003037355199921876,0.00044912155135534704
280,0.05,sharp,sharp_lr=0.05,0.00035698001738637686,9.37672593863681e-05,0.00029200263088569045,0.00042195740388706326
320,0.05,sharp,sharp_lr=0.05,0.0002959964331239462,6.106538057792932e-05,0.0002536802785471082,0.0003383125877007842
360,0.05,sharp,sharp_lr=0.05,0.0003508483641780913,0.0001249858469236642,0.0002642375766299665,0.0004374591517262161
400,0.05,sharp,sharp_lr=0.05,0.000290767231490463,8.063212590059265e-05,0.00023489200975745916,0.0003466424532234669
0,0.1,flat,flat_lr=0.1,0.0,0.0,0.0,0.0
40,0.1,flat,flat_lr=0.1,2.0832226568789913e-11,2.9069965185035684e-11,6.877675512440007e-13,4.09766873210593e-11
80,0.1,flat,flat_lr=0.1,4.920585466861027e-11,7.445305483244624e-11,-2.38748257275212e-12,1.0079918844052571e-10
120,0.1,flat,flat_lr=0.1,6.509875971616452e-11,8.771323251055563e-11,4.316588753106032e-12,1.2588093067922301e-10
160,0.1,flat,flat_lr=0.1,9.356967284324114e-11,1.3963420697482576e-10,-3.191898134691229e-12,1.903312507600674e-10
200,0.1,flat,flat_lr=0.1,1.3377386698376625e-10,1.9450790977870724e-10,-1.0132450434241491e-12,2.6856097901095666e-10
240,0.1,flat,flat_lr=0.1,2.2002631661077743e-10,3.175206486627502e-10,-4.260480856999038e-15,4.4005687982462405e-10
280,0.1,flat,flat_lr=0.1,3.507132917413003e-10,5.249990442379726e-10,-1.3092471551345852e-11,7.145190550339464e-10
320,0.1,flat,flat_lr=0.1,4.65831651030868e-10,6.714124811679767e-10,5.665468094662174e-13,9.310967552522698e-10
360,0.1,flat,flat_lr=0.1,5.463523522486469e-10,7.931174605957381e-10,-3.2500668822876833e-12,1.0959547713795814e-09
400,0.1,flat,flat_lr=0.1,9.666667466490253e-10,1.3329629622305106e-09,4.297051603430191e-11,1.8903629772637487e-09
0,0.1,sharp,sharp_lr=0.1,0.0,0.0,0.0,0.0
40,0.1,sharp,sharp_lr=0.1,0.0005058659007772803,0.0001468210539314896,0.0004041240899823606,0.0006076077115722001
80,0.1,sharp,sharp_lr=0.1,0.0006869460921734571,0.0002273770369356498,0.0005293818539939821,0.0008445103303529322
120,0.1,sharp,sharp_lr=0.1,0.0007937077898532152,0.00018144129717256874,0.0006679754005745053,0.0009194401791319251
160,0.1,sharp,sharp_lr=0.1,0.0007961852825246751,0.00021117906726431102,0.0006498456350527704,0.0009425249299965799
200,0.1,sharp,sharp_lr=0.1,0.0005582775920629501,0.00017143413424491882,0.00043947980157099664,0.0006770754116587341
240,0.1,sharp,sharp_lr=0.1,0.0006575955776497722,0.00024158060841728002,0.0004901887732557952,0.0008250023820437491
280,0.1,sharp,sharp_lr=0.1,0.000492025341372937,0.00014060194371268153,0.00039459316758438945,0.0005894575151614845
320,0.1,sharp,sharp_lr=0.1,0.00045234779827296734,0.00012601781054399908,0.00036502190050669014,0.000539673725143075
360,0.1,sharp,sharp_lr=0.1,0.0004299888387322426,0.0001053521191352047,0.0003569835389498621,0.0005029941676184535
400,0.1,sharp,sharp_lr=0.1,0.0003382904105819762,6.421966827474535e-05,0.00029378844192251563,0.0003827923792414367
