step,lr,bucket,method,mean_direction_variance,std_direction_variance,ci95_low,ci95_high
0,0.01,flat,flat_lr=0.01,0.0,0.0,0.0,0.0
10,0.01,flat,flat_lr=0.01,9.72053686780055e-18,1.3235930394059035e-17,-5.257328362815529e-18,2.469840209841663e-17
20,0.01,flat,flat_lr=0.01,2.520499232096248e-17,2.6807964123333065e-17,-5.1310757859215604e-18,5.554106208220774e-17
30,0.01,flat,flat_lr=0.01,1.4385711445507743e-17,2.2621098463028535e-17,-1.1212472907825693e-17,3.998389579884118e-17
40,0.01,flat,flat_lr=0.01,2.9602196776149444e-17,3.305670484624035e-17,-7.8049884011972e-18,6.700938526221854e-17
50,0.01,flat,flat_lr=0.01,7.569999624060686e-17,6.617286081746611e-17,8.183529410558618e-19,1.5058163954015787e-16
0,0.01,sharp,sharp_lr=0.01,0.0,0.0,0.0,0.0
10,0.01,sharp,sharp_lr=0.01,5.336302365321899e-06,3.190253437423962e-06,1.7261904758925084e-06,8.946413800003938e-06
20,0.01,sharp,sharp_lr=0.01,5.5637578952882905e-06,1.3427256817521993e-06,4.044321030960418e-06,7.083194759616163e-06
30,0.01,sharp,sharp_lr=0.01,1.130381497205235e-05,1.0620137800287921e-05,-7.140024536056444e-07,2.3321632397710346e-05
40,0.01,sharp,sharp_lr=0.01,1.4810863831371535e-05,1.3954047062725294e-05,-9.79628566710744e-07,3.0601357138948515e-05
50,0.01,sharp,sharp_lr=0.01,2.2399079171009362e-05,1.869059633463621e-05,1.248678017873317e-06,4.3549480324145406e-05
0,0.03,flat,flat_lr=0.03,0.0,0.0,0.0,0.0
10,0.03,flat,flat_lr=0.03,6.768399406514739e-17,9.21231842293695e-17,-3.656320948963634e-17,1.719311976199311e-16
20,0.03,flat,flat_lr=0.03,2.9316877036589283e-16,3.707497885543351e-16,-1.263741393567894e-16,7.127116800885751e-16
30,0.03,flat,flat_lr=0.03,2.0388367590541727e-16,3.0032577525371804e-16,-1.3596693306823217e-16,5.437342716441769e-16
40,0.03,flat,flat_lr=0.03,3.0164399674766215e-16,3.191846197172002e-16,-5.954742204360218e-17,6.628354155389265e-16
50,0.03,flat,flat_lr=0.03,7.419799506688818e-16,6.425822224953657e-16,1.4829641082291477e-17,1.469130260255472e-15
0,0.03,sharp,sharp_lr=0.03,0.0,0.0,0.0,0.0
10,0.03,sharp,sharp_lr=0.03,4.651841663871892e-05,2.7533449610928074e-05,1.5361383702838793e-05,7.767544593662024e-05
20,0.03,sharp,sharp_lr=0.03,4.682362487073988e-05,9.314438102592248e-06,3.628334525274113e-05,5.7363904488738626e-05
30,0.03,sharp,sharp_lr=0.03,9.343912097392604e-05,8.956169767770916e-05,-7.909482519607991e-06,0.00019478771719150245
40,0.03,sharp,sharp_lr=0.03,0.0001150556854554452,0.00011114824883406982,-1.0720403224695474e-05,0.0002408317814115435
50,0.03,sharp,sharp_lr=0.03,0.0001706297043710947,0.00014170320355333388,1.0277421097271144e-05,0.00033098197309300303
0,0.09,flat,flat_lr=0.09,0.0,0.0,0.0,0.0
10,0.09,flat,flat_lr=0.09,6.229251818279944e-16,8.200866586802137e-16,-3.050902561726847e-16,1.5509406198286734e-15
20,0.09,flat,flat_lr=0.09,2.6363275796491498e-15,3.4398353153923143e-15,-1.256212752974461e-15,6.5288681240309974e-15
30,0.09,flat,flat_lr=0.09,2.1010360030276117e-15,3.0473702225785595e-15,-1.3473880146916244e-15,5.549460020746848e-15
40,0.09,flat,flat_lr=0.09,2.6556109199681044e-15,2.650157933611918e-15,-3.433253234117438e-16,5.6545471633479526e-15
50,0.09,flat,flat_lr=0.09,5.816418124183565e-15,5.102916109415642e-15,4.192474275729885e-17,1.159091150560983e-14
0,0.09,sharp,sharp_lr=0.09,0.0,0.0,0.0,0.0
10,0.09,sharp,sharp_lr=0.09,0.0003814751107711345,0.00021893375378567725,0.00013372823013924062,0.0006292220205068588
20,0.09,sharp,sharp_lr=0.09,0.00035084318369627,2.4824750653351657e-05,0.0003227513225283474,0.0003789350448641926
30,0.09,sharp,sharp_lr=0.09,0.0006667966372333467,0.0006691558519378304,-9.042449528351426e-05,0.0014240178279578686
40,0.09,sharp,sharp_lr=0.09,0.0006779257673770189,0.0007074370514601469,-0.00012261467054486275,0.0014784662052989006
50,0.09,sharp,sharp_lr=0.09,0.0009910980006679893,0.0007966153789311647,8.964282460510731e-05,0.0018925531767308712
