step,method,mean_projection,std_projection,ci95_low,ci95_high,mean_direction_variance,mean_path_error_to_sgd,mean_coord_1,mean_coord_2
0,sgd_replacement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,sgd_replacement,2.0021719289312994e-05,0.00010581537130830134,-2.2313246263271675e-05,6.235668484189767e-05,1.2095558e-07,0.0,-0.0003699887020047754,9.637114271754399e-05
2,sgd_replacement,6.871068975063584e-05,0.00015344269800323334,7.320824989532666e-06,0.000130100554511739,2.391022e-07,0.0,-0.0005036452203057706,0.0002200082381023094
3,sgd_replacement,4.443356480502795e-05,0.00017357266678680138,-2.5009964792198143e-05,0.00011387709440225405,3.7071075e-07,0.0,-0.0007246052846312523,0.00024551094975322485
4,sgd_replacement,4.302804488058124e-05,0.00020548395908098822,-3.9182660631727395e-05,0.00012523875039288987,4.9141124e-07,0.0,-0.0010205854196101427,0.00033397911465726793
5,sgd_replacement,6.94898450698626e-05,0.00022967310609157745,-2.2398534799001116e-05,0.0001613782249387263,5.907832e-07,0.0,-0.001231724047102034,0.00040076556615531445
6,sgd_replacement,7.272572944809023e-05,0.00025670625363638673,-2.997816196637872e-05,0.00017542962086255918,6.927661e-07,0.0,-0.0014009206788614392,0.0006123787607066333
7,sgd_replacement,8.792273426176204e-05,0.0002944100783810918,-2.9865828708762365e-05,0.00020571129723228644,7.852087e-07,0.0,-0.001583754550665617,0.0006800279370509088
8,sgd_replacement,8.993736082629766e-05,0.00028464410466150914,-2.3943998910006792e-05,0.00020381872056260213,9.0545234e-07,0.0,-0.0017920691752806306,0.0008469956810586154
9,sgd_replacement,0.00010283348183293128,0.00031583759128627886,-2.3527871739779395e-05,0.00022919483540564196,1.0635813e-06,0.0,-0.0019885122310370207,0.0008561618160456419
10,sgd_replacement,0.00013340104017819007,0.0003278756361651471,2.223465588000698e-06,0.00026457861476837945,1.2225962e-06,0.0,-0.002155877882614732,0.0011026585707440972
11,sgd_replacement,0.00016051365552508892,0.00035166384421492377,1.9818815570769887e-05,0.00030120849547940796,1.562312e-06,0.0,-0.0022789358627051115,0.001163716777227819
12,sgd_replacement,0.00017339172821569568,0.0003600999758102051,2.9321732685512887e-05,0.00031746172374587844,1.6868553e-06,0.0,-0.002412895206362009,0.0010890582343563437
13,sgd_replacement,0.00020758740508123688,0.0003852000544279812,5.3475286648562754e-05,0.000361699523513911,1.7655634e-06,0.0,-0.0027174511924386024,0.0011929130414500833
14,sgd_replacement,0.00022052370240999153,0.0004189310415072464,5.29163785227641e-05,0.00038813102629721896,1.9057502e-06,0.0,-0.0028451315592974424,0.001186991692520678
15,sgd_replacement,0.0002432635101285996,0.00043767787424409035,6.815589107327224e-05,0.00041837112918392697,1.9942856e-06,0.0,-0.003127540461719036,0.0011796518228948116
16,sgd_replacement,0.00022462398252779772,0.0004554848646215704,4.239208356015593e-05,0.0004068558814954395,2.1690773e-06,0.0,-0.0033502792939543724,0.0012129928218200803
17,sgd_replacement,0.0002472149365833805,0.00047870172877222903,5.569435741828934e-05,0.0004387355157484717,2.3791586e-06,0.0,-0.0035772938281297684,0.0013105844845995307
18,sgd_replacement,0.00022617394824919757,0.0005208890447342571,1.7774927455764745e-05,0.00043457296904263036,2.570104e-06,0.0,-0.003711627097800374,0.0011612293310463428
19,sgd_replacement,0.0002495412791176932,0.0005067987049570464,4.677956830783956e-05,0.00045230298992754686,2.6074672e-06,0.0,-0.0039079077541828156,0.0014314893633127213
20,sgd_replacement,0.00026257617173541803,0.0005283688482959628,5.1184606265254785e-05,0.00047396773720558125,2.7420085e-06,0.0,-0.004077193792909384,0.0014415608020499349
