step,method,split,loss_mean,loss_std,loss_ci95_low,loss_ci95_high
0,baseline_sgd,train,1.699718952178955,0.0,1.699718952178955,1.699718952178955
0,baseline_sgd,test,1.7905049324035645,0.0,1.7905049324035645,1.7905049324035645
125,baseline_sgd,train,1.5216685930887859,0.0014906596094235501,1.5212468830526682,1.5220903031249036
125,baseline_sgd,test,1.6311262734234333,0.0022620376894602516,1.6304863392696591,1.6317662075772075
250,baseline_sgd,train,1.3490334525704384,0.001825877226587167,1.3485169089233826,1.3495499962174942
250,baseline_sgd,test,1.4770823170741398,0.002249137231177501,1.4764460324810662,1.4777186016672135
375,baseline_sgd,train,1.1994797041018803,0.002006435820468706,1.1989120801339612,1.2000473280697994
375,baseline_sgd,test,1.3425665472944577,0.003511545848600628,1.3415731252433867,1.3435599693455287
500,baseline_sgd,train,1.0822783360878627,0.0018608903971840712,1.081751887157707,1.0828047850180185
500,baseline_sgd,test,1.2345206489165623,0.0037673036353652466,1.2334548725702437,1.235586425262881
0,suppress_flat,train,1.699718952178955,0.0,1.699718952178955,1.699718952178955
0,suppress_flat,test,1.7905049324035645,0.0,1.7905049324035645,1.7905049324035645
125,suppress_flat,train,1.521668607989947,0.001490665085083207,1.5212468964047563,1.5220903195751379
125,suppress_flat,test,1.6311262796322505,0.00226204612403912,1.6304863430923202,1.6317662161721809
250,suppress_flat,train,1.3490334550539653,0.001825873336671202,1.348516912507373,1.3495499976005576
250,suppress_flat,test,1.4770823108653228,0.00224914515403712,1.4764460240308592,1.4777185976997864
375,suppress_flat,train,1.1994797165195148,0.0020064172121924476,1.1989120978159074,1.2000473352231222
375,suppress_flat,test,1.3425665597120922,0.0035115595633343345,1.3415731337811005,1.3435599856430838
500,suppress_flat,train,1.0822783261537552,0.0018609155044396165,1.0817518701207158,1.0828047821867945
500,suppress_flat,test,1.2345206600924332,0.0037673147342220225,1.23345488060623,1.2355864395786365
0,suppress_theory_high_variance,train,1.699718952178955,0.0,1.699718952178955,1.699718952178955
0,suppress_theory_high_variance,test,1.7905049324035645,0.0,1.7905049324035645,1.7905049324035645
125,suppress_theory_high_variance,train,1.5266727184255917,0.0014361298979931076,1.5262664349338249,1.5270790019173586
125,suppress_theory_high_variance,test,1.6354627559582393,0.002219309568128355,1.6348349096597181,1.6360906022567605
250,suppress_theory_high_variance,train,1.3572206571698189,0.0017876572081391077,1.3567149260283533,1.3577263883112844
250,suppress_theory_high_variance,test,1.4845543031891186,0.002201471444918269,1.4839315033247635,1.4851771030534737
375,suppress_theory_high_variance,train,1.208633616566658,0.0019926859640813934,1.2080698824555494,1.2091973506777667
375,suppress_theory_high_variance,test,1.3517372732361157,0.0034924047040996923,1.3507492662460605,1.352725280226171
500,suppress_theory_high_variance,train,1.0909385333458583,0.0018298846526032806,1.0904208559914428,1.0914562107002739
500,suppress_theory_high_variance,test,1.2442427550752957,0.003766019306329106,1.2431773420677572,1.2453081680828342
0,suppress_sharp,train,1.699718952178955,0.0,1.699718952178955,1.699718952178955
0,suppress_sharp,test,1.7905049324035645,0.0,1.7905049324035645,1.7905049324035645
125,suppress_sharp,train,1.5209606265028317,0.0013809246872027523,1.520569960655287,1.5213512923503765
125,suppress_sharp,test,1.6323868582646053,0.0013357091026908003,1.6320089839797065,1.632764732549504
250,suppress_sharp,train,1.3522815505663555,0.001533519493239127,1.3518477153991633,1.3527153857335477
250,suppress_sharp,test,1.4823939055204391,0.001810876867420769,1.4818816054994706,1.4829062055414077
375,suppress_sharp,train,1.2103879575928052,0.0017206079453978532,1.209901194797187,1.2108747203884234
375,suppress_sharp,test,1.3558960743248463,0.002181297401625059,1.3552789817302608,1.3565131669194317
500,suppress_sharp,train,1.0978209028641384,0.001465764261789226,1.0974062357624932,1.0982355699657835
500,suppress_sharp,test,1.2534945520261924,0.001972645954861859,1.2529364872663953,1.2540526167859896
