step,method,mean_projection,std_projection,ci95_low,ci95_high,mean_direction_variance,mean_path_error_to_sgd,mean_coord_1,mean_coord_2
0,baseline_sgd_flat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,baseline_sgd_sharp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,baseline_sgd_theory_high_variance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,baseline_sgd_flat,-1.5079816284568892e-09,4.839681988499933e-09,0.0,0.0,1.1142942090767955e-16,0.0,0.0,-2.1803536753850494e-10
1,baseline_sgd_sharp,-0.0008929337491281331,0.0008850462036207318,0.0,0.0,3.5117425341013586e-06,0.00571711512748152,-0.0004883945803157985,-0.001089341240003705
1,baseline_sgd_theory_high_variance,-2.5836836812231923e-06,4.257576165400678e-06,0.0,0.0,4.737385483899459e-11,0.00571711512748152,-3.464424935373245e-06,-1.647813633098849e-06
2,baseline_sgd_flat,-2.83077028484513e-09,5.758632681818199e-09,0.0,0.0,2.531412755313252e-16,0.0,0.0,1.3317453806394042e-09
2,baseline_sgd_sharp,-0.001475540571846068,0.00211490411311388,0.0,0.0,6.352111086016521e-06,0.008702267659828067,-0.00011469639139249921,-0.0018846910679712892
2,baseline_sgd_theory_high_variance,-4.564651590044377e-06,8.067208909778856e-06,0.0,0.0,1.1607292210724651e-10,0.008702267659828067,-7.929864295874722e-06,-1.7754996406438295e-06
3,baseline_sgd_flat,-1.4737082665305934e-09,9.486383234502682e-09,0.0,0.0,7.746482644390264e-16,0.0,0.0,-1.061117416156776e-09
3,baseline_sgd_sharp,-0.0023928030859678984,0.0021478855051100254,0.0,0.0,1.1249802810198162e-05,0.0128278115298599,0.001039312221109867,-0.004761513788253069
3,baseline_sgd_theory_high_variance,-4.477456059248652e-06,1.0390632269263733e-05,0.0,0.0,1.845410491085886e-10,0.0128278115298599,-7.496488706237869e-06,-5.8795731092686765e-06
4,baseline_sgd_flat,-2.6452369183971314e-09,1.1314443604248936e-08,0.0,0.0,8.984585409435955e-16,0.0,0.0,-3.5782790064331493e-09
4,baseline_sgd_sharp,-0.003924953285604715,0.002186280908063054,0.0,0.0,1.3854182725481223e-05,0.016509300330653787,0.0013609577436000109,-0.006492904387414455
4,baseline_sgd_theory_high_variance,-2.9503896712412825e-06,1.284433983528288e-05,0.0,0.0,2.8547386676791575e-10,0.016509300330653787,-5.467620212584734e-06,-8.10148412710987e-06
5,baseline_sgd_flat,-4.921598129037363e-10,1.2384741232551733e-08,0.0,0.0,1.0479508564089149e-15,0.0,0.0,-1.1316629411339818e-08
5,baseline_sgd_sharp,-0.005118751898407936,0.0023330494295805693,0.0,0.0,1.4249318155634683e-05,0.019895775709301233,0.0012018932029604912,-0.007379574701189995
5,baseline_sgd_theory_high_variance,-2.6677971618482843e-06,1.4661220120615326e-05,0.0,0.0,4.231279493449591e-10,0.019895775709301233,-4.484134478843771e-06,-9.721376045490615e-06
6,baseline_sgd_flat,-1.8184304062529577e-09,1.393348991740595e-08,0.0,0.0,1.4130001396980081e-15,0.0,0.0,-1.2223665635247016e-08
6,baseline_sgd_sharp,-0.006991094443947077,0.0023175179958343506,0.0,0.0,1.750162300595548e-05,0.024384101387113333,0.0009142115595750511,-0.009517230093479156
6,baseline_sgd_theory_high_variance,-6.192272849148139e-06,1.7410662621841766e-05,0.0,0.0,6.673577801485919e-10,0.024384101387113333,-7.091789484547917e-06,-7.853407623770181e-06
7,baseline_sgd_flat,-4.3173051245126715e-10,1.386492343158352e-08,0.0,0.0,1.8978474102996452e-15,0.0,0.0,-1.4427897099267284e-08
7,baseline_sgd_sharp,-0.008105583488941193,0.00303424964658916,0.0,0.0,2.1815802028868347e-05,0.027359418105334044,0.0006577889434993267,-0.010858474299311638
7,baseline_sgd_theory_high_variance,-7.249918326124316e-06,1.6207577573368326e-05,0.0,0.0,6.70178745831862e-10,0.027359418105334044,-1.0456562449689955e-05,-1.1314205949020106e-05
8,baseline_sgd_flat,-4.1719752652547015e-10,1.5883486526035995e-08,0.0,0.0,2.0878644289395705e-15,0.0,0.0,-9.817384238886007e-09
8,baseline_sgd_sharp,-0.009411725215613842,0.0026282104663550854,0.0,0.0,2.0329560356913134e-05,0.03119784127920866,0.00107416114769876,-0.012136467732489109
8,baseline_sgd_theory_high_variance,-8.546942808607128e-06,1.6082223737612367e-05,0.0,0.0,6.288016773936533e-10,0.03119784127920866,-1.2108925147913396e-05,-1.2094853445887566e-05
9,baseline_sgd_flat,7.645013511137222e-10,1.595890708472325e-08,0.0,0.0,1.9952845748376228e-15,0.0,0.0,-9.616158536118746e-09
9,baseline_sgd_sharp,-0.009946294128894806,0.00284467707388103,0.0,0.0,2.7217691240366548e-05,0.03408051934093237,0.0018007238395512104,-0.012722412124276161
9,baseline_sgd_theory_high_variance,-7.373424068646273e-06,1.6731222785892896e-05,0.0,0.0,7.930704981617964e-10,0.03408051934093237,-8.189673280867282e-06,-1.0386445865151472e-05
10,baseline_sgd_flat,5.207342890223288e-10,1.7991034440001386e-08,0.0,0.0,2.358315908009001e-15,0.0,0.0,-1.3833460599244063e-08
10,baseline_sgd_sharp,-0.011059309355914593,0.003267342923209071,0.0,0.0,3.9630573155591264e-05,0.03832387155853212,0.002331056632101536,-0.015103444457054138
10,baseline_sgd_theory_high_variance,-6.592180852749152e-06,1.796636206563562e-05,0.0,0.0,9.822950230997662e-10,0.03832387155853212,-3.986892352259019e-06,-1.1580945283640176e-05
11,baseline_sgd_flat,-8.939669560170671e-10,2.0168268832776448e-08,0.0,0.0,2.463602950385658e-15,0.0,0.0,-1.611802247225569e-08
11,baseline_sgd_sharp,-0.011308066546916962,0.0033340109512209892,0.0,0.0,4.780839662998915e-05,0.04077001055702567,0.0027794537600129843,-0.015539037063717842
11,baseline_sgd_theory_high_variance,-9.918882824422326e-06,1.6774940377217717e-05,0.0,0.0,9.46958400582787e-10,0.04077001055702567,-1.1011924470949452e-05,-9.897348718368448e-06
12,baseline_sgd_flat,-2.1078960799059132e-10,2.0303103198671124e-08,0.0,0.0,3.2209310851192283e-15,0.0,0.0,-1.1939206956412818e-08
12,baseline_sgd_sharp,-0.012884765863418579,0.0033268362749367952,0.0,0.0,4.813351188204251e-05,0.044905964750796556,0.002473712433129549,-0.01731131598353386
12,baseline_sgd_theory_high_variance,-1.1844014807138592e-05,1.8268034182256088e-05,0.0,0.0,9.84206161014356e-10,0.044905964750796556,-1.6356123524019495e-05,-1.0878104149014689e-05
13,baseline_sgd_flat,-1.5954384480210138e-09,1.838888863403554e-08,0.0,0.0,3.2234467729725736e-15,0.0,0.0,-6.684203412987699e-09
13,baseline_sgd_sharp,-0.014073853380978107,0.003350651590153575,0.0,0.0,5.0318882131250575e-05,0.04899331834167242,0.002858420368283987,-0.01889944076538086
13,baseline_sgd_theory_high_variance,-1.3781743291474413e-05,1.8747961803455837e-05,0.0,0.0,1.042657626904031e-09,0.04899331834167242,-1.833946953411214e-05,-1.2261655683687422e-05
14,baseline_sgd_flat,-1.283164352550159e-09,1.8321246741948016e-08,0.0,0.0,3.0501455260302382e-15,0.0,0.0,-9.28652355014492e-09
14,baseline_sgd_sharp,-0.014972132630646229,0.0029123909771442413,0.0,0.0,5.773859084001742e-05,0.0526510295458138,0.0031025789212435484,-0.019510559737682343
14,baseline_sgd_theory_high_variance,-1.4184918654791545e-05,2.1104020561324432e-05,0.0,0.0,1.2834259210947607e-09,0.0526510295458138,-1.9073479052167386e-05,-1.2406133464537561e-05
15,baseline_sgd_flat,-1.3674824606013658e-09,2.017581479663022e-08,0.0,0.0,3.5067731528402694e-15,0.0,0.0,-1.4106085188814177e-08
15,baseline_sgd_sharp,-0.015932168811559677,0.0034463421907275915,0.0,0.0,5.226862049312331e-05,0.055897215846925974,0.003517779055982828,-0.020950715988874435
15,baseline_sgd_theory_high_variance,-1.3812396900902968e-05,2.2832773538539186e-05,0.0,0.0,1.5626540061930427e-09,0.055897215846925974,-1.882604010461364e-05,-1.1612148227868602e-05
16,baseline_sgd_flat,-1.69829184049064e-09,1.877821809159741e-08,0.0,0.0,3.4943677200530198e-15,0.0,0.0,-1.4126584346740856e-08
