step,method,mean_projection,std_projection,ci95_low,ci95_high,mean_direction_variance,mean_path_error_to_sgd,mean_coord_1,mean_coord_2
0,baseline_sgd_theory_high_variance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,baseline_sgd_sharp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,baseline_sgd_theory_high_variance,2.287431243530591e-06,1.4513419046124909e-05,0.0,0.0,8.470252832459835e-10,0.017469906869033974,-7.004777216934599e-06,-1.345561304333387e-05
1,baseline_sgd_sharp,8.667159272590652e-05,0.001736057223752141,0.0,0.0,2.8778415071428753e-05,0.017469906869033974,0.0015475718537345529,-8.107876783469692e-05
2,baseline_sgd_theory_high_variance,-8.342016371898353e-06,2.2445567083195783e-05,0.0,0.0,1.8502152032695562e-09,0.027681092421213787,-3.194339296896942e-05,-3.3497592085041106e-05
2,baseline_sgd_sharp,0.0013570594601333141,0.0013902912614867091,0.0,0.0,5.854678965988569e-05,0.027681092421213787,0.004476298112422228,0.0022389276418834925
3,baseline_sgd_theory_high_variance,-1.744871769915335e-05,3.0419661925407127e-05,0.0,0.0,2.598713910728634e-09,0.037308802207311,-3.726787690538913e-05,-5.842176324222237e-05
3,baseline_sgd_sharp,0.002078596269711852,0.002918582409620285,0.0,0.0,9.738324297359213e-05,0.037308802207311,0.007526258006691933,0.0015876541147008538
4,baseline_sgd_theory_high_variance,-2.3011461962596513e-05,3.392226790310815e-05,0.0,0.0,3.1905591502123798e-09,0.04880644008517265,-4.661979619413614e-05,-8.844906551530585e-05
4,baseline_sgd_sharp,0.003310434054583311,0.003220715094357729,0.0,0.0,0.00014743237989023328,0.04880644008517265,0.013743050396442413,0.0010484023950994015
5,baseline_sgd_theory_high_variance,-2.606023736007046e-05,3.6440025724004954e-05,0.0,0.0,4.6772217210389044e-09,0.05393128531674544,-6.246348493732512e-05,-0.00010283169831382111
5,baseline_sgd_sharp,0.0032368504907935858,0.004180756397545338,0.0,0.0,0.00013983923417981714,0.05393128531674544,0.014919829554855824,0.0022814085241407156
6,baseline_sgd_theory_high_variance,-3.91780304198619e-05,3.65338746632915e-05,0.0,0.0,5.8673266245534705e-09,0.060857936119039856,-6.9531197368633e-05,-0.0001407462841598317
6,baseline_sgd_sharp,0.0033791703172028065,0.00493498332798481,0.0,0.0,0.00017300709441769868,0.060857936119039856,0.01692977361381054,0.0013502038782462478
7,baseline_sgd_theory_high_variance,-4.559043736662716e-05,4.197601447231136e-05,0.0,0.0,6.8607159953160135e-09,0.06887710901598136,-8.426557906204835e-05,-0.00015633278235327452
7,baseline_sgd_sharp,0.004780513700097799,0.00431843614205718,0.0,0.0,0.00018191442359238863,0.06887710901598136,0.02083476074039936,-8.465823339065537e-05
8,baseline_sgd_theory_high_variance,-4.809339952771552e-05,5.493480421137065e-05,0.0,0.0,7.6159327733194e-09,0.07490680615107219,-0.00010236308298772201,-0.00015921107842586935
8,baseline_sgd_sharp,0.004639666527509689,0.0044532292522490025,0.0,0.0,0.0002084366715280339,0.07490680615107219,0.022074664011597633,-0.0010496032191440463
9,baseline_sgd_theory_high_variance,-4.8933008656604216e-05,6.224749085959047e-05,0.0,0.0,1.0405496020382543e-08,0.08287818978230159,-0.00011495513172121719,-0.00018187558453064412
9,baseline_sgd_sharp,0.005613616202026606,0.005233875475823879,0.0,0.0,0.00022034555149730295,0.08287818978230159,0.026731936261057854,-0.002414258196949959
10,baseline_sgd_theory_high_variance,-5.890104512218386e-05,5.656325083691627e-05,0.0,0.0,1.0084143298172421e-08,0.09188747964799404,-0.0001315115951001644,-0.00021241138165351003
10,baseline_sgd_sharp,0.0061952779069542885,0.005986048839986324,0.0,0.0,0.00023334224533755332,0.09188747964799404,0.028438007459044456,-0.000975351023953408
11,baseline_sgd_theory_high_variance,-6.441118603106588e-05,5.5766166042303666e-05,0.0,0.0,1.1090965479354509e-08,0.10196937061846256,-0.0001454232115065679,-0.00022900599287822843
11,baseline_sgd_sharp,0.0076761394739151,0.005800275597721338,0.0,0.0,0.00028189626755192876,0.10196937061846256,0.032007697969675064,0.0001806495274649933
12,baseline_sgd_theory_high_variance,-6.905620830366388e-05,6.066767673473805e-05,0.0,0.0,1.1654846865383206e-08,0.10949163387219112,-0.00015036932018119842,-0.00024162611225619912
12,baseline_sgd_sharp,0.008976594544947147,0.005944161210209131,0.0,0.0,0.0002748140541370958,0.10949163387219112,0.03584616258740425,-0.0012018760899081826
13,baseline_sgd_theory_high_variance,-6.810040940763429e-05,6.704025145154446e-05,0.0,0.0,1.3565014000960218e-08,0.11703758252163728,-0.00016115418111439794,-0.00024332413158845156
13,baseline_sgd_sharp,0.00993640162050724,0.005607621744275093,0.0,0.0,0.00026207652990706265,0.11703758252163728,0.03873075172305107,-0.001574421301484108
14,baseline_sgd_theory_high_variance,-6.775528891012073e-05,6.998709432082251e-05,0.0,0.0,1.4900504829995498e-08,0.12357783255477746,-0.0001699454296613112,-0.0002624611370265484
14,baseline_sgd_sharp,0.009026624262332916,0.006676729302853346,0.0,0.0,0.00027452060021460056,0.12357783255477746,0.03734380751848221,-0.0029656512197107077
15,baseline_sgd_theory_high_variance,-6.778401439078152e-05,8.1048950960394e-05,0.0,0.0,1.6755587139982708e-08,0.12983144633471966,-0.00017345677770208567,-0.0002802589151542634
15,baseline_sgd_sharp,0.008977987803518772,0.007414746563881636,0.0,0.0,0.0002928941685240716,0.12983144633471966,0.03854935243725777,-0.0020869961008429527
16,baseline_sgd_theory_high_variance,-7.087284757290035e-05,8.554969099350274e-05,0.0,0.0,1.707801189354541e-08,0.13814507300655046,-0.00018098931468557566,-0.0002885355497710407
16,baseline_sgd_sharp,0.009734584018588066,0.006991455797106028,0.0,0.0,0.0003207273839507252,0.13814507300655046,0.04242539778351784,-0.0023448520805686712
