step,method,mean_projection,std_projection,ci95_low,ci95_high,mean_direction_variance,mean_path_error_to_sgd,mean_coord_1,mean_coord_2
0,baseline_sgd_theory_high_variance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,baseline_sgd_sharp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,baseline_sgd_theory_high_variance,5.166984010429587e-06,3.715986167662777e-06,0.0,0.0,1.197202753600024e-10,0.005963324413945277,4.2292895159334876e-06,-4.702368187281536e-06
1,baseline_sgd_sharp,0.0009860926074907184,0.0009126437362283468,0.0,0.0,2.60503566096304e-06,0.005963324413945277,0.0015396433882415295,0.00041966454591602087
2,baseline_sgd_theory_high_variance,7.395339707727544e-06,6.652947377006058e-06,0.0,0.0,2.5916321866326086e-10,0.009264382300898433,2.7554879125091247e-06,1.4882076584399329e-06
2,baseline_sgd_sharp,0.0016852489206939936,0.0011230086674913764,0.0,0.0,2.1692796963179717e-06,0.009264382300898433,0.001713865320198238,-0.000337475910782814
3,baseline_sgd_theory_high_variance,6.344703706417931e-06,8.95806442713365e-06,0.0,0.0,3.6100358813406785e-10,0.013199825460712114,3.3332423754472984e-06,1.7556076272740029e-06
3,baseline_sgd_sharp,0.001966658979654312,0.001642233575694263,0.0,0.0,5.786788733530557e-06,0.013199825460712114,0.0026198625564575195,-0.0012361884582787752
4,baseline_sgd_theory_high_variance,6.405402018572204e-06,8.936230187828187e-06,0.0,0.0,2.6743485204150375e-10,0.015960195412238438,5.86389296586276e-06,-2.689143002498895e-06
4,baseline_sgd_sharp,0.0021749313455075026,0.0011937795206904411,0.0,0.0,9.797050552151632e-06,0.015960195412238438,0.0031907653901726007,-0.0016854065470397472
5,baseline_sgd_theory_high_variance,8.396844350500032e-06,1.3009880603931379e-05,0.0,0.0,4.0389011579655687e-10,0.018211305141448975,8.916867045627441e-06,-1.367888671666151e-06
5,baseline_sgd_sharp,0.0021411024499684572,0.0008510621264576912,0.0,0.0,1.5068951142893638e-05,0.018211305141448975,0.0037741055712103844,-0.0022357443813234568
6,baseline_sgd_theory_high_variance,7.401017683150712e-06,1.8731487216427922e-05,0.0,0.0,5.841352401780853e-10,0.021117115393280983,7.835728865757119e-06,-3.5474492960929638e-06
6,baseline_sgd_sharp,0.002126030158251524,0.0013006102526560426,0.0,0.0,2.0335730368969962e-05,0.021117115393280983,0.0042906105518341064,-0.0025574800092726946
7,baseline_sgd_theory_high_variance,1.2232495464559179e-05,1.9643193809315562e-05,0.0,0.0,9.011721924245819e-10,0.023057053176065285,1.7224898329004645e-05,-2.936066266556736e-06
7,baseline_sgd_sharp,0.002031607087701559,0.001599789597094059,0.0,0.0,1.8021137293544598e-05,0.023057053176065285,0.004753508139401674,-0.004464758560061455
8,baseline_sgd_theory_high_variance,1.5314133634092286e-05,2.3929720555315726e-05,0.0,0.0,1.2896800294370792e-09,0.026548363268375397,2.1051824660389684e-05,4.195312158117304e-06
8,baseline_sgd_sharp,0.0025044206995517015,0.002444858429953456,0.0,0.0,2.1165333237149753e-05,0.026548363268375397,0.004869857802987099,-0.004994447808712721
9,baseline_sgd_theory_high_variance,1.4314729014586192e-05,1.9880315448972397e-05,0.0,0.0,1.4467663733697123e-09,0.029826500763495762,1.637187051528599e-05,7.933985216368455e-06
9,baseline_sgd_sharp,0.003481605788692832,0.002650153823196888,0.0,0.0,2.3697944925515912e-05,0.029826500763495762,0.004672091919928789,-0.005056795198470354
10,baseline_sgd_theory_high_variance,1.671541940595489e-05,2.118109114235267e-05,0.0,0.0,1.905944735369758e-09,0.03295526746660471,2.4192964701796882e-05,-5.048144089414563e-07
10,baseline_sgd_sharp,0.0035111871547997,0.00285332347266376,0.0,0.0,2.787841913232114e-05,0.03295526746660471,0.004046316258609295,-0.005469687283039093
11,baseline_sgd_theory_high_variance,1.685792813077569e-05,2.381514605076518e-05,0.0,0.0,2.8387274753072234e-09,0.0360319372266531,2.590519579825923e-05,-7.575623840239132e-06
11,baseline_sgd_sharp,0.004355574958026409,0.0032212925143539906,0.0,0.0,4.0712850022828206e-05,0.0360319372266531,0.0048400950618088245,-0.00563620263710618
12,baseline_sgd_theory_high_variance,2.1662272047251463e-05,1.7986994862440042e-05,0.0,0.0,2.7725601814410084e-09,0.03885739048322042,3.364237636560574e-05,-4.31383159593679e-06
12,baseline_sgd_sharp,0.0043439799919724464,0.003639743197709322,0.0,0.0,4.724031896330416e-05,0.03885739048322042,0.004848760087043047,-0.00629560649394989
13,baseline_sgd_theory_high_variance,2.4753193429205567e-05,2.1472937078215182e-05,0.0,0.0,2.654727326856232e-09,0.042027333130439125,4.014484511571936e-05,-1.3295478993313736e-06
13,baseline_sgd_sharp,0.004300083499401808,0.0035244834143668413,0.0,0.0,5.909418177907355e-05,0.042027333130439125,0.003962844144552946,-0.007377079222351313
14,baseline_sgd_theory_high_variance,2.2047497623134404e-05,2.330638926650863e-05,0.0,0.0,3.281045435343799e-09,0.04487569257616997,3.4381115256110206e-05,-2.357826815568842e-06
14,baseline_sgd_sharp,0.004348618909716606,0.003290061606094241,0.0,0.0,6.343796849250793e-05,0.04487569257616997,0.003368656849488616,-0.008144841529428959
15,baseline_sgd_theory_high_variance,2.2530410205945373e-05,2.812563798215706e-05,0.0,0.0,3.4961402661792818e-09,0.0484883114695549,3.442095112404786e-05,-2.070311211355147e-06
15,baseline_sgd_sharp,0.004944818094372749,0.004245030228048563,0.0,0.0,6.853028753539547e-05,0.0484883114695549,0.00426895497366786,-0.008982066065073013
16,baseline_sgd_theory_high_variance,2.4628874598420225e-05,3.0413126296480186e-05,0.0,0.0,4.331575542693145e-09,0.05111586550871531,3.9178496081149206e-05,-5.550258720177226e-06
